Categoria: Todas as categorias

Semana,dengue: (Pará),sintomas dengue: (Pará),tratamento dengue: (Pará)
2019-03-17,22,0,0
2019-03-24,17,4,0
2019-03-31,18,4,0
2019-04-07,15,5,0
2019-04-14,13,0,0
2019-04-21,16,4,0
2019-04-28,16,5,0
2019-05-05,15,3,0
2019-05-12,15,0,0
2019-05-19,11,3,0
2019-05-26,12,0,0
2019-06-02,11,0,0
2019-06-09,8,3,0
2019-06-16,7,0,0
2019-06-23,7,0,0
2019-06-30,6,0,0
2019-07-07,8,3,0
2019-07-14,7,0,0
2019-07-21,3,0,0
2019-07-28,7,0,0
2019-08-04,8,0,0
2019-08-11,8,0,0
2019-08-18,8,3,0
2019-08-25,7,0,0
2019-09-01,6,0,0
2019-09-08,7,0,0
2019-09-15,8,0,0
2019-09-22,6,3,0
2019-09-29,8,3,0
2019-10-06,6,0,0
2019-10-13,6,0,0
2019-10-20,8,0,0
2019-10-27,8,0,0
2019-11-03,9,0,0
2019-11-10,8,0,0
2019-11-17,6,2,0
2019-11-24,7,4,0
2019-12-01,8,4,0
2019-12-08,6,3,0
2019-12-15,6,0,0
2019-12-22,6,0,0
2019-12-29,4,0,0
2020-01-05,9,4,0
2020-01-12,10,2,0
2020-01-19,11,0,0
2020-01-26,15,0,0
2020-02-02,16,6,0
2020-02-09,16,5,0
2020-02-16,22,7,0
2020-02-23,16,9,0
2020-03-01,19,5,0
2020-03-08,23,6,0
2020-03-15,28,9,0
2020-03-22,27,6,0
2020-03-29,15,4,0
2020-04-05,17,5,0
2020-04-12,19,8,0
2020-04-19,20,8,0
2020-04-26,16,6,0
2020-05-03,12,3,0
2020-05-10,16,6,0
2020-05-17,11,2,0
2020-05-24,12,4,0
2020-05-31,11,3,0
2020-06-07,12,2,0
2020-06-14,7,2,0
2020-06-21,6,2,0
2020-06-28,6,2,0
2020-07-05,6,0,0
2020-07-12,7,0,0
2020-07-19,3,0,0
2020-07-26,3,0,0
2020-08-02,3,0,0
2020-08-09,3,0,0
2020-08-16,4,0,0
2020-08-23,4,0,0
2020-08-30,6,0,0
2020-09-06,5,0,0
2020-09-13,3,0,0
2020-09-20,5,0,0
2020-09-27,4,0,0
2020-10-04,4,0,0
2020-10-11,6,0,0
2020-10-18,6,0,0
2020-10-25,6,0,0
2020-11-01,3,0,0
2020-11-08,6,0,0
2020-11-15,6,0,0
2020-11-22,5,0,0
2020-11-29,5,0,0
2020-12-06,6,2,0
2020-12-13,4,0,0
2020-12-20,4,0,0
2020-12-27,4,0,0
2021-01-03,6,2,0
2021-01-10,6,3,2
2021-01-17,8,2,0
2021-01-24,9,0,0
2021-01-31,10,0,0
2021-02-07,8,3,0
2021-02-14,9,2,0
2021-02-21,12,3,0
2021-02-28,14,4,0
2021-03-07,11,3,0
2021-03-14,15,4,0
2021-03-21,11,4,0
2021-03-28,6,0,0
2021-04-04,9,2,0
2021-04-11,9,2,0
2021-04-18,10,0,0
2021-04-25,8,0,0
2021-05-02,6,2,0
2021-05-09,8,2,0
2021-05-16,11,0,0
2021-05-23,9,2,0
2021-05-30,8,0,0
2021-06-06,3,0,0
2021-06-13,6,0,0
2021-06-20,6,0,0
2021-06-27,4,0,0
2021-07-04,5,0,0
2021-07-11,5,2,0
2021-07-18,4,2,0
2021-07-25,3,0,0
2021-08-01,3,2,0
2021-08-08,5,0,0
2021-08-15,6,0,0
2021-08-22,8,0,0
2021-08-29,4,0,0
2021-09-05,4,0,0
2021-09-12,4,0,0
2021-09-19,4,2,2
2021-09-26,5,0,0
2021-10-03,4,0,0
2021-10-10,3,0,0
2021-10-17,3,0,0
2021-10-24,4,0,0
2021-10-31,4,0,0
2021-11-07,9,0,0
2021-11-14,7,0,0
2021-11-21,7,0,0
2021-11-28,9,0,0
2021-12-05,8,2,0
2021-12-12,9,0,0
2021-12-19,12,5,0
2021-12-26,11,0,0
2022-01-02,15,2,0
2022-01-09,13,6,0
2022-01-16,15,5,0
2022-01-23,18,6,0
2022-01-30,12,4,0
2022-02-06,8,2,0
2022-02-13,8,0,0
2022-02-20,12,3,0
2022-02-27,8,0,0
2022-03-06,11,2,0
2022-03-13,16,2,0
2022-03-20,11,3,0
2022-03-27,14,2,0
2022-04-03,12,3,0
2022-04-10,12,3,0
2022-04-17,13,4,0
2022-04-24,15,4,0
2022-05-01,17,5,0
2022-05-08,16,4,0
2022-05-15,13,3,0
2022-05-22,12,3,0
2022-05-29,10,3,2
2022-06-05,9,2,0
2022-06-12,7,3,0
2022-06-19,8,3,1
2022-06-26,9,3,0
2022-07-03,7,3,0
2022-07-10,5,2,0
2022-07-17,6,5,0
2022-07-24,5,1,0
2022-07-31,5,0,0
2022-08-07,5,0,0
2022-08-14,7,2,0
2022-08-21,6,0,0
2022-08-28,6,0,0
2022-09-04,4,0,0
2022-09-11,6,2,0
2022-09-18,7,1,0
2022-09-25,5,2,0
2022-10-02,6,1,0
2022-10-09,4,0,0
