Categoria: Todas as categorias

Semana,dengue: (Piauí),sintomas dengue: (Piauí)
2019-11-24,4,0
2019-12-01,2,0
2019-12-08,3,0
2019-12-15,0,0
2019-12-22,0,0
2019-12-29,0,0
2020-01-05,4,0
2020-01-12,5,0
2020-01-19,3,0
2020-01-26,3,0
2020-02-02,5,0
2020-02-09,6,0
2020-02-16,8,2
2020-02-23,7,2
2020-03-01,9,2
2020-03-08,12,2
2020-03-15,14,4
2020-03-22,13,3
2020-03-29,10,2
2020-04-05,10,0
2020-04-12,7,2
2020-04-19,9,2
2020-04-26,11,3
2020-05-03,10,3
2020-05-10,9,2
2020-05-17,9,3
2020-05-24,9,3
2020-05-31,11,3
2020-06-07,9,2
2020-06-14,9,4
2020-06-21,9,3
2020-06-28,7,3
2020-07-05,7,2
2020-07-12,5,0
2020-07-19,2,0
2020-07-26,3,0
2020-08-02,3,0
2020-08-09,3,0
2020-08-16,2,0
2020-08-23,4,0
2020-08-30,2,0
2020-09-06,2,0
2020-09-13,3,0
2020-09-20,2,0
2020-09-27,3,0
2020-10-04,2,0
2020-10-11,3,0
2020-10-18,3,0
2020-10-25,3,0
2020-11-01,0,0
2020-11-08,3,0
2020-11-15,2,0
2020-11-22,3,0
2020-11-29,4,0
2020-12-06,5,0
2020-12-13,0,0
2020-12-20,2,0
2020-12-27,2,0
2021-01-03,3,0
2021-01-10,0,2
2021-01-17,2,0
2021-01-24,3,0
2021-01-31,3,0
2021-02-07,4,0
2021-02-14,4,0
2021-02-21,2,3
2021-02-28,4,0
2021-03-07,8,2
2021-03-14,5,2
2021-03-21,6,2
2021-03-28,6,2
2021-04-04,8,3
2021-04-11,7,2
2021-04-18,8,2
2021-04-25,9,0
2021-05-02,7,2
2021-05-09,9,2
2021-05-16,8,2
2021-05-23,9,2
2021-05-30,9,3
2021-06-06,10,2
2021-06-13,9,2
2021-06-20,8,0
2021-06-27,6,0
2021-07-04,6,2
2021-07-11,6,0
2021-07-18,5,0
2021-07-25,4,2
2021-08-01,4,0
2021-08-08,6,0
2021-08-15,6,2
2021-08-22,6,0
2021-08-29,5,0
2021-09-05,5,0
2021-09-12,5,0
2021-09-19,4,0
2021-09-26,4,0
2021-10-03,5,0
2021-10-10,4,0
2021-10-17,3,0
2021-10-24,0,0
2021-10-31,3,0
2021-11-07,3,0
2021-11-14,4,0
2021-11-21,2,0
2021-11-28,5,0
2021-12-05,4,0
2021-12-12,5,0
2021-12-19,5,0
2021-12-26,4,0
2022-01-02,8,3
2022-01-09,9,2
2022-01-16,11,3
2022-01-23,10,3
2022-01-30,10,3
2022-02-06,13,5
2022-02-13,18,6
2022-02-20,19,5
2022-02-27,27,8
2022-03-06,28,8
2022-03-13,35,10
2022-03-20,44,12
2022-03-27,64,17
2022-04-03,68,22
2022-04-10,76,20
2022-04-17,100,29
2022-04-24,100,28
2022-05-01,88,23
2022-05-08,73,20
2022-05-15,72,20
2022-05-22,49,15
2022-05-29,44,13
2022-06-05,43,12
2022-06-12,34,11
2022-06-19,27,7
2022-06-26,29,10
2022-07-03,22,8
2022-07-10,16,5
2022-07-17,11,3
2022-07-24,8,2
2022-07-31,8,3
2022-08-07,8,2
2022-08-14,5,2
2022-08-21,5,2
2022-08-28,5,1
2022-09-04,4,0
2022-09-11,3,0
2022-09-18,3,0
2022-09-25,4,0
2022-10-02,4,0
2022-10-09,4,0
2022-10-16,4,0
2022-10-23,4,0
2022-10-30,5,0
2022-11-06,4,0
2022-11-13,5,2
2022-11-20,4,0
2022-11-27,4,0
2022-12-04,3,0
2022-12-11,6,0
2022-12-18,4,0
2022-12-25,3,0
2023-01-01,5,0
2023-01-08,5,0
2023-01-15,6,2
2023-01-22,6,1
2023-01-29,7,1
2023-02-05,7,0
2023-02-12,9,3
2023-02-19,10,2
2023-02-26,15,4
2023-03-05,13,3
2023-03-12,15,5
2023-03-19,16,5
2023-03-26,20,6
2023-04-02,17,5
2023-04-09,20,7
2023-04-16,19,6
2023-04-23,20,6
2023-04-30,15,3
2023-05-07,18,6
2023-05-14,16,4
2023-05-21,13,3
2023-05-28,13,3
2023-06-04,8,3
2023-06-11,10,2
2023-06-18,9,3
2023-06-25,7,2
2023-07-02,8,0
2023-07-09,5,2
2023-07-16,4,0
2023-07-23,3,0
2023-07-30,3,2
2023-08-06,5,0
2023-08-13,4,0
2023-08-20,2,0
2023-08-27,4,0
2023-09-03,3,0
2023-09-10,3,0
2023-09-17,3,0
2023-09-24,2,0
2023-10-01,3,0
2023-10-08,0,0
2023-10-15,3,0
2023-10-22,3,0
2023-10-29,2,0
2023-11-05,2,0
2023-11-12,2,0
2023-11-19,2,0
2023-11-26,4,0
2023-12-03,4,0
2023-12-10,3,0
2023-12-17,3,0
2023-12-24,5,0
2023-12-31,3,0
2024-01-07,8,2
2024-01-14,5,2
2024-01-21,9,3
2024-01-28,14,3
2024-02-04,22,5
2024-02-11,30,5
2024-02-18,45,9
2024-02-25,48,11
2024-03-03,45,10
2024-03-10,50,12
2024-03-17,50,12
2024-03-24,38,9
2024-03-31,41,10
2024-04-07,40,8
2024-04-14,38,8
2024-04-21,29,6
2024-04-28,27,6
2024-05-05,46,8
2024-05-12,30,6
2024-05-19,76,13
2024-05-26,35,7
2024-06-02,31,5
2024-06-09,23,3
2024-06-16,16,4
2024-06-23,14,3
2024-06-30,10,2
2024-07-07,8,0
2024-07-14,11,2
2024-07-21,5,0
2024-07-28,4,0
2024-08-04,8,0
2024-08-11,7,2
2024-08-18,8,0
2024-08-25,7,0
2024-09-01,4,0
2024-09-08,5,0
2024-09-15,4,0
2024-09-22,4,0
2024-09-29,4,0
2024-10-06,3,0
2024-10-13,4,0
2024-10-20,5,0
2024-10-27,4,0
2024-11-03,4,0
2024-11-10,6,1
2024-11-17,5,1
2024-11-24,4,0
