Categoria: Todas as categorias

Semana,dengue: (Pernambuco),sintomas dengue: (Pernambuco)
2019-05-26,23,6
2019-06-02,25,4
2019-06-09,16,4
2019-06-16,17,4
2019-06-23,24,4
2019-06-30,17,4
2019-07-07,14,5
2019-07-14,14,3
2019-07-21,12,3
2019-07-28,10,2
2019-08-04,14,3
2019-08-11,12,3
2019-08-18,14,2
2019-08-25,14,2
2019-09-01,14,2
2019-09-08,12,3
2019-09-15,14,3
2019-09-22,10,3
2019-09-29,9,2
2019-10-06,9,2
2019-10-13,9,2
2019-10-20,8,2
2019-10-27,7,0
2019-11-03,8,0
2019-11-10,6,0
2019-11-17,8,0
2019-11-24,7,0
2019-12-01,7,0
2019-12-08,6,0
2019-12-15,5,0
2019-12-22,6,0
2019-12-29,4,0
2020-01-05,5,3
2020-01-12,6,2
2020-01-19,6,2
2020-01-26,10,0
2020-02-02,8,2
2020-02-09,10,0
2020-02-16,10,2
2020-02-23,11,3
2020-03-01,14,3
2020-03-08,17,3
2020-03-15,21,3
2020-03-22,17,4
2020-03-29,19,3
2020-04-05,15,4
2020-04-12,22,5
2020-04-19,19,6
2020-04-26,23,7
2020-05-03,24,8
2020-05-10,23,7
2020-05-17,21,8
2020-05-24,21,6
2020-05-31,21,4
2020-06-07,23,6
2020-06-14,18,4
2020-06-21,21,6
2020-06-28,14,3
2020-07-05,19,4
2020-07-12,16,5
2020-07-19,14,4
2020-07-26,11,3
2020-08-02,10,3
2020-08-09,11,2
2020-08-16,10,3
2020-08-23,7,0
2020-08-30,8,2
2020-09-06,8,0
2020-09-13,8,2
2020-09-20,8,2
2020-09-27,8,2
2020-10-04,8,2
2020-10-11,6,0
2020-10-18,6,2
2020-10-25,5,0
2020-11-01,7,2
2020-11-08,6,2
2020-11-15,4,0
2020-11-22,6,2
2020-11-29,6,0
2020-12-06,8,3
2020-12-13,8,0
2020-12-20,6,0
2020-12-27,6,3
2021-01-03,8,2
2021-01-10,4,0
2021-01-17,7,0
2021-01-24,6,0
2021-01-31,7,2
2021-02-07,7,2
2021-02-14,7,0
2021-02-21,8,2
2021-02-28,9,2
2021-03-07,10,3
2021-03-14,12,3
2021-03-21,16,4
2021-03-28,15,3
2021-04-04,17,5
2021-04-11,20,6
2021-04-18,22,6
2021-04-25,29,8
2021-05-02,28,9
2021-05-09,40,12
2021-05-16,46,15
2021-05-23,57,16
2021-05-30,57,17
2021-06-06,52,12
2021-06-13,44,12
2021-06-20,40,11
2021-06-27,38,9
2021-07-04,32,8
2021-07-11,28,7
2021-07-18,25,7
2021-07-25,21,6
2021-08-01,19,3
2021-08-08,14,3
2021-08-15,14,2
2021-08-22,14,4
2021-08-29,12,3
2021-09-05,10,2
2021-09-12,10,0
2021-09-19,9,2
2021-09-26,4,2
2021-10-03,9,3
2021-10-10,6,3
2021-10-17,7,3
2021-10-24,6,0
2021-10-31,8,2
2021-11-07,7,2
2021-11-14,5,0
2021-11-21,6,0
2021-11-28,5,0
2021-12-05,6,2
2021-12-12,6,2
2021-12-19,6,0
2021-12-26,5,2
2022-01-02,6,2
2022-01-09,6,0
2022-01-16,9,3
2022-01-23,11,3
2022-01-30,10,3
2022-02-06,11,2
2022-02-13,12,3
2022-02-20,14,4
2022-02-27,12,4
2022-03-06,14,3
2022-03-13,17,5
2022-03-20,16,4
2022-03-27,18,5
2022-04-03,17,4
2022-04-10,20,6
2022-04-17,27,7
2022-04-24,28,7
2022-05-01,25,7
2022-05-08,32,9
2022-05-15,28,7
2022-05-22,24,6
2022-05-29,23,6
2022-06-05,20,7
2022-06-12,24,8
2022-06-19,22,9
2022-06-26,19,6
2022-07-03,15,5
2022-07-10,11,4
2022-07-17,10,4
2022-07-24,10,3
2022-07-31,10,2
2022-08-07,10,2
2022-08-14,8,3
