Categoria: Todas as categorias

Semana,dengue: (Ceará),sintomas dengue: (Ceará)
2019-05-26,17,4
2019-06-02,16,3
2019-06-09,14,3
2019-06-16,14,0
2019-06-23,11,2
2019-06-30,14,3
2019-07-07,7,0
2019-07-14,8,0
2019-07-21,10,2
2019-07-28,9,0
2019-08-04,10,0
2019-08-11,7,3
2019-08-18,10,2
2019-08-25,9,0
2019-09-01,7,0
2019-09-08,8,0
2019-09-15,11,0
2019-09-22,7,0
2019-09-29,5,0
2019-10-06,8,0
2019-10-13,5,0
2019-10-20,7,0
2019-10-27,4,0
2019-11-03,8,0
2019-11-10,6,0
2019-11-17,6,0
2019-11-24,6,0
2019-12-01,8,3
2019-12-08,3,0
2019-12-15,4,0
2019-12-22,0,0
2019-12-29,4,0
2020-01-05,7,0
2020-01-12,9,0
2020-01-19,8,0
2020-01-26,8,0
2020-02-02,16,4
2020-02-09,23,4
2020-02-16,23,5
2020-02-23,27,8
2020-03-01,31,8
2020-03-08,38,8
2020-03-15,38,8
2020-03-22,32,6
2020-03-29,30,7
2020-04-05,28,7
2020-04-12,33,8
2020-04-19,38,10
2020-04-26,41,15
2020-05-03,48,18
2020-05-10,37,12
2020-05-17,33,7
2020-05-24,29,7
2020-05-31,25,7
2020-06-07,18,5
2020-06-14,19,6
2020-06-21,22,6
2020-06-28,21,6
2020-07-05,16,4
2020-07-12,13,3
2020-07-19,16,5
2020-07-26,10,2
2020-08-02,10,2
2020-08-09,12,2
2020-08-16,9,3
2020-08-23,9,2
2020-08-30,8,2
2020-09-06,6,0
2020-09-13,7,0
2020-09-20,8,2
2020-09-27,7,0
2020-10-04,6,0
2020-10-11,6,0
2020-10-18,5,0
2020-10-25,5,0
2020-11-01,6,0
2020-11-08,7,0
2020-11-15,6,0
2020-11-22,4,0
2020-11-29,6,0
2020-12-06,8,0
2020-12-13,8,0
2020-12-20,3,0
2020-12-27,7,0
2021-01-03,6,0
2021-01-10,6,0
2021-01-17,6,2
2021-01-24,5,2
2021-01-31,11,2
2021-02-07,11,3
2021-02-14,11,3
2021-02-21,13,3
2021-02-28,15,4
2021-03-07,21,4
2021-03-14,19,5
2021-03-21,20,4
2021-03-28,20,6
2021-04-04,24,5
2021-04-11,27,8
2021-04-18,29,8
2021-04-25,31,8
