Categoria: Todas as categorias

Semana,dengue: (Mato Grosso),sintomas dengue: (Mato Grosso)
2019-05-26,25,5
2019-06-02,20,6
2019-06-09,24,0
2019-06-16,20,9
2019-06-23,22,5
2019-06-30,14,0
2019-07-07,10,0
2019-07-14,9,5
2019-07-21,9,0
2019-07-28,5,0
2019-08-04,0,0
2019-08-11,9,0
2019-08-18,9,0
2019-08-25,8,0
2019-09-01,7,0
2019-09-08,6,0
2019-09-15,8,0
2019-09-22,8,0
2019-09-29,9,0
2019-10-06,6,0
2019-10-13,9,0
2019-10-20,10,0
2019-10-27,11,0
2019-11-03,14,0
2019-11-10,14,0
2019-11-17,9,0
2019-11-24,13,0
2019-12-01,13,0
2019-12-08,17,5
2019-12-15,18,5
2019-12-22,17,6
2019-12-29,21,11
2020-01-05,27,6
2020-01-12,42,12
2020-01-19,40,10
2020-01-26,36,8
2020-02-02,44,10
2020-02-09,42,11
2020-02-16,45,9
2020-02-23,41,10
2020-03-01,45,11
2020-03-08,67,13
2020-03-15,81,21
2020-03-22,56,16
2020-03-29,41,9
2020-04-05,39,9
2020-04-12,36,9
2020-04-19,36,9
2020-04-26,35,9
2020-05-03,32,10
2020-05-10,30,7
2020-05-17,26,5
2020-05-24,29,8
2020-05-31,29,9
2020-06-07,30,11
2020-06-14,35,12
2020-06-21,29,8
2020-06-28,26,8
2020-07-05,24,11
2020-07-12,20,6
2020-07-19,20,9
2020-07-26,15,6
2020-08-02,13,5
2020-08-09,14,4
2020-08-16,14,6
2020-08-23,9,0
2020-08-30,7,0
2020-09-06,7,0
2020-09-13,9,0
2020-09-20,12,4
2020-09-27,9,0
2020-10-04,4,0
2020-10-11,5,0
2020-10-18,9,0
2020-10-25,6,4
2020-11-01,9,0
2020-11-08,7,0
2020-11-15,4,0
2020-11-22,10,0
2020-11-29,11,0
2020-12-06,10,0
2020-12-13,13,6
2020-12-20,9,0
2020-12-27,16,7
2021-01-03,14,6
2021-01-10,18,7
2021-01-17,21,6
2021-01-24,17,6
2021-01-31,16,5
2021-02-07,20,6
2021-02-14,19,6
2021-02-21,21,7
2021-02-28,23,9
2021-03-07,28,8
2021-03-14,28,8
2021-03-21,29,11
2021-03-28,25,10
2021-04-04,28,8
2021-04-11,26,8
2021-04-18,24,5
2021-04-25,19,7
2021-05-02,21,4
2021-05-09,22,5
2021-05-16,22,5
2021-05-23,22,7
2021-05-30,21,5
2021-06-06,18,4
2021-06-13,16,4
2021-06-20,16,4
2021-06-27,7,0
2021-07-04,10,0
2021-07-11,13,0
2021-07-18,8,0
