Categoria: Todas as categorias

Semana,dengue: (Paraíba),sintomas dengue: (Paraíba)
2019-05-26,23,0
2019-06-02,19,6
2019-06-09,22,0
2019-06-16,16,4
2019-06-23,18,4
2019-06-30,18,6
2019-07-07,13,0
2019-07-14,18,4
2019-07-21,16,0
2019-07-28,17,0
2019-08-04,15,0
2019-08-11,13,4
2019-08-18,12,0
2019-08-25,10,0
2019-09-01,11,5
2019-09-08,14,4
2019-09-15,10,4
2019-09-22,10,0
2019-09-29,9,0
2019-10-06,5,0
2019-10-13,6,0
2019-10-20,8,0
2019-10-27,6,0
2019-11-03,9,0
2019-11-10,5,0
2019-11-17,6,0
2019-11-24,6,0
2019-12-01,7,0
2019-12-08,0,0
2019-12-15,7,0
2019-12-22,6,0
2019-12-29,6,0
2020-01-05,0,0
2020-01-12,5,0
2020-01-19,7,0
2020-01-26,7,0
2020-02-02,8,0
2020-02-09,11,3
2020-02-16,7,0
2020-02-23,12,0
2020-03-01,14,4
2020-03-08,11,3
2020-03-15,23,4
2020-03-22,16,0
2020-03-29,12,0
2020-04-05,9,3
2020-04-12,12,0
2020-04-19,14,0
2020-04-26,17,4
2020-05-03,14,5
2020-05-10,22,7
2020-05-17,22,7
2020-05-24,27,10
2020-05-31,22,4
2020-06-07,23,7
2020-06-14,19,7
2020-06-21,21,4
2020-06-28,25,8
2020-07-05,22,5
2020-07-12,22,7
2020-07-19,22,8
2020-07-26,16,3
2020-08-02,13,4
2020-08-09,7,0
2020-08-16,15,4
2020-08-23,10,0
2020-08-30,7,0
2020-09-06,9,0
2020-09-13,7,0
2020-09-20,6,0
2020-09-27,10,3
2020-10-04,9,0
2020-10-11,3,0
2020-10-18,8,0
2020-10-25,8,0
2020-11-01,5,0
2020-11-08,5,0
2020-11-15,7,0
2020-11-22,0,0
2020-11-29,8,0
2020-12-06,7,0
2020-12-13,5,0
2020-12-20,4,0
2020-12-27,5,0
2021-01-03,4,0
2021-01-10,0,0
2021-01-17,4,0
2021-01-24,4,0
2021-01-31,5,0
2021-02-07,7,0
2021-02-14,4,0
2021-02-21,5,0
2021-02-28,6,0
2021-03-07,8,4
2021-03-14,9,0
2021-03-21,9,0
2021-03-28,10,0
2021-04-04,7,0
2021-04-11,9,0
2021-04-18,10,3
2021-04-25,10,0
2021-05-02,11,0
2021-05-09,18,6
2021-05-16,21,5
2021-05-23,21,6
2021-05-30,19,6
2021-06-06,19,5
2021-06-13,16,4
2021-06-20,18,4
2021-06-27,17,5
2021-07-04,18,4
2021-07-11,23,6
2021-07-18,20,6
2021-07-25,17,5
2021-08-01,13,0
2021-08-08,11,0
2021-08-15,15,4
2021-08-22,14,0
2021-08-29,12,0
2021-09-05,7,0
2021-09-12,8,0
