Categoria: Todas as categorias

Semana,dengue: (Rondônia),sintomas dengue: (Rondônia)
2019-09-15,6,0
2019-09-22,0,0
2019-09-29,0,0
2019-10-06,0,0
2019-10-13,5,0
2019-10-20,7,0
2019-10-27,9,0
2019-11-03,14,0
2019-11-10,12,0
2019-11-17,6,0
2019-11-24,10,0
2019-12-01,8,0
2019-12-08,8,0
2019-12-15,14,0
2019-12-22,0,0
2019-12-29,9,0
2020-01-05,16,0
2020-01-12,15,6
2020-01-19,16,7
2020-01-26,15,7
2020-02-02,12,0
2020-02-09,24,7
2020-02-16,20,0
2020-02-23,26,9
2020-03-01,29,8
2020-03-08,32,6
2020-03-15,40,11
2020-03-22,35,9
2020-03-29,24,7
2020-04-05,20,5
2020-04-12,22,0
2020-04-19,21,0
2020-04-26,19,4
2020-05-03,22,5
2020-05-10,19,4
2020-05-17,24,6
2020-05-24,22,7
2020-05-31,19,5
2020-06-07,19,7
2020-06-14,19,6
2020-06-21,14,0
2020-06-28,15,0
2020-07-05,16,6
2020-07-12,12,6
2020-07-19,12,0
2020-07-26,11,0
2020-08-02,10,0
2020-08-09,9,0
2020-08-16,5,0
2020-08-23,9,0
2020-08-30,7,0
2020-09-06,8,0
2020-09-13,7,0
2020-09-20,9,0
2020-09-27,7,0
2020-10-04,7,0
2020-10-11,5,0
2020-10-18,8,0
2020-10-25,7,0
2020-11-01,5,0
2020-11-08,9,0
2020-11-15,10,0
2020-11-22,10,0
2020-11-29,10,0
2020-12-06,11,0
2020-12-13,10,0
2020-12-20,11,5
2020-12-27,11,0
2021-01-03,17,7
2021-01-10,16,6
2021-01-17,14,5
2021-01-24,18,0
2021-01-31,12,5
2021-02-07,19,7
2021-02-14,14,0
2021-02-21,25,10
2021-02-28,21,5
2021-03-07,24,7
2021-03-14,24,6
2021-03-21,24,6
2021-03-28,16,0
2021-04-04,20,5
2021-04-11,17,5
2021-04-18,14,5
2021-04-25,13,0
2021-05-02,14,0
2021-05-09,11,0
2021-05-16,16,0
2021-05-23,14,0
2021-05-30,12,0
2021-06-06,9,0
2021-06-13,14,0
2021-06-20,13,0
2021-06-27,7,0
2021-07-04,0,0
2021-07-11,5,0
2021-07-18,0,0
2021-07-25,0,0
2021-08-01,6,0
2021-08-08,0,0
2021-08-15,0,0
2021-08-22,0,0
2021-08-29,0,0
2021-09-05,9,0
2021-09-12,0,0
2021-09-19,0,0
2021-09-26,6,0
2021-10-03,6,0
2021-10-10,7,0
2021-10-17,7,0
2021-10-24,8,0
2021-10-31,6,0
2021-11-07,11,0
2021-11-14,8,0
2021-11-21,12,0
2021-11-28,8,0
2021-12-05,10,0
2021-12-12,11,0
2021-12-19,11,0
2021-12-26,15,0
2022-01-02,25,8
2022-01-09,28,11
2022-01-16,32,10
2022-01-23,26,10
2022-01-30,32,10
2022-02-06,30,10
2022-02-13,26,9
2022-02-20,30,5
2022-02-27,28,8
2022-03-06,30,6
2022-03-13,32,6
2022-03-20,38,8
2022-03-27,44,8
2022-04-03,36,8
2022-04-10,39,9
2022-04-17,33,9
2022-04-24,40,9
2022-05-01,36,7
2022-05-08,38,10
2022-05-15,32,12
2022-05-22,32,7
2022-05-29,28,8
2022-06-05,27,5
2022-06-12,28,9
2022-06-19,24,8
2022-06-26,27,8
2022-07-03,21,5
2022-07-10,17,6
2022-07-17,17,7
2022-07-24,15,10
2022-07-31,10,0
2022-08-07,13,6
2022-08-14,12,0
2022-08-21,10,0
2022-08-28,13,0
2022-09-04,7,0
2022-09-11,10,3
2022-09-18,8,0
2022-09-25,7,0
2022-10-02,8,4
2022-10-09,10,0
2022-10-16,14,7
2022-10-23,12,0
2022-10-30,16,0
2022-11-06,14,4
2022-11-13,23,6
2022-11-20,23,5
2022-11-27,27,6
2022-12-04,22,7
2022-12-11,36,11
2022-12-18,40,12
2022-12-25,44,14
2023-01-01,45,15
2023-01-08,49,14
2023-01-15,54,17
2023-01-22,46,16
2023-01-29,42,14
2023-02-05,43,12
2023-02-12,58,15
2023-02-19,48,10
2023-02-26,50,16
2023-03-05,52,14
2023-03-12,51,12
2023-03-19,48,12
2023-03-26,47,12
2023-04-02,39,10
2023-04-09,31,8
2023-04-16,32,7
2023-04-23,25,4
2023-04-30,24,6
2023-05-07,22,6
2023-05-14,19,5
2023-05-21,18,4
2023-05-28,17,4
2023-06-04,12,0
2023-06-11,14,3
2023-06-18,12,4
2023-06-25,10,0
2023-07-02,12,0
2023-07-09,6,0
2023-07-16,7,0
2023-07-23,5,0
2023-07-30,0,0
2023-08-06,7,0
2023-08-13,7,0
2023-08-20,8,0
2023-08-27,10,0
2023-09-03,5,0
2023-09-10,8,0
2023-09-17,6,0
2023-09-24,9,0
2023-10-01,7,0
2023-10-08,8,0
2023-10-15,8,0
2023-10-22,13,0
2023-10-29,6,0
2023-11-05,8,0
2023-11-12,9,0
2023-11-19,7,0
2023-11-26,10,0
2023-12-03,9,0
2023-12-10,10,4
2023-12-17,16,0
2023-12-24,17,5
2023-12-31,24,8
2024-01-07,25,10
2024-01-14,26,7
2024-01-21,29,9
2024-01-28,46,7
2024-02-04,69,19
2024-02-11,95,19
2024-02-18,97,18
2024-02-25,100,26
2024-03-03,83,16
2024-03-10,86,18
2024-03-17,72,10
2024-03-24,52,8
2024-03-31,59,11
2024-04-07,47,11
2024-04-14,44,7
2024-04-21,42,8
2024-04-28,38,9
2024-05-05,26,0
2024-05-12,18,0
2024-05-19,17,0
2024-05-26,17,0
2024-06-02,16,0
2024-06-09,8,6
2024-06-16,11,0
2024-06-23,8,0
2024-06-30,12,0
2024-07-07,11,0
2024-07-14,7,0
2024-07-21,10,0
2024-07-28,9,0
2024-08-04,7,0
2024-08-11,9,0
2024-08-18,7,0
2024-08-25,9,0
2024-09-01,6,1
2024-09-08,7,1
2024-09-15,6,0
