Categoria: Todas as categorias,,
,,
Semana,dengue: (Roraima),sintomas dengue: (Roraima)
2020/6/28,0,0
2020/7/5,47,0
2020/7/12,0,0
2020/7/19,36,0
2020/7/26,0,0
2020/8/2,0,0
2020/8/9,0,0
2020/8/16,0,0
2020/8/23,0,0
2020/8/30,0,0
2020/9/6,0,0
2020/9/13,0,0
2020/9/20,0,0
2020/9/27,0,0
2020/10/4,0,0
2020/10/11,0,0
2020/10/18,0,0
2020/10/25,0,0
2020/11/1,0,0
2020/11/8,0,0
2020/11/15,0,0
2020/11/22,0,0
2020/11/29,0,0
2020/12/6,0,0
2020/12/13,0,0
2020/12/20,0,0
2020/12/27,0,0
2021/1/3,0,0
2021/1/10,0,0
2021/1/17,0,0
2021/1/24,0,0
2021/1/31,0,0
2021/2/7,0,0
2021/2/14,0,0
2021/2/21,0,0
2021/2/28,0,0
2021/3/7,0,0
2021/3/14,0,0
2021/3/21,0,0
2021/3/28,0,0
2021/4/4,0,0
2021/4/11,0,0
2021/4/18,0,0
2021/4/25,0,0
2021/5/2,0,0
2021/5/9,0,0
2021/5/16,0,0
2021/5/23,0,0
2021/5/30,0,0
2021/6/6,0,0
2021/6/13,0,0
2021/6/20,0,0
2021/6/27,0,0
2021/7/4,0,0
2021/7/11,0,0
2021/7/18,0,0
2021/7/25,0,0
2021/8/1,0,0
2021/8/8,0,0
2021/8/15,0,0
2021/8/22,0,0
2021/8/29,0,0
2021/9/5,0,0
2021/9/12,0,0
2021/9/19,0,0
2021/9/26,0,0
2021/10/3,0,0
2021/10/10,0,0
2021/10/17,0,0
2021/10/24,0,0
2021/10/31,0,0
2021/11/7,0,0
2021/11/14,0,0
2021/11/21,39,0
2021/11/28,0,0
2021/12/5,0,0
2021/12/12,0,0
2021/12/19,0,0
2021/12/26,0,0
2022/1/2,0,0
2022/1/9,0,0
2022/1/16,0,0
2022/1/23,0,0
2022/1/30,0,0
2022/2/6,0,0
2022/2/13,0,0
2022/2/20,0,0
2022/2/27,0,0
2022/3/6,0,0
2022/3/13,26,0
2022/3/20,0,0
2022/3/27,0,0
2022/4/3,0,0
2022/4/10,0,0
2022/4/17,23,0
2022/4/24,0,0
2022/5/1,0,0
2022/5/8,31,0
2022/5/15,27,0
2022/5/22,34,0
2022/5/29,34,0
2022/6/5,49,0
2022/6/12,0,0
2022/6/19,0,0
2022/6/26,30,0
2022/7/3,0,0
2022/7/10,0,0
2022/7/17,0,0
2022/7/24,0,0
2022/7/31,0,0
2022/8/7,0,0
2022/8/14,0,0
2022/8/21,30,0
2022/8/28,0,0
2022/9/4,0,0
2022/9/11,0,0
2022/9/18,0,0
2022/9/25,0,0
2022/10/2,0,0
2022/10/9,0,0
2022/10/16,0,0
2022/10/23,0,0
2022/10/30,0,0
2022/11/6,0,0
2022/11/13,0,0
2022/11/20,30,0
2022/11/27,0,0
2022/12/4,0,0
2022/12/11,29,0
2022/12/18,0,0
2022/12/25,0,0
2023/1/1,0,0
2023/1/8,0,0
2023/1/15,0,0
2023/1/22,0,0
2023/1/29,0,0
2023/2/5,0,0
2023/2/12,0,0
2023/2/19,0,0
2023/2/26,0,0
2023/3/5,30,0
2023/3/12,0,0
2023/3/19,0,0
2023/3/26,0,0
2023/4/2,0,0
2023/4/9,0,0
2023/4/16,0,0
2023/4/23,0,0
2023/4/30,0,0
2023/5/7,32,0
2023/5/14,0,0
2023/5/21,0,0
2023/5/28,61,0
2023/6/4,0,0
2023/6/11,0,0
2023/6/18,0,0
2023/6/25,33,0
2023/7/2,0,0
2023/7/9,42,0
2023/7/16,33,0
2023/7/23,30,0
2023/7/30,28,0
2023/8/6,36,0
2023/8/13,0,0
2023/8/20,30,34
2023/8/27,0,0
2023/9/3,0,0
2023/9/10,0,0
2023/9/17,0,0
2023/9/24,0,0
2023/10/1,0,0
2023/10/8,0,0
2023/10/15,0,0
2023/10/22,0,0
2023/10/29,0,0
2023/11/5,0,0
2023/11/12,0,0
2023/11/19,0,0
2023/11/26,0,0
2023/12/3,0,0
2023/12/10,0,0
2023/12/17,0,0
2023/12/24,0,0
2023/12/31,0,0
2024/1/7,0,0
2024/1/14,0,0
2024/1/21,0,0
2024/1/28,0,0
2024/2/4,49,0
2024/2/11,73,0
2024/2/18,98,44
2024/2/25,63,0
2024/3/3,89,0
2024/3/10,70,0
2024/3/17,98,0
2024/3/24,68,0
2024/3/31,100,0
2024/4/7,63,0
2024/4/14,37,0
2024/4/21,0,0
2024/4/28,48,0
2024/5/5,44,0
2024/5/12,63,46
2024/5/19,37,0
2024/5/26,48,0
2024/6/2,55,45
2024/6/9,41,0
2024/6/16,53,0
2024/6/23,69,0
2024/6/30,53,0
2024/7/7,0,0
2024/7/14,52,0
2024/7/21,0,0
2024/7/28,0,0
2024/8/4,0,0
2024/8/11,0,0
2024/8/18,0,0
2024/8/25,0,0
2024/9/1,0,0
2024/9/8,0,0
2024/9/15,0,0
2024/9/22,0,0
2024/9/29,0,0
2024/10/6,37,0
2024/10/13,0,0
2024/10/20,49,0
2024/10/27,0,0
2024/11/3,0,0
2024/11/10,0,0
2024/11/17,0,0
2024/11/24,0,0
2024/12/1,0,0
2024/12/8,0,0
2024/12/15,0,0
2024/12/22,0,0
2024/12/29,0,0
2025/1/5,0,0
2025/1/12,0,0
2025/1/19,0,0
2025/1/26,0,0
2025/2/2,49,0
2025/2/9,0,0
2025/2/16,0,0
2025/2/23,0,0
2025/3/2,0,0
2025/3/9,0,0
2025/3/16,0,0
2025/3/23,0,0
2025/3/30,0,0
2025/4/6,0,0
2025/4/13,41,0
2025/4/20,0,0
2025/4/27,0,0
2025/5/4,0,0
2025/5/11,0,0
