Categoria: Todas as categorias

Semana,dengue: (Distrito Federal),sintomas dengue: (Distrito Federal)
2019-07-07,4,2
2019-07-14,4,1
2019-07-21,3,1
2019-07-28,3,1
2019-08-04,2,1
2019-08-11,2,1
2019-08-18,2,1
2019-08-25,2,<1
2019-09-01,2,<1
2019-09-08,2,0
2019-09-15,2,0
2019-09-22,2,1
2019-09-29,2,1
2019-10-06,2,1
2019-10-13,2,1
2019-10-20,2,1
2019-10-27,2,<1
2019-11-03,2,<1
2019-11-10,2,1
2019-11-17,2,<1
2019-11-24,2,0
2019-12-01,3,1
2019-12-08,2,1
2019-12-15,2,1
2019-12-22,3,1
2019-12-29,2,1
2020-01-05,3,1
2020-01-12,4,2
2020-01-19,5,1
2020-01-26,9,1
2020-02-02,7,2
2020-02-09,6,1
2020-02-16,10,2
2020-02-23,11,3
2020-03-01,12,3
2020-03-08,18,4
2020-03-15,16,4
2020-03-22,13,3
2020-03-29,13,3
2020-04-05,13,3
2020-04-12,14,3
2020-04-19,12,3
2020-04-26,13,3
2020-05-03,13,3
2020-05-10,11,3
2020-05-17,10,3
2020-05-24,9,3
2020-05-31,9,3
2020-06-07,9,2
2020-06-14,7,2
2020-06-21,7,2
2020-06-28,7,2
2020-07-05,6,2
2020-07-12,5,1
2020-07-19,5,2
2020-07-26,4,1
2020-08-02,3,1
2020-08-09,3,1
2020-08-16,3,1
2020-08-23,2,1
2020-08-30,2,1
2020-09-06,2,1
2020-09-13,2,1
2020-09-20,2,0
2020-09-27,3,1
2020-10-04,2,0
2020-10-11,1,0
2020-10-18,2,<1
2020-10-25,2,0
2020-11-01,2,1
2020-11-08,2,0
2020-11-15,3,1
2020-11-22,2,1
2020-11-29,2,1
2020-12-06,3,1
2020-12-13,2,1
2020-12-20,2,1
2020-12-27,2,1
2021-01-03,3,1
2021-01-10,2,1
2021-01-17,2,<1
2021-01-24,3,1
2021-01-31,2,<1
2021-02-07,3,1
2021-02-14,2,1
2021-02-21,3,1
2021-02-28,4,1
2021-03-07,4,1
2021-03-14,5,1
2021-03-21,5,2
2021-03-28,6,2
2021-04-04,4,1
2021-04-11,5,2
2021-04-18,5,1
2021-04-25,4,1
2021-05-02,4,1
2021-05-09,5,1
2021-05-16,4,1
2021-05-23,8,1
2021-05-30,7,1
2021-06-06,5,1
2021-06-13,3,1
2021-06-20,3,1
2021-06-27,3,1
2021-07-04,2,0
2021-07-11,2,0
2021-07-18,1,0
2021-07-25,2,0
2021-08-01,1,1
2021-08-08,1,0
2021-08-15,1,0
2021-08-22,1,0
2021-08-29,2,0
2021-09-05,1,0
2021-09-12,2,0
2021-09-19,1,<1
2021-09-26,1,1
2021-10-03,2,1
2021-10-10,2,0
2021-10-17,1,0
2021-10-24,1,0
2021-10-31,2,0
2021-11-07,2,0
2021-11-14,2,1
2021-11-21,3,1
2021-11-28,3,1
2021-12-05,3,1
2021-12-12,4,1
2021-12-19,5,2
2021-12-26,5,1
2022-01-02,7,2
2022-01-09,6,2
2022-01-16,7,2
2022-01-23,8,3
2022-01-30,7,2
2022-02-06,7,2
2022-02-13,8,2
2022-02-20,7,2
2022-02-27,8,2
2022-03-06,9,2
2022-03-13,9,2
2022-03-20,12,2
2022-03-27,14,3
2022-04-03,15,3
2022-04-10,16,4
2022-04-17,19,5
2022-04-24,21,5
2022-05-01,19,5
2022-05-08,17,4
2022-05-15,15,5
2022-05-22,13,4
2022-05-29,13,5
2022-06-05,12,5
2022-06-12,10,3
2022-06-19,8,3
2022-06-26,6,2
2022-07-03,4,1
2022-07-10,3,1
2022-07-17,3,1
2022-07-24,3,1
2022-07-31,2,1
2022-08-07,2,1
2022-08-14,2,1
2022-08-21,3,1
2022-08-28,3,1
2022-09-04,2,1
2022-09-11,3,1
2022-09-18,2,1
2022-09-25,3,1
2022-10-02,2,1
2022-10-09,2,1
2022-10-16,2,<1
2022-10-23,2,1
2022-10-30,2,1
2022-11-06,2,1
2022-11-13,3,1
2022-11-20,3,1
2022-11-27,3,1
2022-12-04,4,1
2022-12-11,4,1
2022-12-18,3,1
2022-12-25,4,1
2023-01-01,4,1
2023-01-08,4,1
2023-01-15,3,1
2023-01-22,3,1
2023-01-29,4,1
2023-02-05,4,1
2023-02-12,4,1
2023-02-19,3,1
2023-02-26,5,1
2023-03-05,5,1
2023-03-12,5,1
2023-03-19,5,2
2023-03-26,7,2
2023-04-02,5,1
2023-04-09,6,2
2023-04-16,6,2
2023-04-23,6,2
2023-04-30,6,1
2023-05-07,5,1
2023-05-14,5,1
2023-05-21,4,1
2023-05-28,4,1
2023-06-04,3,<1
2023-06-11,3,1
2023-06-18,3,1
2023-06-25,3,1
2023-07-02,4,<1
2023-07-09,3,1
2023-07-16,3,<1
2023-07-23,3,1
2023-07-30,2,1
2023-08-06,3,1
2023-08-13,2,0
2023-08-20,2,1
2023-08-27,2,1
2023-09-03,2,0
2023-09-10,3,1
2023-09-17,4,1
2023-09-24,2,1
2023-10-01,2,1
2023-10-08,3,1
2023-10-15,3,1
2023-10-22,3,1
2023-10-29,3,1
2023-11-05,4,1
2023-11-12,3,1
2023-11-19,5,1
2023-11-26,6,1
2023-12-03,8,1
2023-12-10,11,2
2023-12-17,14,3
2023-12-24,19,4
2023-12-31,26,5
2024-01-07,37,7
2024-01-14,56,11
2024-01-21,73,13
2024-01-28,93,15
2024-02-04,100,16
2024-02-11,93,15
2024-02-18,81,13
2024-02-25,73,13
2024-03-03,71,10
2024-03-10,58,8
2024-03-17,55,8
2024-03-24,43,6
2024-03-31,34,6
2024-04-07,35,5
2024-04-14,39,5
2024-04-21,31,4
2024-04-28,25,4
2024-05-05,18,3
2024-05-12,16,3
2024-05-19,13,2
2024-05-26,9,1
2024-06-02,7,1
2024-06-09,5,1
2024-06-16,5,1
2024-06-23,5,<1
2024-06-30,4,1
2024-07-07,4,1
