Categoria: Todas as categorias

Semana,dengue: (Piauí),sintomas dengue: (Piauí)
2020-02-23,7,0
2020-03-01,9,2
2020-03-08,11,2
2020-03-15,15,4
2020-03-22,13,4
2020-03-29,10,2
2020-04-05,9,0
2020-04-12,8,2
2020-04-19,8,2
2020-04-26,10,3
2020-05-03,11,0
2020-05-10,10,2
2020-05-17,9,3
2020-05-24,10,3
2020-05-31,10,3
2020-06-07,9,2
2020-06-14,8,4
2020-06-21,9,2
2020-06-28,6,2
2020-07-05,6,2
2020-07-12,5,0
2020-07-19,5,0
2020-07-26,3,0
2020-08-02,3,0
2020-08-09,3,0
2020-08-16,3,0
2020-08-23,3,0
2020-08-30,3,0
2020-09-06,0,0
2020-09-13,4,0
2020-09-20,0,0
2020-09-27,3,0
2020-10-04,3,0
2020-10-11,3,0
2020-10-18,2,0
2020-10-25,0,0
2020-11-01,2,0
2020-11-08,3,0
2020-11-15,0,0
2020-11-22,4,0
2020-11-29,4,0
2020-12-06,4,0
2020-12-13,0,0
2020-12-20,3,2
2020-12-27,0,0
2021-01-03,3,0
2021-01-10,2,0
2021-01-17,2,0
2021-01-24,3,0
2021-01-31,3,0
2021-02-07,4,0
2021-02-14,4,0
2021-02-21,4,0
2021-02-28,4,0
2021-03-07,7,2
2021-03-14,5,0
2021-03-21,6,2
2021-03-28,5,2
2021-04-04,10,2
2021-04-11,6,3
2021-04-18,8,2
2021-04-25,8,2
2021-05-02,7,3
2021-05-09,9,2
2021-05-16,10,2
2021-05-23,9,2
2021-05-30,9,4
2021-06-06,11,3
2021-06-13,10,3
2021-06-20,10,0
2021-06-27,7,0
2021-07-04,7,2
2021-07-11,6,0
2021-07-18,5,0
2021-07-25,5,4
2021-08-01,4,0
2021-08-08,6,0
2021-08-15,6,3
2021-08-22,6,0
2021-08-29,5,0
2021-09-05,3,0
2021-09-12,4,0
2021-09-19,3,0
2021-09-26,5,0
2021-10-03,5,0
2021-10-10,4,0
2021-10-17,3,0
2021-10-24,3,0
2021-10-31,3,0
2021-11-07,4,0
2021-11-14,3,0
2021-11-21,3,0
2021-11-28,5,0
2021-12-05,3,0
2021-12-12,5,0
2021-12-19,6,0
2021-12-26,5,0
2022-01-02,8,3
2022-01-09,8,3
2022-01-16,11,3
2022-01-23,10,4
2022-01-30,10,4
2022-02-06,13,6
2022-02-13,18,5
2022-02-20,19,7
2022-02-27,27,7
2022-03-06,30,8
2022-03-13,34,9
2022-03-20,43,12
2022-03-27,64,17
2022-04-03,68,22
2022-04-10,76,20
2022-04-17,100,28
2022-04-24,99,27
2022-05-01,89,23
2022-05-08,74,19
2022-05-15,70,19
2022-05-22,50,14
2022-05-29,43,14
2022-06-05,42,12
2022-06-12,34,11
2022-06-19,28,8
2022-06-26,29,10
2022-07-03,22,8
2022-07-10,16,4
2022-07-17,11,3
2022-07-24,7,2
2022-07-31,9,3
2022-08-07,7,2
2022-08-14,5,2
2022-08-21,5,1
2022-08-28,4,2
2022-09-04,4,0
2022-09-11,3,0
2022-09-18,4,0
2022-09-25,5,0
2022-10-02,4,0
2022-10-09,3,0
2022-10-16,4,0
2022-10-23,4,0
2022-10-30,5,0
2022-11-06,5,0
2022-11-13,5,2
2022-11-20,3,0
2022-11-27,4,0
2022-12-04,3,0
2022-12-11,5,0
2022-12-18,4,0
2022-12-25,4,0
2023-01-01,5,0
2023-01-08,5,2
2023-01-15,7,3
2023-01-22,6,0
2023-01-29,7,2
2023-02-05,7,2
2023-02-12,9,3
2023-02-19,11,3
2023-02-26,15,4
2023-03-05,12,3
2023-03-12,14,4
2023-03-19,16,5
2023-03-26,20,7
2023-04-02,17,5
2023-04-09,20,7
2023-04-16,19,5
2023-04-23,21,5
2023-04-30,15,4
2023-05-07,19,5
2023-05-14,16,4
2023-05-21,12,3
2023-05-28,13,3
2023-06-04,9,2
2023-06-11,8,2
2023-06-18,9,3
2023-06-25,7,2
2023-07-02,8,2
2023-07-09,5,0
2023-07-16,5,0
2023-07-23,4,0
2023-07-30,4,0
2023-08-06,4,1
2023-08-13,4,0
2023-08-20,2,0
2023-08-27,4,0
2023-09-03,3,0
2023-09-10,4,0
2023-09-17,3,0
2023-09-24,3,0
2023-10-01,3,0
2023-10-08,3,0
2023-10-15,3,0
2023-10-22,2,0
2023-10-29,2,0
2023-11-05,3,0
2023-11-12,2,0
2023-11-19,3,0
