Categoria: Todas as categorias

Semana,dengue: (Acre),sintomas dengue: (Acre)
2020-02-23,7,0
2020-03-01,18,8
2020-03-08,24,0
2020-03-15,15,0
2020-03-22,10,0
2020-03-29,8,0
2020-04-05,9,0
2020-04-12,0,6
2020-04-19,10,0
2020-04-26,9,0
2020-05-03,10,0
2020-05-10,13,6
2020-05-17,11,7
2020-05-24,8,0
2020-05-31,15,0
2020-06-07,12,7
2020-06-14,15,7
2020-06-21,7,0
2020-06-28,0,0
2020-07-05,10,0
2020-07-12,0,0
2020-07-19,0,0
2020-07-26,0,0
2020-08-02,0,0
2020-08-09,0,0
2020-08-16,6,0
2020-08-23,0,0
2020-08-30,0,0
2020-09-06,7,0
2020-09-13,0,0
2020-09-20,0,0
2020-09-27,6,0
2020-10-04,6,0
2020-10-11,0,0
2020-10-18,8,0
2020-10-25,0,0
2020-11-01,7,0
2020-11-08,6,0
2020-11-15,7,0
2020-11-22,14,7
2020-11-29,16,6
2020-12-06,16,0
2020-12-13,17,0
2020-12-20,25,8
2020-12-27,26,8
2021-01-03,45,16
2021-01-10,54,24
2021-01-17,52,18
2021-01-24,52,19
2021-01-31,69,19
2021-02-07,60,14
2021-02-14,67,21
2021-02-21,60,19
2021-02-28,50,18
2021-03-07,45,13
2021-03-14,36,11
2021-03-21,25,8
2021-03-28,27,6
2021-04-04,22,0
2021-04-11,10,0
2021-04-18,12,0
2021-04-25,11,0
2021-05-02,0,0
2021-05-09,8,0
2021-05-16,12,0
2021-05-23,0,0
2021-05-30,7,0
2021-06-06,8,0
2021-06-13,5,0
2021-06-20,5,0
2021-06-27,0,0
2021-07-04,5,0
2021-07-11,0,0
2021-07-18,0,0
2021-07-25,0,0
2021-08-01,0,0
2021-08-08,0,0
2021-08-15,0,0
2021-08-22,0,0
2021-08-29,0,0
2021-09-05,0,0
2021-09-12,7,0
2021-09-19,0,0
2021-09-26,0,0
2021-10-03,0,0
2021-10-10,0,0
2021-10-17,0,0
2021-10-24,0,0
2021-10-31,0,0
2021-11-07,6,0
2021-11-14,6,0
2021-11-21,6,0
2021-11-28,0,0
2021-12-05,6,0
2021-12-12,12,0
2021-12-19,10,0
2021-12-26,10,0
2022-01-02,6,0
2022-01-09,6,0
2022-01-16,14,0
2022-01-23,13,0
2022-01-30,12,0
2022-02-06,7,0
2022-02-13,9,0
2022-02-20,6,0
2022-02-27,8,0
2022-03-06,7,0
2022-03-13,10,0
2022-03-20,8,0
2022-03-27,8,0
2022-04-03,5,0
2022-04-10,7,0
2022-04-17,7,3
2022-04-24,7,0
2022-05-01,11,0
2022-05-08,8,0
2022-05-15,0,8
2022-05-22,7,0
2022-05-29,4,0
2022-06-05,6,0
2022-06-12,4,0
2022-06-19,6,0
2022-06-26,9,0
2022-07-03,0,0
2022-07-10,7,4
2022-07-17,6,0
2022-07-24,0,0
2022-07-31,5,0
2022-08-07,5,0
2022-08-14,0,0
2022-08-21,0,0
2022-08-28,0,0
2022-09-04,0,0
2022-09-11,0,0
2022-09-18,0,0
2022-09-25,0,0
2022-10-02,0,0
2022-10-09,0,0
2022-10-16,5,0
2022-10-23,7,0
2022-10-30,6,0
2022-11-06,5,0
2022-11-13,6,0
2022-11-20,6,0
2022-11-27,5,0
2022-12-04,8,0
2022-12-11,6,0
2022-12-18,6,0
2022-12-25,0,0
2023-01-01,9,0
2023-01-08,7,0
2023-01-15,6,0
2023-01-22,6,0
2023-01-29,14,0
2023-02-05,15,0
2023-02-12,19,0
2023-02-19,13,7
2023-02-26,15,5
2023-03-05,16,0
2023-03-12,17,0
2023-03-19,13,0
2023-03-26,18,6
2023-04-02,22,7
2023-04-09,21,6
2023-04-16,23,8
2023-04-23,20,5
2023-04-30,13,0
2023-05-07,12,0
2023-05-14,14,4
2023-05-21,8,0
2023-05-28,7,0
2023-06-04,6,0
2023-06-11,0,0
2023-06-18,7,0
2023-06-25,4,0
2023-07-02,9,0
2023-07-09,7,0
2023-07-16,5,0
2023-07-23,5,0
2023-07-30,0,0
2023-08-06,5,0
2023-08-13,0,0
2023-08-20,5,0
2023-08-27,0,0
2023-09-03,0,0
2023-09-10,5,0
2023-09-17,5,0
2023-09-24,0,0
2023-10-01,5,0
2023-10-08,5,0
2023-10-15,5,0
2023-10-22,8,0
2023-10-29,11,0
2023-11-05,16,0
2023-11-12,12,5
2023-11-19,20,0
2023-11-26,27,6
2023-12-03,42,11
2023-12-10,81,18
2023-12-17,100,19
2023-12-24,95,19
2023-12-31,94,16
2024-01-07,91,15
2024-01-14,57,7
2024-01-21,46,8
2024-01-28,32,0
2024-02-04,20,0
2024-02-11,36,0
2024-02-18,28,5
2024-02-25,21,0
2024-03-03,20,0
2024-03-10,18,0
2024-03-17,23,0
2024-03-24,18,0
2024-03-31,14,0
2024-04-07,27,0
2024-04-14,21,0
2024-04-21,22,0
2024-04-28,12,0
2024-05-05,8,0
2024-05-12,8,0
2024-05-19,6,0
2024-05-26,0,0
2024-06-02,5,0
2024-06-09,8,0
2024-06-16,0,0
2024-06-23,8,0
2024-06-30,5,0
2024-07-07,0,0
2024-07-14,5,0
2024-07-21,0,0
2024-07-28,0,0
2024-08-04,0,0
2024-08-11,0,0
2024-08-18,9,0
2024-08-25,5,0
2024-09-01,0,0
2024-09-08,0,0
2024-09-15,0,0
2024-09-22,0,0
2024-09-29,0,0
2024-10-06,5,0
2024-10-13,9,0
2024-10-20,11,0
2024-10-27,12,0
2024-11-03,10,0
2024-11-10,7,0
2024-11-17,11,0
2024-11-24,13,0
2024-12-01,11,0
2024-12-08,17,0
2024-12-15,25,0
2024-12-22,26,0
2024-12-29,22,0
2025-01-05,32,0
2025-01-12,27,0
2025-01-19,18,0
2025-01-26,25,0
2025-02-02,19,0
2025-02-09,21,1
2025-02-16,21,2
2025-02-23,21,2
