Categoria: Todas as categorias

Semana,dengue: (Amazonas),sintomas dengue: (Amazonas)
2019-05-05,11,0
2019-05-12,11,0
2019-05-19,0,0
2019-05-26,0,0
2019-06-02,13,0
2019-06-09,12,0
2019-06-16,10,0
2019-06-23,0,0
2019-06-30,0,0
2019-07-07,7,0
2019-07-14,6,0
2019-07-21,0,0
2019-07-28,7,0
2019-08-04,7,0
2019-08-11,0,0
2019-08-18,7,0
2019-08-25,7,0
2019-09-01,0,0
2019-09-08,0,0
2019-09-15,0,0
2019-09-22,8,0
2019-09-29,7,0
2019-10-06,7,0
2019-10-13,6,0
2019-10-20,0,0
2019-10-27,9,0
2019-11-03,11,0
2019-11-10,9,0
2019-11-17,11,0
2019-11-24,10,0
2019-12-01,9,0
2019-12-08,7,0
2019-12-15,10,0
2019-12-22,0,0
2019-12-29,14,0
2020-01-05,13,0
2020-01-12,10,0
2020-01-19,6,0
2020-01-26,13,0
2020-02-02,14,0
2020-02-09,16,0
2020-02-16,14,0
2020-02-23,13,0
2020-03-01,12,0
2020-03-08,18,0
2020-03-15,29,0
2020-03-22,21,0
2020-03-29,21,5
2020-04-05,29,10
2020-04-12,26,8
2020-04-19,22,8
2020-04-26,19,8
2020-05-03,9,5
2020-05-10,12,0
2020-05-17,10,0
2020-05-24,13,0
2020-05-31,11,0
2020-06-07,9,0
2020-06-14,10,0
2020-06-21,11,0
2020-06-28,6,0
2020-07-05,6,0
2020-07-12,9,0
2020-07-19,10,0
2020-07-26,8,0
2020-08-02,10,0
2020-08-09,5,0
2020-08-16,5,0
2020-08-23,6,0
2020-08-30,7,0
2020-09-06,7,0
2020-09-13,5,0
2020-09-20,8,0
2020-09-27,6,0
2020-10-04,8,0
2020-10-11,8,0
2020-10-18,9,0
2020-10-25,9,0
2020-11-01,6,0
2020-11-08,9,0
2020-11-15,8,0
2020-11-22,13,0
2020-11-29,9,0
2020-12-06,9,0
2020-12-13,9,0
2020-12-20,10,0
2020-12-27,19,9
2021-01-03,26,14
2021-01-10,13,7
2021-01-17,17,7
2021-01-24,23,5
2021-01-31,16,0
2021-02-07,11,0
2021-02-14,16,7
2021-02-21,22,7
2021-02-28,23,10
2021-03-07,16,5
2021-03-14,18,5
2021-03-21,24,6
2021-03-28,21,5
2021-04-04,18,0
2021-04-11,20,0
2021-04-18,24,0
2021-04-25,20,0
2021-05-02,19,0
2021-05-09,16,0
2021-05-16,21,0
2021-05-23,18,7
2021-05-30,14,0
2021-06-06,13,0
2021-06-13,15,0
2021-06-20,12,0
2021-06-27,10,0
2021-07-04,12,0
2021-07-11,14,0
2021-07-18,11,6
2021-07-25,10,0
2021-08-01,11,0
2021-08-08,11,0
2021-08-15,13,0
2021-08-22,7,0
2021-08-29,9,0
2021-09-05,10,0
2021-09-12,8,0
2021-09-19,6,0
2021-09-26,10,0
2021-10-03,8,0
2021-10-10,0,0
2021-10-17,7,0
2021-10-24,6,0
2021-10-31,6,0
2021-11-07,6,0
2021-11-14,5,0
2021-11-21,8,0
2021-11-28,6,0
2021-12-05,6,0
2021-12-12,11,0
2021-12-19,10,0
2021-12-26,0,0
2022-01-02,8,0
2022-01-09,11,0
2022-01-16,8,0
2022-01-23,8,0
2022-01-30,9,0
2022-02-06,8,0
2022-02-13,12,0
2022-02-20,12,0
2022-02-27,11,0
2022-03-06,10,0
2022-03-13,13,0
2022-03-20,18,5
2022-03-27,14,0
2022-04-03,16,0
2022-04-10,14,0
2022-04-17,16,4
2022-04-24,16,0
2022-05-01,17,5
2022-05-08,15,0
2022-05-15,17,0
2022-05-22,19,4
2022-05-29,16,5
2022-06-05,15,4
2022-06-12,16,4
2022-06-19,12,0
2022-06-26,9,0
2022-07-03,9,0
2022-07-10,8,0
2022-07-17,11,4
2022-07-24,11,0
2022-07-31,10,0
2022-08-07,11,0
2022-08-14,11,0
2022-08-21,10,0
2022-08-28,6,0
2022-09-04,6,0
2022-09-11,6,0
2022-09-18,8,0
2022-09-25,7,0
2022-10-02,4,0
2022-10-09,0,0
2022-10-16,8,0
2022-10-23,9,0
2022-10-30,7,0
2022-11-06,14,0
2022-11-13,9,0
2022-11-20,11,0
2022-11-27,12,0
2022-12-04,10,0
2022-12-11,8,0
2022-12-18,10,5
2022-12-25,8,0
2023-01-01,4,0
2023-01-08,5,0
2023-01-15,8,0
2023-01-22,8,0
2023-01-29,9,6
2023-02-05,12,0
2023-02-12,16,5
2023-02-19,19,0
2023-02-26,16,4
2023-03-05,15,0
2023-03-12,17,5
2023-03-19,18,0
2023-03-26,19,4
2023-04-02,15,4
2023-04-09,17,5
2023-04-16,15,4
2023-04-23,16,5
2023-04-30,14,0
2023-05-07,17,5
2023-05-14,19,6
2023-05-21,16,0
