Categoria: Todas as categorias

Semana,dengue: (Mato Grosso do Sul),sintomas dengue: (Mato Grosso do Sul),tratamento dengue: (Mato Grosso do Sul)
2019-03-24,100,19,0
2019-03-31,81,23,0
2019-04-07,86,24,0
2019-04-14,62,16,0
2019-04-21,57,14,0
2019-04-28,55,16,0
2019-05-05,49,11,0
2019-05-12,46,10,0
2019-05-19,43,10,0
2019-05-26,31,10,0
2019-06-02,25,5,0
2019-06-09,26,8,0
2019-06-16,22,7,0
2019-06-23,18,5,0
2019-06-30,16,3,0
2019-07-07,11,3,0
2019-07-14,6,3,0
2019-07-21,8,4,0
2019-07-28,7,0,0
2019-08-04,6,0,0
2019-08-11,8,0,0
2019-08-18,6,0,0
2019-08-25,8,3,0
2019-09-01,0,3,0
2019-09-08,6,0,0
2019-09-15,7,0,0
2019-09-22,10,0,0
2019-09-29,6,0,0
2019-10-06,4,0,4
2019-10-13,6,0,0
2019-10-20,8,0,0
2019-10-27,5,0,0
2019-11-03,6,0,0
2019-11-10,8,0,0
2019-11-17,10,0,0
2019-11-24,8,2,0
2019-12-01,13,0,0
2019-12-08,12,3,0
2019-12-15,10,0,0
2019-12-22,16,6,0
2019-12-29,16,6,0
2020-01-05,23,5,0
2020-01-12,31,8,0
2020-01-19,49,10,0
2020-01-26,46,11,0
2020-02-02,50,11,0
2020-02-09,59,12,0
2020-02-16,59,17,0
2020-02-23,62,18,0
2020-03-01,66,16,0
2020-03-08,74,18,0
2020-03-15,70,18,2
2020-03-22,59,14,2
2020-03-29,50,11,2
2020-04-05,47,10,0
2020-04-12,38,6,0
2020-04-19,34,8,0
2020-04-26,35,7,0
2020-05-03,23,3,0
2020-05-10,17,2,0
2020-05-17,20,5,0
2020-05-24,17,3,0
2020-05-31,12,2,0
2020-06-07,15,4,0
2020-06-14,14,3,0
2020-06-21,16,4,0
2020-06-28,11,4,0
2020-07-05,13,4,0
2020-07-12,12,4,0
2020-07-19,11,0,0
2020-07-26,13,3,0
2020-08-02,7,3,0
2020-08-09,9,3,0
2020-08-16,7,0,0
2020-08-23,6,0,0
2020-08-30,8,2,0
2020-09-06,6,2,0
2020-09-13,6,0,0
2020-09-20,9,3,0
2020-09-27,4,0,0
2020-10-04,5,0,0
2020-10-11,5,0,0
2020-10-18,5,0,2
2020-10-25,6,5,0
2020-11-01,7,3,0
2020-11-08,7,0,0
2020-11-15,9,3,0
2020-11-22,10,2,0
2020-11-29,8,4,0
2020-12-06,10,3,0
2020-12-13,9,4,0
2020-12-20,12,4,0
2020-12-27,12,6,0
2021-01-03,11,4,0
2021-01-10,11,3,0
2021-01-17,11,3,0
2021-01-24,12,4,0
2021-01-31,17,6,0
2021-02-07,19,9,0
2021-02-14,21,5,0
2021-02-21,12,5,0
2021-02-28,23,7,0
2021-03-07,19,8,0
2021-03-14,23,5,0
2021-03-21,23,8,0
2021-03-28,22,11,0
2021-04-04,22,7,0
2021-04-11,17,6,0
2021-04-18,17,5,0
2021-04-25,16,4,0
2021-05-02,15,3,0
2021-05-09,15,2,0
2021-05-16,12,4,0
2021-05-23,12,3,0
2021-05-30,16,3,0
2021-06-06,9,2,0
2021-06-13,11,5,0
2021-06-20,11,2,0
2021-06-27,3,0,0
2021-07-04,4,2,0
2021-07-11,4,0,0
2021-07-18,6,3,0
2021-07-25,3,0,0
2021-08-01,3,0,0
2021-08-08,5,0,0
2021-08-15,3,0,0
2021-08-22,5,0,2
2021-08-29,6,0,0
2021-09-05,0,0,0
2021-09-12,5,0,0
2021-09-19,5,0,0
2021-09-26,6,0,0
2021-10-03,5,0,0
2021-10-10,3,0,0
2021-10-17,4,0,0
2021-10-24,4,0,0
2021-10-31,5,0,0
2021-11-07,6,0,0
2021-11-14,4,0,0
2021-11-21,4,0,0
2021-11-28,7,0,0
2021-12-05,6,0,0
2021-12-12,9,0,0
2021-12-19,7,0,0
2021-12-26,6,0,0
2022-01-02,6,0,0
2022-01-09,11,5,0
2022-01-16,16,6,0
2022-01-23,6,5,0
2022-01-30,8,0,0
2022-02-06,10,5,0
2022-02-13,7,2,0
2022-02-20,9,2,0
2022-02-27,11,4,0
2022-03-06,9,0,0
2022-03-13,14,3,0
2022-03-20,14,3,0
2022-03-27,16,5,0
2022-04-03,24,4,0
2022-04-10,22,6,0
2022-04-17,33,8,2
2022-04-24,42,11,0
2022-05-01,38,9,0
2022-05-08,44,11,0
2022-05-15,25,7,0
2022-05-22,34,10,2
2022-05-29,25,6,0
2022-06-05,28,7,0
2022-06-12,22,5,0
2022-06-19,19,6,0
2022-06-26,19,7,0
2022-07-03,15,4,0
2022-07-10,17,7,0
2022-07-17,12,5,0
2022-07-24,10,5,0
2022-07-31,11,4,0
2022-08-07,10,4,0
2022-08-14,7,5,0
2022-08-21,8,2,0
2022-08-28,8,0,0
2022-09-04,7,2,0
2022-09-11,9,2,0
2022-09-18,7,2,0
2022-09-25,6,2,0
2022-10-02,6,2,0
2022-10-09,7,2,0
2022-10-16,11,2,2
2022-10-23,12,5,0
2022-10-30,8,3,0
2022-11-06,13,4,0
2022-11-13,12,4,0
2022-11-20,13,5,0
2022-11-27,15,5,0
2022-12-04,15,4,0
2022-12-11,16,5,0
2022-12-18,19,6,0
2022-12-25,17,6,0
2023-01-01,15,5,0
2023-01-08,19,6,0
