Categoria: Todas as categorias

Semana,dengue: (Piauí),sintomas dengue: (Piauí),tratamento dengue: (Piauí)
2019-03-24,16,0,0
2019-03-31,12,0,0
2019-04-07,16,4,0
2019-04-14,12,4,0
2019-04-21,18,5,0
2019-04-28,13,4,0
2019-05-05,10,0,0
2019-05-12,16,7,0
2019-05-19,17,0,0
2019-05-26,14,4,0
2019-06-02,13,4,0
2019-06-09,18,6,0
2019-06-16,11,0,0
2019-06-23,11,4,0
2019-06-30,11,0,0
2019-07-07,4,0,0
2019-07-14,4,0,0
2019-07-21,5,0,0
2019-07-28,5,0,0
2019-08-04,6,0,0
2019-08-11,6,0,0
2019-08-18,4,0,0
2019-08-25,5,0,0
2019-09-01,5,0,0
2019-09-08,0,0,0
2019-09-15,4,0,0
2019-09-22,4,0,0
2019-09-29,0,0,0
2019-10-06,0,0,0
2019-10-13,0,0,0
2019-10-20,3,0,0
2019-10-27,0,0,0
2019-11-03,5,0,0
2019-11-10,6,0,0
2019-11-17,3,0,0
2019-11-24,5,0,0
2019-12-01,4,0,0
2019-12-08,3,0,0
2019-12-15,0,0,0
2019-12-22,0,0,0
2019-12-29,0,10,0
2020-01-05,5,0,0
2020-01-12,3,0,0
2020-01-19,2,0,0
2020-01-26,4,0,0
2020-02-02,4,0,0
2020-02-09,7,0,0
2020-02-16,10,3,0
2020-02-23,7,0,0
2020-03-01,12,0,0
2020-03-08,13,0,0
2020-03-15,12,3,0
2020-03-22,15,4,0
2020-03-29,10,3,0
2020-04-05,9,0,0
2020-04-12,8,0,0
2020-04-19,10,0,0
2020-04-26,11,4,0
2020-05-03,12,3,0
2020-05-10,9,4,0
2020-05-17,10,3,0
2020-05-24,9,0,0
2020-05-31,13,2,0
2020-06-07,8,0,0
2020-06-14,6,3,0
2020-06-21,9,3,0
2020-06-28,7,3,0
2020-07-05,8,0,0
2020-07-12,6,0,0
2020-07-19,4,0,0
2020-07-26,3,0,0
2020-08-02,5,0,0
2020-08-09,0,0,0
2020-08-16,0,0,0
2020-08-23,0,0,0
2020-08-30,3,0,0
2020-09-06,0,0,0
2020-09-13,5,0,0
2020-09-20,2,0,0
2020-09-27,2,2,0
2020-10-04,0,0,0
2020-10-11,4,0,0
2020-10-18,5,0,0
2020-10-25,0,0,0
2020-11-01,0,0,0
2020-11-08,5,0,0
2020-11-15,3,0,0
2020-11-22,4,0,0
2020-11-29,3,0,0
2020-12-06,8,0,2
2020-12-13,0,2,0
2020-12-20,0,0,0
2020-12-27,0,0,0
2021-01-03,4,0,0
2021-01-10,2,3,0
2021-01-17,0,0,0
2021-01-24,0,0,0
2021-01-31,5,0,0
2021-02-07,4,3,0
2021-02-14,4,0,0
2021-02-21,3,0,0
2021-02-28,4,0,0
2021-03-07,7,0,0
2021-03-14,3,0,0
2021-03-21,5,2,0
2021-03-28,7,5,0
2021-04-04,10,4,0
2021-04-11,8,3,0
2021-04-18,7,0,0
2021-04-25,7,0,0
2021-05-02,7,3,0
2021-05-09,8,0,0
2021-05-16,13,3,0
2021-05-23,8,0,0
2021-05-30,9,3,0
2021-06-06,12,6,0
2021-06-13,10,3,0
2021-06-20,8,4,0
2021-06-27,6,0,0
2021-07-04,8,2,0
2021-07-11,5,0,0
2021-07-18,4,0,0
2021-07-25,6,0,0
2021-08-01,5,0,0
2021-08-08,6,0,0
2021-08-15,6,3,0
2021-08-22,5,0,0
2021-08-29,4,2,0
2021-09-05,0,0,0
2021-09-12,4,0,0
2021-09-19,5,0,0
2021-09-26,4,0,0
2021-10-03,4,0,0
2021-10-10,0,0,0
2021-10-17,5,0,0
2021-10-24,3,0,0
2021-10-31,3,0,0
2021-11-07,0,0,0
2021-11-14,5,0,0
2021-11-21,0,0,0
2021-11-28,3,0,0
2021-12-05,5,0,0
2021-12-12,4,0,0
2021-12-19,7,0,0
2021-12-26,7,0,0
2022-01-02,5,3,0
2022-01-09,8,0,0
2022-01-16,10,3,0
2022-01-23,8,2,0
2022-01-30,12,3,0
2022-02-06,16,6,0
2022-02-13,18,7,0
2022-02-20,20,8,0
2022-02-27,28,9,2
2022-03-06,29,8,0
2022-03-13,36,7,0
2022-03-20,45,13,2
2022-03-27,67,16,0
2022-04-03,74,21,0
2022-04-10,82,23,0
