Categoria: Todas as categorias

Semana,dengue: (Alagoas),sintomas dengue: (Alagoas)
2020-06-28,13,3
2020-07-05,17,0
2020-07-12,12,4
2020-07-19,13,0
2020-07-26,9,0
2020-08-02,12,3
2020-08-09,11,0
2020-08-16,10,0
2020-08-23,10,0
2020-08-30,8,3
2020-09-06,6,0
2020-09-13,6,0
2020-09-20,7,0
2020-09-27,7,0
2020-10-04,5,0
2020-10-11,6,0
2020-10-18,6,0
2020-10-25,5,0
2020-11-01,6,0
2020-11-08,7,0
2020-11-15,6,0
2020-11-22,7,0
2020-11-29,5,0
2020-12-06,3,0
2020-12-13,4,0
2020-12-20,4,0
2020-12-27,0,0
2021-01-03,7,0
2021-01-10,0,0
2021-01-17,5,0
2021-01-24,3,0
2021-01-31,0,0
2021-02-07,4,0
2021-02-14,3,0
2021-02-21,3,0
2021-02-28,6,0
2021-03-07,5,0
2021-03-14,6,0
2021-03-21,6,0
2021-03-28,6,0
2021-04-04,9,0
2021-04-11,7,0
2021-04-18,6,0
2021-04-25,10,0
2021-05-02,10,0
2021-05-09,14,0
2021-05-16,15,4
2021-05-23,18,4
2021-05-30,19,4
2021-06-06,19,4
2021-06-13,18,6
2021-06-20,14,3
2021-06-27,14,0
2021-07-04,21,4
2021-07-11,23,4
2021-07-18,21,4
2021-07-25,23,6
2021-08-01,24,6
2021-08-08,20,6
2021-08-15,23,5
2021-08-22,20,6
2021-08-29,22,6
2021-09-05,19,0
2021-09-12,13,4
2021-09-19,12,4
2021-09-26,11,0
2021-10-03,10,3
2021-10-10,7,4
2021-10-17,14,0
2021-10-24,13,0
2021-10-31,11,0
2021-11-07,13,0
2021-11-14,10,0
2021-11-21,10,3
2021-11-28,7,0
2021-12-05,9,0
2021-12-12,8,0
2021-12-19,7,0
2021-12-26,7,0
2022-01-02,11,0
2022-01-09,8,3
2022-01-16,12,4
2022-01-23,8,3
2022-01-30,8,4
2022-02-06,7,0
2022-02-13,9,0
2022-02-20,9,3
2022-02-27,7,3
2022-03-06,8,0
2022-03-13,11,0
2022-03-20,13,3
2022-03-27,20,4
2022-04-03,21,4
2022-04-10,17,5
2022-04-17,28,9
2022-04-24,51,16
2022-05-01,56,16
2022-05-08,80,24
2022-05-15,97,32
2022-05-22,97,29
2022-05-29,96,28
2022-06-05,90,26
2022-06-12,84,30
2022-06-19,100,38
2022-06-26,91,37
2022-07-03,75,28
2022-07-10,66,18
2022-07-17,61,18
2022-07-24,47,15
2022-07-31,34,10
2022-08-07,35,11
2022-08-14,31,11
2022-08-21,21,3
2022-08-28,18,6
2022-09-04,12,3
2022-09-11,18,5
2022-09-18,16,4
2022-09-25,13,3
2022-10-02,9,0
2022-10-09,8,0
2022-10-16,11,0
2022-10-23,9,3
2022-10-30,8,0
2022-11-06,8,3
2022-11-13,9,0
2022-11-20,11,2
2022-11-27,11,3
2022-12-04,5,0
2022-12-11,9,0
2022-12-18,8,0
2022-12-25,7,3
2023-01-01,8,0
2023-01-08,5,0
2023-01-15,7,0
2023-01-22,6,0
2023-01-29,4,0
2023-02-05,6,0
2023-02-12,9,0
2023-02-19,7,0
2023-02-26,10,3
2023-03-05,8,0
2023-03-12,6,0
2023-03-19,13,5
2023-03-26,16,5
2023-04-02,13,3
2023-04-09,14,4
2023-04-16,12,4
2023-04-23,13,4
2023-04-30,13,4
2023-05-07,13,4
2023-05-14,14,3
2023-05-21,16,3
2023-05-28,16,4
2023-06-04,11,3
2023-06-11,13,0
2023-06-18,10,4
2023-06-25,9,4
2023-07-02,17,5
2023-07-09,14,4
2023-07-16,14,4
2023-07-23,11,3
2023-07-30,7,0
2023-08-06,10,0
2023-08-13,9,0
2023-08-20,8,0
2023-08-27,9,0
2023-09-03,7,0
2023-09-10,9,4
2023-09-17,8,0
2023-09-24,8,0
2023-10-01,7,0
2023-10-08,8,0
2023-10-15,8,4
2023-10-22,6,0
2023-10-29,8,0
2023-11-05,5,0
2023-11-12,5,0
2023-11-19,7,3
2023-11-26,7,0
2023-12-03,9,0
2023-12-10,8,0
2023-12-17,7,0
2023-12-24,5,0
2023-12-31,8,0
2024-01-07,6,0
2024-01-14,7,0
2024-01-21,9,0
2024-01-28,22,5
