Categoria: Todas as categorias

Semana,dengue: (Rio Grande do Norte),sintomas dengue: (Rio Grande do Norte)
2019-03-10,14,4
2019-03-17,21,5
2019-03-24,21,0
2019-03-31,22,5
2019-04-07,26,7
2019-04-14,24,0
2019-04-21,25,5
2019-04-28,28,5
2019-05-05,25,6
2019-05-12,34,8
2019-05-19,30,8
2019-05-26,35,7
2019-06-02,30,6
2019-06-09,28,7
2019-06-16,33,9
2019-06-23,29,8
2019-06-30,27,6
2019-07-07,29,7
2019-07-14,29,7
2019-07-21,26,8
2019-07-28,23,5
2019-08-04,21,0
2019-08-11,17,6
2019-08-18,18,4
2019-08-25,14,4
2019-09-01,8,0
2019-09-08,11,0
2019-09-15,13,0
2019-09-22,11,0
2019-09-29,9,0
2019-10-06,7,0
2019-10-13,8,0
2019-10-20,8,0
2019-10-27,6,0
2019-11-03,7,0
2019-11-10,6,0
2019-11-17,5,3
2019-11-24,7,0
2019-12-01,5,0
2019-12-08,5,0
2019-12-15,5,0
2019-12-22,4,0
2019-12-29,5,0
2020-01-05,5,0
2020-01-12,6,0
2020-01-19,8,2
2020-01-26,7,0
2020-02-02,10,0
2020-02-09,9,3
2020-02-16,12,0
2020-02-23,13,3
2020-03-01,15,3
2020-03-08,22,3
2020-03-15,24,5
2020-03-22,22,4
2020-03-29,17,4
2020-04-05,17,4
2020-04-12,15,3
2020-04-19,14,3
2020-04-26,15,3
2020-05-03,13,4
2020-05-10,20,7
2020-05-17,20,6
2020-05-24,21,7
2020-05-31,20,6
2020-06-07,20,6
2020-06-14,19,6
2020-06-21,16,5
2020-06-28,16,5
2020-07-05,17,5
2020-07-12,14,4
2020-07-19,12,3
2020-07-26,10,3
2020-08-02,10,2
2020-08-09,9,3
2020-08-16,5,2
2020-08-23,6,0
2020-08-30,5,0
2020-09-06,6,0
2020-09-13,6,0
2020-09-20,5,0
2020-09-27,4,0
2020-10-04,2,0
2020-10-11,5,0
2020-10-18,4,0
2020-10-25,4,0
2020-11-01,2,0
2020-11-08,5,2
2020-11-15,4,0
2020-11-22,3,0
2020-11-29,6,3
2020-12-06,5,0
2020-12-13,6,0
2020-12-20,4,0
2020-12-27,5,0
2021-01-03,5,0
2021-01-10,4,0
2021-01-17,4,0
2021-01-24,5,0
2021-01-31,6,0
2021-02-07,5,0
2021-02-14,5,0
2021-02-21,6,0
2021-02-28,6,0
2021-03-07,7,0
2021-03-14,7,0
2021-03-21,10,0
2021-03-28,9,3
2021-04-04,8,0
2021-04-11,8,0
2021-04-18,11,3
2021-04-25,10,0
2021-05-02,8,0
2021-05-09,9,2
2021-05-16,11,4
2021-05-23,15,2
2021-05-30,11,3
2021-06-06,10,3
2021-06-13,11,4
2021-06-20,7,0
2021-06-27,7,0
2021-07-04,6,0
2021-07-11,7,0
2021-07-18,7,0
2021-07-25,5,0
2021-08-01,6,0
2021-08-08,7,0
2021-08-15,5,0
2021-08-22,5,0
2021-08-29,4,0
2021-09-05,3,0
2021-09-12,5,0
2021-09-19,4,0
2021-09-26,5,0
2021-10-03,6,0
2021-10-10,4,0
2021-10-17,6,0
2021-10-24,4,0
2021-10-31,5,0
2021-11-07,5,0
2021-11-14,6,0
2021-11-21,3,0
2021-11-28,6,0
2021-12-05,5,0
2021-12-12,5,0
2021-12-19,3,0
2021-12-26,4,0
2022-01-02,7,3
2022-01-09,6,3
2022-01-16,8,3
2022-01-23,7,2
2022-01-30,6,0
2022-02-06,6,0
2022-02-13,6,0
2022-02-20,10,0
2022-02-27,8,2
2022-03-06,12,0
2022-03-13,17,4
2022-03-20,22,6
2022-03-27,27,8
2022-04-03,32,9
2022-04-10,41,12
2022-04-17,64,23
2022-04-24,83,24
2022-05-01,76,20
2022-05-08,78,26
2022-05-15,100,30
2022-05-22,97,26
2022-05-29,90,29
2022-06-05,84,27
2022-06-12,82,30
2022-06-19,72,24
2022-06-26,60,21
2022-07-03,57,20
2022-07-10,50,13
2022-07-17,40,12
2022-07-24,39,10
2022-07-31,34,8
2022-08-07,27,8
2022-08-14,27,6
2022-08-21,20,7
2022-08-28,17,4
2022-09-04,15,5
2022-09-11,11,3
2022-09-18,13,4
2022-09-25,7,2
2022-10-02,8,2
2022-10-09,7,2
2022-10-16,7,0
2022-10-23,6,0
2022-10-30,7,2
2022-11-06,7,2
2022-11-13,8,0
2022-11-20,9,0
2022-11-27,7,3
2022-12-04,5,0
2022-12-11,6,0
2022-12-18,4,0
2022-12-25,5,0
2023-01-01,4,0
2023-01-08,5,0
2023-01-15,6,0
