Categoria: Todas as categorias

Semana,dengue: (Minas Gerais),sintomas dengue: (Minas Gerais)
2019-03-10,11,3
2019-03-17,13,3
2019-03-24,18,4
2019-03-31,20,4
2019-04-07,20,5
2019-04-14,20,6
2019-04-21,32,8
2019-04-28,33,8
2019-05-05,28,7
2019-05-12,23,6
2019-05-19,21,6
2019-05-26,19,5
2019-06-02,15,3
2019-06-09,11,3
2019-06-16,8,2
2019-06-23,7,2
2019-06-30,5,1
2019-07-07,3,1
2019-07-14,3,1
2019-07-21,2,1
2019-07-28,2,1
2019-08-04,2,1
2019-08-11,2,<1
2019-08-18,2,<1
2019-08-25,2,<1
2019-09-01,2,<1
2019-09-08,2,1
2019-09-15,2,<1
2019-09-22,2,<1
2019-09-29,2,<1
2019-10-06,2,<1
2019-10-13,2,<1
2019-10-20,2,<1
2019-10-27,2,<1
2019-11-03,2,<1
2019-11-10,2,<1
2019-11-17,2,<1
2019-11-24,2,<1
2019-12-01,2,<1
2019-12-08,2,1
2019-12-15,3,1
2019-12-22,2,1
2019-12-29,2,1
2020-01-05,3,1
2020-01-12,3,1
2020-01-19,3,1
2020-01-26,3,1
2020-02-02,4,1
2020-02-09,4,1
2020-02-16,6,1
2020-02-23,6,2
2020-03-01,6,1
2020-03-08,8,2
2020-03-15,10,2
2020-03-22,8,1
2020-03-29,7,1
2020-04-05,6,1
2020-04-12,6,1
2020-04-19,5,1
2020-04-26,5,1
2020-05-03,4,1
2020-05-10,4,1
2020-05-17,4,1
2020-05-24,3,1
2020-05-31,4,1
2020-06-07,4,1
2020-06-14,3,1
2020-06-21,4,1
2020-06-28,4,1
2020-07-05,3,1
2020-07-12,2,1
2020-07-19,2,1
2020-07-26,2,<1
2020-08-02,2,<1
2020-08-09,1,<1
2020-08-16,2,<1
2020-08-23,1,<1
2020-08-30,1,<1
2020-09-06,1,<1
2020-09-13,2,<1
2020-09-20,2,<1
2020-09-27,2,<1
2020-10-04,2,<1
2020-10-11,1,<1
2020-10-18,1,<1
2020-10-25,1,<1
2020-11-01,1,<1
2020-11-08,1,<1
2020-11-15,1,<1
2020-11-22,2,1
2020-11-29,2,1
2020-12-06,2,1
2020-12-13,2,1
2020-12-20,2,1
2020-12-27,2,1
2021-01-03,2,1
2021-01-10,2,1
2021-01-17,2,1
2021-01-24,2,1
2021-01-31,2,1
2021-02-07,2,1
2021-02-14,2,1
2021-02-21,2,1
2021-02-28,3,1
2021-03-07,3,1
2021-03-14,3,1
2021-03-21,3,1
2021-03-28,3,1
2021-04-04,2,1
2021-04-11,3,1
2021-04-18,2,1
2021-04-25,2,1
2021-05-02,2,<1
2021-05-09,2,<1
2021-05-16,2,<1
2021-05-23,2,1
2021-05-30,2,<1
2021-06-06,2,<1
2021-06-13,1,<1
2021-06-20,1,<1
2021-06-27,1,<1
2021-07-04,1,<1
2021-07-11,1,<1
2021-07-18,1,<1
2021-07-25,1,<1
2021-08-01,1,<1
2021-08-08,1,<1
2021-08-15,1,<1
2021-08-22,1,<1
2021-08-29,1,<1
2021-09-05,1,<1
2021-09-12,1,<1
2021-09-19,1,<1
2021-09-26,1,<1
2021-10-03,1,<1
2021-10-10,1,<1
2021-10-17,1,<1
2021-10-24,1,<1
2021-10-31,1,<1
2021-11-07,1,<1
2021-11-14,1,<1
2021-11-21,1,<1
2021-11-28,1,<1
2021-12-05,1,<1
2021-12-12,1,<1
2021-12-19,1,<1
2021-12-26,1,<1
2022-01-02,2,1
2022-01-09,3,1
2022-01-16,3,1
2022-01-23,3,1
2022-01-30,2,1
2022-02-06,2,1
2022-02-13,3,1
2022-02-20,2,1
