Categoria: Todas as categorias

Semana,dengue: (Paraíba),sintomas dengue: (Paraíba)
2019-03-10,11,0
2019-03-17,15,4
2019-03-24,15,4
2019-03-31,15,3
2019-04-07,20,6
2019-04-14,17,5
2019-04-21,19,7
2019-04-28,22,7
2019-05-05,20,6
2019-05-12,25,6
2019-05-19,29,7
2019-05-26,22,3
2019-06-02,19,5
2019-06-09,20,3
2019-06-16,19,4
2019-06-23,15,5
2019-06-30,19,6
2019-07-07,13,3
2019-07-14,18,5
2019-07-21,14,4
2019-07-28,15,4
2019-08-04,13,0
2019-08-11,14,3
2019-08-18,12,0
2019-08-25,12,0
2019-09-01,9,4
2019-09-08,12,4
2019-09-15,9,0
2019-09-22,10,3
2019-09-29,10,3
2019-10-06,6,0
2019-10-13,6,0
2019-10-20,8,0
2019-10-27,7,3
2019-11-03,8,0
2019-11-10,7,0
2019-11-17,6,0
2019-11-24,5,0
2019-12-01,7,0
2019-12-08,4,0
2019-12-15,6,0
2019-12-22,4,0
2019-12-29,4,0
2020-01-05,3,0
2020-01-12,6,2
2020-01-19,6,0
2020-01-26,6,0
2020-02-02,8,0
2020-02-09,9,3
2020-02-16,9,3
2020-02-23,12,0
2020-03-01,12,4
2020-03-08,12,0
2020-03-15,23,3
2020-03-22,16,2
2020-03-29,13,3
2020-04-05,11,3
2020-04-12,12,2
2020-04-19,14,3
2020-04-26,17,5
2020-05-03,16,6
2020-05-10,22,8
2020-05-17,21,7
2020-05-24,24,9
2020-05-31,24,5
2020-06-07,21,6
2020-06-14,18,6
2020-06-21,23,5
2020-06-28,22,6
2020-07-05,23,5
2020-07-12,22,5
2020-07-19,21,7
2020-07-26,15,4
2020-08-02,12,3
2020-08-09,10,2
2020-08-16,11,4
2020-08-23,10,0
2020-08-30,7,0
2020-09-06,8,2
2020-09-13,9,0
2020-09-20,9,2
2020-09-27,9,0
2020-10-04,8,3
2020-10-11,6,0
2020-10-18,8,0
2020-10-25,8,0
2020-11-01,6,0
2020-11-08,6,0
2020-11-15,7,0
2020-11-22,5,2
2020-11-29,8,2
2020-12-06,6,0
2020-12-13,5,0
2020-12-20,6,0
2020-12-27,5,0
2021-01-03,4,0
2021-01-10,4,0
2021-01-17,4,0
2021-01-24,4,0
2021-01-31,4,0
2021-02-07,5,0
2021-02-14,5,0
2021-02-21,7,4
2021-02-28,5,0
2021-03-07,9,3
2021-03-14,9,2
2021-03-21,9,3
2021-03-28,9,3
2021-04-04,7,2
2021-04-11,8,2
2021-04-18,9,2
2021-04-25,11,3
2021-05-02,12,3
2021-05-09,19,6
2021-05-16,20,5
2021-05-23,20,6
2021-05-30,18,6
2021-06-06,20,4
2021-06-13,18,4
2021-06-20,17,5
2021-06-27,20,6
2021-07-04,19,4
2021-07-11,23,5
2021-07-18,20,4
2021-07-25,17,4
2021-08-01,13,2
2021-08-08,11,2
2021-08-15,15,3
2021-08-22,14,2
2021-08-29,11,3
2021-09-05,9,0
2021-09-12,9,3
2021-09-19,9,3
2021-09-26,7,0
2021-10-03,7,3
2021-10-10,6,4
2021-10-17,8,0
2021-10-24,7,0
2021-10-31,7,0
2021-11-07,6,3
2021-11-14,7,0
2021-11-21,7,0
2021-11-28,8,0
2021-12-05,8,0
2021-12-12,8,0
2021-12-19,6,0
2021-12-26,6,0
2022-01-02,8,0
2022-01-09,8,3
2022-01-16,8,3
2022-01-23,9,5
2022-01-30,11,3
2022-02-06,8,0
2022-02-13,11,3
2022-02-20,12,3
2022-02-27,12,4
2022-03-06,13,3
2022-03-13,16,1
2022-03-20,19,4
2022-03-27,21,5
2022-04-03,31,8
2022-04-10,31,8
2022-04-17,41,11
2022-04-24,53,14
2022-05-01,49,13
2022-05-08,58,17
2022-05-15,77,21
2022-05-22,66,18
2022-05-29,57,13
2022-06-05,66,17
2022-06-12,66,19
2022-06-19,59,20
2022-06-26,51,16
2022-07-03,49,15
2022-07-10,44,13
2022-07-17,36,10
2022-07-24,30,8
2022-07-31,27,7
2022-08-07,22,5
2022-08-14,20,5
2022-08-21,14,3
2022-08-28,13,4
2022-09-04,11,3
2022-09-11,12,3
2022-09-18,10,2
2022-09-25,8,2
2022-10-02,7,0
2022-10-09,7,0
2022-10-16,7,2
2022-10-23,6,3
2022-10-30,6,0
2022-11-06,8,0
2022-11-13,8,0
2022-11-20,7,2
2022-11-27,5,0
2022-12-04,6,0
2022-12-11,5,0
2022-12-18,5,0
2022-12-25,5,2
2023-01-01,4,0
2023-01-08,4,0
2023-01-15,4,0
2023-01-22,6,2
2023-01-29,5,0
2023-02-05,6,0
2023-02-12,7,0
2023-02-19,5,0
2023-02-26,7,0
2023-03-05,8,2
2023-03-12,10,2
2023-03-19,10,3
2023-03-26,14,4
2023-04-02,16,6
2023-04-09,18,4
2023-04-16,15,5
2023-04-23,15,3
2023-04-30,14,4
2023-05-07,13,4
2023-05-14,13,3
2023-05-21,10,0
2023-05-28,9,0
2023-06-04,11,4
2023-06-11,7,0
2023-06-18,10,3
2023-06-25,7,0
2023-07-02,7,0
2023-07-09,9,2
2023-07-16,6,2
2023-07-23,9,3
2023-07-30,6,0
2023-08-06,5,0
2023-08-13,7,0
2023-08-20,6,2
2023-08-27,5,0
2023-09-03,5,0
2023-09-10,5,0
2023-09-17,6,0
2023-09-24,7,2
2023-10-01,6,0
2023-10-08,3,0
2023-10-15,5,0
2023-10-22,5,0
2023-10-29,4,0
2023-11-05,5,0
2023-11-12,5,0
2023-11-19,7,0
2023-11-26,7,2
2023-12-03,6,0
2023-12-10,3,0
2023-12-17,6,0
2023-12-24,7,3
2023-12-31,7,0
2024-01-07,5,2
2024-01-14,7,2
2024-01-21,11,3
2024-01-28,15,4
2024-02-04,25,7
2024-02-11,49,14
2024-02-18,87,15
2024-02-25,100,20
