Categoria: Todas as categorias

Semana,dengue: (Alagoas)
2019-04-21,22
2019-04-28,13
2019-05-05,24
2019-05-12,42
2019-05-19,55
2019-05-26,49
2019-06-02,44
2019-06-09,31
2019-06-16,28
2019-06-23,41
2019-06-30,26
2019-07-07,25
2019-07-14,36
2019-07-21,34
2019-07-28,32
2019-08-04,30
2019-08-11,33
2019-08-18,25
2019-08-25,25
2019-09-01,26
2019-09-08,24
2019-09-15,18
2019-09-22,17
2019-09-29,7
2019-10-06,10
2019-10-13,15
2019-10-20,14
2019-10-27,11
2019-11-03,11
2019-11-10,9
2019-11-17,8
2019-11-24,13
2019-12-01,6
2019-12-08,7
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,6
2020-01-12,5
2020-01-19,0
2020-01-26,8
2020-02-02,6
2020-02-09,8
2020-02-16,13
2020-02-23,8
2020-03-01,7
2020-03-08,13
2020-03-15,19
2020-03-22,15
2020-03-29,16
2020-04-05,15
2020-04-12,16
2020-04-19,15
2020-04-26,23
2020-05-03,20
2020-05-10,25
2020-05-17,22
2020-05-24,24
2020-05-31,29
2020-06-07,20
2020-06-14,15
2020-06-21,13
2020-06-28,12
2020-07-05,17
2020-07-12,12
2020-07-19,12
2020-07-26,10
2020-08-02,11
2020-08-09,7
2020-08-16,9
2020-08-23,9
2020-08-30,7
2020-09-06,6
2020-09-13,5
2020-09-20,6
2020-09-27,0
2020-10-04,5
2020-10-11,5
2020-10-18,6
2020-10-25,0
2020-11-01,6
2020-11-08,0
2020-11-15,0
2020-11-22,7
2020-11-29,0
2020-12-06,7
2020-12-13,0
2020-12-20,5
2020-12-27,0
2021-01-03,5
2021-01-10,4
2021-01-17,5
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,7
2021-03-07,6
2021-03-14,6
2021-03-21,6
2021-03-28,4
2021-04-04,6
2021-04-11,8
2021-04-18,7
2021-04-25,8
2021-05-02,12
2021-05-09,15
2021-05-16,13
2021-05-23,19
2021-05-30,20
2021-06-06,19
2021-06-13,21
2021-06-20,13
2021-06-27,12
2021-07-04,20
2021-07-11,20
2021-07-18,22
2021-07-25,20
2021-08-01,25
2021-08-08,21
2021-08-15,22
2021-08-22,18
2021-08-29,24
2021-09-05,14
2021-09-12,12
2021-09-19,18
2021-09-26,17
2021-10-03,11
2021-10-10,9
2021-10-17,12
2021-10-24,15
2021-10-31,9
2021-11-07,13
2021-11-14,7
2021-11-21,11
2021-11-28,9
2021-12-05,8
2021-12-12,9
2021-12-19,0
2021-12-26,6
2022-01-02,13
2022-01-09,8
2022-01-16,10
2022-01-23,5
2022-01-30,7
2022-02-06,6
2022-02-13,9
2022-02-20,8
2022-02-27,7
2022-03-06,8
2022-03-13,10
2022-03-20,14
2022-03-27,16
2022-04-03,20
2022-04-10,20
2022-04-17,29
2022-04-24,46
2022-05-01,51
2022-05-08,90
2022-05-15,95
2022-05-22,94
2022-05-29,96
2022-06-05,87
2022-06-12,81
2022-06-19,100
2022-06-26,88
2022-07-03,73
2022-07-10,66
2022-07-17,63
2022-07-24,44
2022-07-31,34
2022-08-07,31
2022-08-14,28
2022-08-21,20
2022-08-28,20
2022-09-04,14
2022-09-11,15
2022-09-18,16
2022-09-25,12
2022-10-02,8
2022-10-09,9
2022-10-16,11
2022-10-23,11
2022-10-30,5
2022-11-06,9
2022-11-13,8
2022-11-20,9
2022-11-27,11
2022-12-04,6
2022-12-11,10
2022-12-18,8
2022-12-25,6
2023-01-01,8
2023-01-08,7
2023-01-15,9
2023-01-22,5
2023-01-29,0
2023-02-05,6
2023-02-12,7
2023-02-19,4
2023-02-26,13
2023-03-05,7
2023-03-12,8
2023-03-19,15
2023-03-26,14
2023-04-02,14
2023-04-09,14
2023-04-16,10
2023-04-23,13
2023-04-30,14
2023-05-07,12
2023-05-14,13
2023-05-21,13
2023-05-28,18
2023-06-04,9
2023-06-11,13
2023-06-18,10
2023-06-25,10
2023-07-02,18
2023-07-09,14
2023-07-16,13
2023-07-23,11
2023-07-30,8
2023-08-06,9
2023-08-13,7
2023-08-20,5
2023-08-27,8
2023-09-03,9
2023-09-10,10
2023-09-17,9
2023-09-24,7
2023-10-01,6
2023-10-08,7
2023-10-15,9
2023-10-22,5
2023-10-29,7
2023-11-05,6
2023-11-12,5
2023-11-19,7
2023-11-26,7
2023-12-03,8
2023-12-10,8
2023-12-17,6
2023-12-24,6
2023-12-31,9
2024-01-07,8
2024-01-14,10
2024-01-21,12
2024-01-28,20
2024-02-04,25
2024-02-11,41
2024-02-18,92
2024-02-25,88
2024-03-03,85
2024-03-10,99
2024-03-17,92
2024-03-24,59
2024-03-31,65
2024-04-07,72
2024-04-14,64
2024-04-21,46
