Categoria: Todas as categorias

Semana,dengue: (Pará)
2019-04-21,16
2019-04-28,17
2019-05-05,17
2019-05-12,14
2019-05-19,13
2019-05-26,12
2019-06-02,12
2019-06-09,10
2019-06-16,7
2019-06-23,7
2019-06-30,6
2019-07-07,8
2019-07-14,6
2019-07-21,4
2019-07-28,8
2019-08-04,8
2019-08-11,9
2019-08-18,10
2019-08-25,7
2019-09-01,5
2019-09-08,9
2019-09-15,9
2019-09-22,8
2019-09-29,8
2019-10-06,6
2019-10-13,5
2019-10-20,8
2019-10-27,6
2019-11-03,10
2019-11-10,9
2019-11-17,10
2019-11-24,5
2019-12-01,9
2019-12-08,8
2019-12-15,6
2019-12-22,6
2019-12-29,0
2020-01-05,9
2020-01-12,11
2020-01-19,12
2020-01-26,13
2020-02-02,17
2020-02-09,18
2020-02-16,22
2020-02-23,18
2020-03-01,21
2020-03-08,26
2020-03-15,29
2020-03-22,28
2020-03-29,18
2020-04-05,20
2020-04-12,20
2020-04-19,22
2020-04-26,20
2020-05-03,11
2020-05-10,15
2020-05-17,11
2020-05-24,13
2020-05-31,13
2020-06-07,13
2020-06-14,7
2020-06-21,7
2020-06-28,6
2020-07-05,5
2020-07-12,7
2020-07-19,0
2020-07-26,4
2020-08-02,3
2020-08-09,3
2020-08-16,3
2020-08-23,3
2020-08-30,5
2020-09-06,5
2020-09-13,5
2020-09-20,6
2020-09-27,4
2020-10-04,4
2020-10-11,4
2020-10-18,4
2020-10-25,6
2020-11-01,3
2020-11-08,5
2020-11-15,6
2020-11-22,6
2020-11-29,5
2020-12-06,7
2020-12-13,5
2020-12-20,4
2020-12-27,6
2021-01-03,5
2021-01-10,6
2021-01-17,9
2021-01-24,10
2021-01-31,10
2021-02-07,12
2021-02-14,10
2021-02-21,10
2021-02-28,13
2021-03-07,12
2021-03-14,16
2021-03-21,10
2021-03-28,9
2021-04-04,10
2021-04-11,9
2021-04-18,10
2021-04-25,10
2021-05-02,7
2021-05-09,7
2021-05-16,11
2021-05-23,11
2021-05-30,10
2021-06-06,8
2021-06-13,6
2021-06-20,8
2021-06-27,4
2021-07-04,5
2021-07-11,4
2021-07-18,5
2021-07-25,4
2021-08-01,5
2021-08-08,6
2021-08-15,7
2021-08-22,8
2021-08-29,4
2021-09-05,6
2021-09-12,5
2021-09-19,4
2021-09-26,3
2021-10-03,5
2021-10-10,4
2021-10-17,4
2021-10-24,6
2021-10-31,5
2021-11-07,6
2021-11-14,8
2021-11-21,7
2021-11-28,11
2021-12-05,10
2021-12-12,10
2021-12-19,12
2021-12-26,11
2022-01-02,15
2022-01-09,17
2022-01-16,17
2022-01-23,17
2022-01-30,13
2022-02-06,10
2022-02-13,10
2022-02-20,13
2022-02-27,11
2022-03-06,12
2022-03-13,17
2022-03-20,11
2022-03-27,14
2022-04-03,13
2022-04-10,12
2022-04-17,14
2022-04-24,17
2022-05-01,16
2022-05-08,18
2022-05-15,14
2022-05-22,13
2022-05-29,11
2022-06-05,11
2022-06-12,9
2022-06-19,9
2022-06-26,10
2022-07-03,8
2022-07-10,6
2022-07-17,7
2022-07-24,5
2022-07-31,5
2022-08-07,5
2022-08-14,8
2022-08-21,6
2022-08-28,6
2022-09-04,5
2022-09-11,6
2022-09-18,7
2022-09-25,6
2022-10-02,7
2022-10-09,4
2022-10-16,8
2022-10-23,7
2022-10-30,6
2022-11-06,7
2022-11-13,8
2022-11-20,8
2022-11-27,7
2022-12-04,9
2022-12-11,11
2022-12-18,8
2022-12-25,9
2023-01-01,9
2023-01-08,8
2023-01-15,8
2023-01-22,10
2023-01-29,12
2023-02-05,12
2023-02-12,11
2023-02-19,12
2023-02-26,15
2023-03-05,16
2023-03-12,24
2023-03-19,20
2023-03-26,25
2023-04-02,19
2023-04-09,17
2023-04-16,18
2023-04-23,16
2023-04-30,14
2023-05-07,13
2023-05-14,15
2023-05-21,15
2023-05-28,13
2023-06-04,11
2023-06-11,14
2023-06-18,10
2023-06-25,11
2023-07-02,10
2023-07-09,10
2023-07-16,5
2023-07-23,6
2023-07-30,6
2023-08-06,4
2023-08-13,6
2023-08-20,7
2023-08-27,8
2023-09-03,10
2023-09-10,11
2023-09-17,12
2023-09-24,6
2023-10-01,8
2023-10-08,6
2023-10-15,9
2023-10-22,6
2023-10-29,6
2023-11-05,6
2023-11-12,7
2023-11-19,8
2023-11-26,6
2023-12-03,6
2023-12-10,8
2023-12-17,9
2023-12-24,8
2023-12-31,12
2024-01-07,15
2024-01-14,18
2024-01-21,22
2024-01-28,28
2024-02-04,52
2024-02-11,72
2024-02-18,94
2024-02-25,93
2024-03-03,100
2024-03-10,90
2024-03-17,92
2024-03-24,73
2024-03-31,70
2024-04-07,68
2024-04-14,62
2024-04-21,50
