Categoria: Todas as categorias

Semana,sintomas dengue: (Ceará)
2019-04-21,15
2019-04-28,36
2019-05-05,19
2019-05-12,19
2019-05-19,19
2019-05-26,21
2019-06-02,12
2019-06-09,14
2019-06-16,0
2019-06-23,11
2019-06-30,13
2019-07-07,0
2019-07-14,13
2019-07-21,11
2019-07-28,11
2019-08-04,0
2019-08-11,10
2019-08-18,0
2019-08-25,0
2019-09-01,0
2019-09-08,0
2019-09-15,10
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,0
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,12
2020-01-05,11
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,15
2020-02-09,18
2020-02-16,25
2020-02-23,37
2020-03-01,37
2020-03-08,34
2020-03-15,38
2020-03-22,33
2020-03-29,32
2020-04-05,35
2020-04-12,37
2020-04-19,47
2020-04-26,71
2020-05-03,86
2020-05-10,57
2020-05-17,32
2020-05-24,29
2020-05-31,31
2020-06-07,23
2020-06-14,24
2020-06-21,28
2020-06-28,26
2020-07-05,16
2020-07-12,16
2020-07-19,16
2020-07-26,11
2020-08-02,11
2020-08-09,10
2020-08-16,9
2020-08-23,12
2020-08-30,13
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,8
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,8
2020-12-13,9
2020-12-20,0
2020-12-27,0
2021-01-03,9
2021-01-10,9
2021-01-17,0
2021-01-24,13
2021-01-31,8
2021-02-07,12
2021-02-14,13
2021-02-21,14
2021-02-28,21
2021-03-07,20
2021-03-14,19
2021-03-21,28
2021-03-28,38
2021-04-04,27
2021-04-11,30
2021-04-18,37
2021-04-25,40
2021-05-02,30
2021-05-09,49
2021-05-16,62
2021-05-23,53
2021-05-30,63
2021-06-06,55
2021-06-13,51
2021-06-20,55
2021-06-27,38
2021-07-04,43
2021-07-11,31
2021-07-18,29
2021-07-25,28
2021-08-01,21
2021-08-08,22
2021-08-15,22
2021-08-22,13
2021-08-29,18
2021-09-05,11
2021-09-12,15
2021-09-19,16
2021-09-26,10
2021-10-03,0
2021-10-10,9
2021-10-17,11
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,10
2021-12-12,16
2021-12-19,0
2021-12-26,14
2022-01-02,0
2022-01-09,24
2022-01-16,32
2022-01-23,16
2022-01-30,15
2022-02-06,17
2022-02-13,17
2022-02-20,18
2022-02-27,28
2022-03-06,24
2022-03-13,34
2022-03-20,37
2022-03-27,41
2022-04-03,45
2022-04-10,46
2022-04-17,69
2022-04-24,69
2022-05-01,71
2022-05-08,68
2022-05-15,80
2022-05-22,76
2022-05-29,80
2022-06-05,69
2022-06-12,82
2022-06-19,77
2022-06-26,67
2022-07-03,63
2022-07-10,45
2022-07-17,29
2022-07-24,36
2022-07-31,31
2022-08-07,25
2022-08-14,15
2022-08-21,15
2022-08-28,25
2022-09-04,16
2022-09-11,14
2022-09-18,12
2022-09-25,17
2022-10-02,11
2022-10-09,10
2022-10-16,13
2022-10-23,9
2022-10-30,10
2022-11-06,8
2022-11-13,8
2022-11-20,14
2022-11-27,7
2022-12-04,13
2022-12-11,0
2022-12-18,0
2022-12-25,9
2023-01-01,12
2023-01-08,0
2023-01-15,0
2023-01-22,10
2023-01-29,14
2023-02-05,12
2023-02-12,15
2023-02-19,25
2023-02-26,23
2023-03-05,30
2023-03-12,29
2023-03-19,38
2023-03-26,42
2023-04-02,41
2023-04-09,38
2023-04-16,31
2023-04-23,24
2023-04-30,23
2023-05-07,23
2023-05-14,23
2023-05-21,18
2023-05-28,17
2023-06-04,12
2023-06-11,17
2023-06-18,17
2023-06-25,11
2023-07-02,14
2023-07-09,9
2023-07-16,10
2023-07-23,14
2023-07-30,9
2023-08-06,0
2023-08-13,0
2023-08-20,10
2023-08-27,7
2023-09-03,0
2023-09-10,8
2023-09-17,0
2023-09-24,0
2023-10-01,8
2023-10-08,0
2023-10-15,0
2023-10-22,0
2023-10-29,0
2023-11-05,0
2023-11-12,10
2023-11-19,9
2023-11-26,8
2023-12-03,0
2023-12-10,8
2023-12-17,9
2023-12-24,0
2023-12-31,0
2024-01-07,11
2024-01-14,8
2024-01-21,19
2024-01-28,22
2024-02-04,29
2024-02-11,68
2024-02-18,89
2024-02-25,96
2024-03-03,100
2024-03-10,85
2024-03-17,84
2024-03-24,64
2024-03-31,88
2024-04-07,84
2024-04-14,67
2024-04-21,59
