Categoria: Todas as categorias

Semana,dengue: (Pernambuco)
2019-04-21,15
2019-04-28,22
2019-05-05,18
2019-05-12,22
2019-05-19,24
2019-05-26,22
2019-06-02,24
2019-06-09,15
2019-06-16,15
2019-06-23,23
2019-06-30,16
2019-07-07,14
2019-07-14,13
2019-07-21,12
2019-07-28,10
2019-08-04,13
2019-08-11,12
2019-08-18,14
2019-08-25,12
2019-09-01,13
2019-09-08,13
2019-09-15,13
2019-09-22,10
2019-09-29,10
2019-10-06,9
2019-10-13,8
2019-10-20,8
2019-10-27,8
2019-11-03,7
2019-11-10,7
2019-11-17,8
2019-11-24,6
2019-12-01,7
2019-12-08,6
2019-12-15,5
2019-12-22,5
2019-12-29,3
2020-01-05,5
2020-01-12,6
2020-01-19,6
2020-01-26,8
2020-02-02,8
2020-02-09,9
2020-02-16,9
2020-02-23,11
2020-03-01,14
2020-03-08,17
2020-03-15,20
2020-03-22,17
2020-03-29,17
2020-04-05,14
2020-04-12,21
2020-04-19,18
2020-04-26,22
2020-05-03,23
2020-05-10,23
2020-05-17,20
2020-05-24,21
2020-05-31,20
2020-06-07,22
2020-06-14,18
2020-06-21,21
2020-06-28,14
2020-07-05,19
2020-07-12,15
2020-07-19,14
2020-07-26,11
2020-08-02,10
2020-08-09,10
2020-08-16,10
2020-08-23,7
2020-08-30,9
2020-09-06,7
2020-09-13,8
2020-09-20,8
2020-09-27,8
2020-10-04,7
2020-10-11,6
2020-10-18,6
2020-10-25,5
2020-11-01,7
2020-11-08,6
2020-11-15,3
2020-11-22,6
2020-11-29,6
2020-12-06,7
2020-12-13,7
2020-12-20,6
2020-12-27,5
2021-01-03,7
2021-01-10,4
2021-01-17,7
2021-01-24,6
2021-01-31,6
2021-02-07,7
2021-02-14,7
2021-02-21,8
2021-02-28,9
2021-03-07,9
2021-03-14,12
2021-03-21,15
2021-03-28,15
2021-04-04,16
2021-04-11,20
2021-04-18,21
2021-04-25,28
2021-05-02,28
2021-05-09,40
2021-05-16,45
2021-05-23,56
2021-05-30,56
2021-06-06,50
2021-06-13,43
2021-06-20,39
2021-06-27,37
2021-07-04,31
2021-07-11,28
2021-07-18,24
2021-07-25,20
2021-08-01,19
2021-08-08,15
2021-08-15,14
2021-08-22,15
2021-08-29,12
2021-09-05,8
2021-09-12,11
2021-09-19,9
2021-09-26,6
2021-10-03,8
2021-10-10,6
2021-10-17,7
2021-10-24,5
2021-10-31,8
2021-11-07,7
2021-11-14,5
2021-11-21,6
2021-11-28,6
2021-12-05,6
2021-12-12,6
2021-12-19,5
2021-12-26,6
2022-01-02,7
2022-01-09,6
2022-01-16,8
2022-01-23,9
2022-01-30,9
2022-02-06,9
2022-02-13,11
2022-02-20,13
2022-02-27,12
2022-03-06,14
2022-03-13,16
2022-03-20,15
2022-03-27,18
2022-04-03,17
2022-04-10,20
2022-04-17,27
2022-04-24,26
2022-05-01,25
2022-05-08,30
2022-05-15,27
2022-05-22,23
2022-05-29,21
2022-06-05,20
2022-06-12,24
2022-06-19,21
2022-06-26,17
2022-07-03,14
2022-07-10,11
2022-07-17,11
2022-07-24,9
2022-07-31,10
2022-08-07,9
2022-08-14,9
2022-08-21,8
2022-08-28,8
2022-09-04,7
2022-09-11,7
2022-09-18,8
2022-09-25,6
2022-10-02,5
2022-10-09,5
2022-10-16,7
2022-10-23,5
2022-10-30,5
2022-11-06,6
2022-11-13,7
2022-11-20,6
2022-11-27,6
2022-12-04,5
2022-12-11,6
2022-12-18,5
2022-12-25,6
2023-01-01,7
2023-01-08,5
2023-01-15,5
2023-01-22,4
2023-01-29,5
2023-02-05,6
2023-02-12,7
2023-02-19,5
2023-02-26,9
2023-03-05,9
2023-03-12,10
2023-03-19,12
2023-03-26,18
2023-04-02,13
2023-04-09,14
2023-04-16,14
2023-04-23,13
2023-04-30,10
2023-05-07,10
2023-05-14,9
2023-05-21,10
2023-05-28,9
2023-06-04,8
2023-06-11,9
2023-06-18,6
2023-06-25,8
2023-07-02,12
2023-07-09,9
2023-07-16,6
2023-07-23,5
2023-07-30,6
2023-08-06,5
2023-08-13,6
2023-08-20,7
2023-08-27,7
2023-09-03,6
2023-09-10,6
2023-09-17,5
2023-09-24,6
2023-10-01,5
2023-10-08,5
2023-10-15,6
2023-10-22,6
2023-10-29,5
2023-11-05,7
2023-11-12,4
2023-11-19,8
2023-11-26,6
2023-12-03,6
2023-12-10,6
2023-12-17,6
2023-12-24,7
2023-12-31,8
2024-01-07,8
2024-01-14,6
2024-01-21,12
2024-01-28,21
2024-02-04,34
2024-02-11,56
2024-02-18,91
2024-02-25,100
2024-03-03,93
2024-03-10,88
2024-03-17,88
2024-03-24,61
2024-03-31,57
2024-04-07,69
2024-04-14,61
2024-04-21,44
