Categoria: Todas as categorias

Semana,dengue: (Amazonas),sintomas dengue: (Amazonas),tratamento dengue: (Amazonas)
2019-04-07,10,0,0
2019-04-14,8,0,0
2019-04-21,10,0,0
2019-04-28,6,0,0
2019-05-05,8,5,0
2019-05-12,9,0,0
2019-05-19,5,0,0
2019-05-26,12,0,0
2019-06-02,10,0,0
2019-06-09,9,0,0
2019-06-16,7,0,0
2019-06-23,5,0,7
2019-06-30,6,0,0
2019-07-07,0,0,0
2019-07-14,5,0,0
2019-07-21,6,0,0
2019-07-28,7,0,0
2019-08-04,8,0,0
2019-08-11,6,0,0
2019-08-18,8,0,0
2019-08-25,6,0,0
2019-09-01,6,0,0
2019-09-08,0,0,0
2019-09-15,6,0,0
2019-09-22,9,0,0
2019-09-29,5,0,0
2019-10-06,7,0,0
2019-10-13,9,0,0
2019-10-20,6,0,0
2019-10-27,9,0,0
2019-11-03,12,0,0
2019-11-10,10,0,5
2019-11-17,11,0,0
2019-11-24,12,0,0
2019-12-01,10,0,0
2019-12-08,5,6,0
2019-12-15,9,0,0
2019-12-22,5,6,0
2019-12-29,16,0,0
2020-01-05,13,6,0
2020-01-12,10,6,0
2020-01-19,4,0,0
2020-01-26,12,4,0
2020-02-02,12,3,0
2020-02-09,16,5,0
2020-02-16,12,4,0
2020-02-23,12,4,0
2020-03-01,15,0,0
2020-03-08,15,0,0
2020-03-15,27,4,0
2020-03-22,22,4,0
2020-03-29,22,6,0
2020-04-05,26,9,0
2020-04-12,26,7,0
2020-04-19,21,10,0
2020-04-26,19,6,0
2020-05-03,8,4,0
2020-05-10,10,0,0
2020-05-17,9,0,0
2020-05-24,13,4,0
2020-05-31,14,0,0
2020-06-07,10,0,0
2020-06-14,10,0,0
2020-06-21,10,5,0
2020-06-28,5,0,0
2020-07-05,11,0,0
2020-07-12,8,0,0
2020-07-19,8,5,0
2020-07-26,8,0,0
2020-08-02,8,0,0
2020-08-09,0,0,0
2020-08-16,5,4,0
2020-08-23,6,0,0
2020-08-30,7,0,0
2020-09-06,6,0,0
2020-09-13,8,0,0
2020-09-20,6,0,4
2020-09-27,6,0,0
2020-10-04,11,0,0
2020-10-11,8,0,0
2020-10-18,7,0,0
2020-10-25,6,0,0
2020-11-01,7,0,0
2020-11-08,5,0,3
2020-11-15,8,0,0
2020-11-22,14,0,0
2020-11-29,9,0,0
2020-12-06,11,0,0
2020-12-13,11,4,0
2020-12-20,10,0,0
2020-12-27,21,5,0
2021-01-03,23,11,0
2021-01-10,10,8,0
2021-01-17,17,4,0
2021-01-24,18,6,0
2021-01-31,16,5,0
2021-02-07,14,0,0
2021-02-14,18,7,0
2021-02-21,21,5,0
2021-02-28,24,9,0
2021-03-07,13,5,0
2021-03-14,18,5,0
2021-03-21,22,6,0
2021-03-28,18,5,0
2021-04-04,19,5,0
2021-04-11,17,3,0
2021-04-18,23,4,0
2021-04-25,20,6,0
2021-05-02,18,3,0
2021-05-09,15,3,0
2021-05-16,20,7,0
2021-05-23,17,6,0
2021-05-30,12,0,0
2021-06-06,12,4,0
2021-06-13,16,3,0
2021-06-20,11,3,0
2021-06-27,10,0,0
2021-07-04,12,4,0
2021-07-11,14,0,0
2021-07-18,9,4,0
2021-07-25,7,0,0
2021-08-01,10,3,0
2021-08-08,9,4,0
2021-08-15,11,0,0
2021-08-22,9,0,0
2021-08-29,10,0,0
2021-09-05,9,0,0
2021-09-12,8,0,0
2021-09-19,10,0,0
2021-09-26,9,0,0
2021-10-03,5,0,0
2021-10-10,5,0,0
2021-10-17,8,0,0
2021-10-24,5,0,0
2021-10-31,6,0,0
2021-11-07,4,0,0
2021-11-14,7,0,0
2021-11-21,8,0,0
2021-11-28,6,0,0
2021-12-05,6,0,0
2021-12-12,9,5,0
2021-12-19,6,0,0
2021-12-26,4,5,0
2022-01-02,0,0,0
2022-01-09,12,0,0
2022-01-16,9,0,0
2022-01-23,6,0,0
2022-01-30,9,0,0
2022-02-06,5,0,0
2022-02-13,10,2,0
2022-02-20,12,3,0
2022-02-27,11,0,0
2022-03-06,10,0,0
2022-03-13,11,3,0
2022-03-20,17,4,0
2022-03-27,14,0,0
2022-04-03,15,2,0
2022-04-10,13,3,0
2022-04-17,15,4,0
2022-04-24,16,0,0
2022-05-01,16,5,0
2022-05-08,17,2,0
2022-05-15,17,3,0
2022-05-22,20,4,0
2022-05-29,17,5,0
2022-06-05,15,3,0
2022-06-12,16,6,0
2022-06-19,12,3,0
2022-06-26,8,4,0
2022-07-03,8,3,0
2022-07-10,7,3,0
2022-07-17,11,3,0
2022-07-24,10,0,0
2022-07-31,12,0,0
2022-08-07,8,0,0
2022-08-14,9,3,0
2022-08-21,9,0,0
2022-08-28,5,0,0
2022-09-04,6,0,0
2022-09-11,10,0,0
2022-09-18,6,3,0
2022-09-25,6,0,0
2022-10-02,5,0,0
2022-10-09,8,0,0
2022-10-16,9,2,0
2022-10-23,8,2,0
2022-10-30,6,0,0
2022-11-06,12,0,0
2022-11-13,10,0,0
2022-11-20,10,0,0
2022-11-27,11,0,0
2022-12-04,9,0,0
2022-12-11,7,0,0
2022-12-18,10,0,0
2022-12-25,10,4,0
2023-01-01,7,4,0
2023-01-08,7,0,0
2023-01-15,10,4,0
2023-01-22,8,0,0
2023-01-29,10,4,0
2023-02-05,13,0,0
2023-02-12,15,4,0
2023-02-19,14,0,0
2023-02-26,15,4,2
2023-03-05,14,0,0
2023-03-12,15,7,0
2023-03-19,18,5,0
2023-03-26,18,3,0
2023-04-02,14,3,0
2023-04-09,21,2,0
2023-04-16,15,4,0
2023-04-23,15,5,0
2023-04-30,13,0,0
2023-05-07,17,6,3
2023-05-14,17,4,0
2023-05-21,13,3,0
2023-05-28,13,3,0
2023-06-04,6,3,0
2023-06-11,11,2,0
2023-06-18,10,3,0
2023-06-25,10,3,0
2023-07-02,14,4,0
2023-07-09,10,0,3
2023-07-16,8,3,0
2023-07-23,7,0,0
2023-07-30,9,3,0
2023-08-06,9,3,0
2023-08-13,10,0,0
2023-08-20,7,0,0
2023-08-27,8,0,0
2023-09-03,4,0,0
2023-09-10,6,0,0
2023-09-17,10,3,0
2023-09-24,9,3,0
2023-10-01,7,0,0
2023-10-08,5,0,0
2023-10-15,10,0,0
2023-10-22,8,0,0
2023-10-29,3,0,0
2023-11-05,8,0,0
2023-11-12,8,0,0
2023-11-19,10,0,0
2023-11-26,9,0,0
2023-12-03,14,3,0
2023-12-10,17,4,0
2023-12-17,26,10,0
2023-12-24,52,14,0
2023-12-31,87,28,0
2024-01-07,82,21,4
2024-01-14,88,24,3
2024-01-21,83,21,4
2024-01-28,65,17,0
2024-02-04,72,22,0
2024-02-11,76,21,0
2024-02-18,100,25,0
2024-02-25,90,19,0
2024-03-03,77,14,0
2024-03-10,65,15,0
2024-03-17,58,14,0
2024-03-24,47,11,1
