Categoria: Todas as categorias

Semana,dengue: (Paraíba),sintomas dengue: (Paraíba),tratamento dengue: (Paraíba)
2019-04-07,20,0,0
2019-04-14,16,5,0
2019-04-21,20,5,0
2019-04-28,25,9,3
2019-05-05,18,5,0
2019-05-12,28,6,0
2019-05-19,27,8,0
2019-05-26,25,5,0
2019-06-02,22,7,0
2019-06-09,22,4,0
2019-06-16,18,4,0
2019-06-23,18,4,0
2019-06-30,19,6,0
2019-07-07,12,4,0
2019-07-14,15,5,0
2019-07-21,15,4,0
2019-07-28,18,6,0
2019-08-04,16,0,0
2019-08-11,12,3,0
2019-08-18,12,0,0
2019-08-25,11,0,0
2019-09-01,11,6,0
2019-09-08,13,6,0
2019-09-15,11,0,0
2019-09-22,10,4,0
2019-09-29,9,3,0
2019-10-06,8,0,0
2019-10-13,9,0,0
2019-10-20,10,0,0
2019-10-27,4,0,0
2019-11-03,8,0,0
2019-11-10,7,0,0
2019-11-17,8,0,0
2019-11-24,5,0,0
2019-12-01,4,0,0
2019-12-08,0,0,0
2019-12-15,6,0,0
2019-12-22,6,0,0
2019-12-29,5,0,0
2020-01-05,4,0,0
2020-01-12,5,0,0
2020-01-19,7,4,0
2020-01-26,8,3,0
2020-02-02,7,0,0
2020-02-09,11,3,0
2020-02-16,10,0,0
2020-02-23,13,3,0
2020-03-01,16,3,0
2020-03-08,14,0,0
2020-03-15,24,5,0
2020-03-22,19,2,0
2020-03-29,13,2,0
2020-04-05,11,5,0
2020-04-12,12,3,2
2020-04-19,15,5,0
2020-04-26,16,5,0
2020-05-03,16,6,0
2020-05-10,24,8,0
2020-05-17,24,7,0
2020-05-24,27,9,0
2020-05-31,25,6,0
2020-06-07,25,7,0
2020-06-14,21,7,0
2020-06-21,23,4,0
2020-06-28,27,10,0
2020-07-05,23,5,0
2020-07-12,24,7,0
2020-07-19,23,7,0
2020-07-26,15,4,0
2020-08-02,14,3,0
2020-08-09,10,0,0
2020-08-16,14,6,0
2020-08-23,11,3,0
2020-08-30,7,0,0
2020-09-06,8,0,0
2020-09-13,6,0,0
2020-09-20,7,0,0
2020-09-27,8,0,0
2020-10-04,9,0,0
2020-10-11,6,0,0
2020-10-18,9,0,0
2020-10-25,9,0,0
2020-11-01,5,0,0
2020-11-08,3,0,0
2020-11-15,8,0,0
2020-11-22,5,0,0
2020-11-29,12,3,0
2020-12-06,7,3,0
2020-12-13,5,0,0
2020-12-20,4,0,0
2020-12-27,5,0,0
2021-01-03,6,2,0
2021-01-10,3,0,0
2021-01-17,3,0,0
2021-01-24,0,0,0
2021-01-31,6,0,0
2021-02-07,6,0,0
2021-02-14,5,0,3
2021-02-21,6,0,0
2021-02-28,7,0,0
2021-03-07,8,4,0
2021-03-14,9,3,0
2021-03-21,8,3,0
2021-03-28,11,0,0
2021-04-04,7,0,0
2021-04-11,10,3,0
2021-04-18,11,3,0
2021-04-25,11,2,0
2021-05-02,12,0,0
2021-05-09,19,6,0
2021-05-16,22,4,0
2021-05-23,20,7,2
2021-05-30,19,6,0
2021-06-06,19,4,0
2021-06-13,18,4,0
2021-06-20,20,5,0
2021-06-27,20,6,3
2021-07-04,19,3,0
2021-07-11,29,6,0
2021-07-18,23,4,0
2021-07-25,17,5,0
2021-08-01,13,0,0
2021-08-08,14,0,0
2021-08-15,17,5,0
2021-08-22,14,3,0
2021-08-29,12,4,0
2021-09-05,11,5,0
2021-09-12,9,0,0
2021-09-19,10,3,0
2021-09-26,8,0,0
2021-10-03,8,0,0
2021-10-10,10,0,0
2021-10-17,10,0,0
2021-10-24,6,0,0
2021-10-31,7,0,4
2021-11-07,8,0,0
2021-11-14,9,0,0
2021-11-21,8,3,0
2021-11-28,8,3,0
2021-12-05,6,0,0
2021-12-12,9,0,0
2021-12-19,8,0,0
2021-12-26,10,4,0
2022-01-02,7,0,0
2022-01-09,10,0,0
2022-01-16,8,0,0
2022-01-23,10,3,0
2022-01-30,11,3,0
2022-02-06,10,2,0
2022-02-13,13,4,0
2022-02-20,11,3,0
2022-02-27,14,4,0
2022-03-06,13,5,0
2022-03-13,19,0,0
2022-03-20,18,5,0
2022-03-27,22,4,0
2022-04-03,36,11,0
2022-04-10,34,7,0
2022-04-17,44,10,0
2022-04-24,56,15,0
2022-05-01,48,13,0
2022-05-08,66,18,0
2022-05-15,84,24,3
2022-05-22,74,18,0
2022-05-29,60,17,0
2022-06-05,72,20,0
2022-06-12,72,20,2
2022-06-19,64,21,0
2022-06-26,54,18,0
2022-07-03,50,17,0
2022-07-10,49,14,2
2022-07-17,41,12,0
2022-07-24,32,9,0
2022-07-31,31,8,0
2022-08-07,25,5,0
2022-08-14,23,4,0
2022-08-21,15,5,0
2022-08-28,15,5,0
2022-09-04,11,3,2
2022-09-11,14,4,0
2022-09-18,8,3,0
2022-09-25,6,0,0
2022-10-02,8,2,0
2022-10-09,5,0,0
2022-10-16,8,3,0
2022-10-23,6,2,0
2022-10-30,6,0,0
2022-11-06,9,2,0
2022-11-13,8,0,0
2022-11-20,6,2,0
2022-11-27,5,0,0
2022-12-04,6,0,0
2022-12-11,4,0,0
2022-12-18,3,0,0
2022-12-25,5,0,0
2023-01-01,5,0,0
2023-01-08,3,0,0
2023-01-15,7,4,0
2023-01-22,7,3,0
2023-01-29,5,0,0
2023-02-05,7,2,0
2023-02-12,8,0,0
2023-02-19,5,0,0
2023-02-26,8,0,0
2023-03-05,10,3,0
2023-03-12,11,3,0
2023-03-19,12,3,3
2023-03-26,16,3,0
2023-04-02,19,7,0
2023-04-09,18,4,0
2023-04-16,17,4,0
2023-04-23,17,4,0
2023-04-30,17,4,0
2023-05-07,16,5,0
2023-05-14,15,3,0
2023-05-21,12,4,0
2023-05-28,9,2,0
2023-06-04,10,3,0
2023-06-11,8,0,0
2023-06-18,11,3,0
2023-06-25,6,0,0
