Categoria: Todas as categorias

Semana,dengue: (Ceará),sintomas dengue: (Ceará),tratamento dengue: (Ceará)
2019-04-07,18,5,0
2019-04-14,16,4,0
2019-04-21,21,5,0
2019-04-28,22,8,0
2019-05-05,23,2,0
2019-05-12,19,4,0
2019-05-19,19,5,0
2019-05-26,16,5,1
2019-06-02,17,3,0
2019-06-09,14,4,0
2019-06-16,15,2,0
2019-06-23,10,2,0
2019-06-30,11,2,0
2019-07-07,7,0,0
2019-07-14,8,2,0
2019-07-21,9,2,0
2019-07-28,7,3,0
2019-08-04,9,2,0
2019-08-11,7,0,0
2019-08-18,9,0,0
2019-08-25,8,2,0
2019-09-01,6,0,0
2019-09-08,7,0,0
2019-09-15,9,0,0
2019-09-22,7,1,0
2019-09-29,5,3,0
2019-10-06,8,0,0
2019-10-13,6,0,0
2019-10-20,7,0,0
2019-10-27,4,0,0
2019-11-03,7,0,0
2019-11-10,6,0,2
2019-11-17,6,0,0
2019-11-24,5,0,0
2019-12-01,5,2,0
2019-12-08,4,0,0
2019-12-15,3,0,0
2019-12-22,3,0,0
2019-12-29,5,2,0
2020-01-05,8,0,0
2020-01-12,9,2,0
2020-01-19,9,0,0
2020-01-26,8,2,0
2020-02-02,15,3,0
2020-02-09,22,4,0
2020-02-16,22,5,0
2020-02-23,26,8,0
2020-03-01,31,7,0
2020-03-08,39,7,2
2020-03-15,37,8,0
2020-03-22,31,7,0
2020-03-29,28,6,0
2020-04-05,29,7,0
2020-04-12,32,9,0
2020-04-19,35,9,0
2020-04-26,40,14,0
2020-05-03,47,19,1
2020-05-10,36,13,0
2020-05-17,33,8,0
2020-05-24,28,8,0
2020-05-31,24,6,0
2020-06-07,17,5,0
2020-06-14,18,5,0
2020-06-21,21,6,0
2020-06-28,21,5,0
2020-07-05,16,4,0
2020-07-12,14,4,0
2020-07-19,15,3,0
2020-07-26,9,3,0
2020-08-02,10,2,0
2020-08-09,12,3,0
2020-08-16,9,3,0
2020-08-23,9,2,0
2020-08-30,6,2,0
2020-09-06,7,1,0
2020-09-13,6,1,0
2020-09-20,9,1,0
2020-09-27,7,2,0
2020-10-04,6,0,0
2020-10-11,5,0,0
2020-10-18,6,0,0
2020-10-25,5,0,0
2020-11-01,5,1,0
2020-11-08,6,0,0
2020-11-15,7,0,0
2020-11-22,5,0,0
2020-11-29,5,0,0
2020-12-06,7,1,0
2020-12-13,9,2,0
2020-12-20,4,0,0
2020-12-27,7,0,0
2021-01-03,6,1,0
2021-01-10,5,2,0
2021-01-17,6,2,0
2021-01-24,6,2,0
2021-01-31,11,2,0
2021-02-07,11,3,0
2021-02-14,10,4,0
2021-02-21,13,2,0
2021-02-28,14,4,0
2021-03-07,20,5,0
2021-03-14,19,4,0
2021-03-21,21,5,0
2021-03-28,21,7,0
2021-04-04,23,6,0
2021-04-11,28,7,2
2021-04-18,29,7,1
2021-04-25,30,8,0
2021-05-02,28,8,0
2021-05-09,36,11,0
2021-05-16,45,12,2
2021-05-23,47,11,1
2021-05-30,44,14,1
2021-06-06,42,12,2
2021-06-13,42,11,2
2021-06-20,38,11,1
2021-06-27,33,8,2
2021-07-04,34,10,0
2021-07-11,25,6,0
2021-07-18,24,6,0
2021-07-25,20,5,0
2021-08-01,19,5,0
2021-08-08,19,5,1
2021-08-15,20,4,0
2021-08-22,14,3,0
2021-08-29,14,4,0
2021-09-05,9,2,0
2021-09-12,11,2,0
2021-09-19,14,3,0
2021-09-26,10,2,0
2021-10-03,12,3,0
2021-10-10,7,0,0
2021-10-17,8,3,2
2021-10-24,5,1,0
2021-10-31,5,0,0
2021-11-07,6,0,0
