Categoria: Todas as categorias

Semana,dengue: (Piauí),sintomas dengue: (Piauí),tratamento dengue: (Piauí)
2019-04-07,16,5,0
2019-04-14,12,4,0
2019-04-21,18,4,0
2019-04-28,17,4,4
2019-05-05,13,3,0
2019-05-12,15,5,0
2019-05-19,16,3,6
2019-05-26,12,4,0
2019-06-02,12,6,0
2019-06-09,17,5,0
2019-06-16,9,0,0
2019-06-23,10,0,0
2019-06-30,11,0,0
2019-07-07,6,0,0
2019-07-14,5,0,0
2019-07-21,6,0,0
2019-07-28,5,0,0
2019-08-04,4,0,0
2019-08-11,4,0,0
2019-08-18,0,0,0
2019-08-25,4,3,0
2019-09-01,3,0,0
2019-09-08,3,0,0
2019-09-15,4,0,0
2019-09-22,4,0,0
2019-09-29,0,0,0
2019-10-06,3,0,0
2019-10-13,3,0,0
2019-10-20,6,0,0
2019-10-27,2,0,0
2019-11-03,5,0,0
2019-11-10,5,0,0
2019-11-17,4,0,0
2019-11-24,5,0,0
2019-12-01,0,0,0
2019-12-08,3,0,0
2019-12-15,0,0,0
2019-12-22,0,0,0
2019-12-29,0,0,0
2020-01-05,3,0,0
2020-01-12,3,0,0
2020-01-19,0,0,0
2020-01-26,5,0,0
2020-02-02,5,2,3
2020-02-09,6,0,0
2020-02-16,9,2,0
2020-02-23,7,3,0
2020-03-01,8,0,0
2020-03-08,12,0,0
2020-03-15,14,3,0
2020-03-22,14,3,0
2020-03-29,9,0,0
2020-04-05,10,2,0
2020-04-12,6,2,0
2020-04-19,10,0,0
2020-04-26,8,2,0
2020-05-03,12,4,0
2020-05-10,9,3,0
2020-05-17,7,3,0
2020-05-24,10,2,0
2020-05-31,11,3,0
2020-06-07,8,0,0
2020-06-14,8,4,0
2020-06-21,9,3,0
2020-06-28,6,0,0
2020-07-05,7,0,0
2020-07-12,5,0,0
2020-07-19,0,0,0
2020-07-26,5,0,0
2020-08-02,4,2,0
2020-08-09,3,0,0
2020-08-16,3,0,0
2020-08-23,2,0,0
2020-08-30,3,0,0
2020-09-06,0,0,0
2020-09-13,3,0,0
2020-09-20,3,0,0
2020-09-27,3,0,0
2020-10-04,0,0,0
2020-10-11,3,0,0
2020-10-18,0,0,0
2020-10-25,3,0,0
2020-11-01,0,2,0
2020-11-08,4,0,0
2020-11-15,2,0,0
2020-11-22,4,2,0
2020-11-29,3,0,0
2020-12-06,4,0,0
2020-12-13,0,0,0
2020-12-20,3,0,0
2020-12-27,3,0,0
2021-01-03,2,0,0
2021-01-10,2,0,0
2021-01-17,0,0,0
2021-01-24,2,0,0
2021-01-31,4,0,0
2021-02-07,5,0,0
2021-02-14,4,0,0
2021-02-21,3,0,0
2021-02-28,4,0,0
2021-03-07,8,2,0
2021-03-14,5,0,0
2021-03-21,5,2,0
2021-03-28,6,2,0
2021-04-04,9,3,0
2021-04-11,6,0,0
2021-04-18,7,0,0
2021-04-25,7,3,2
2021-05-02,7,3,2
2021-05-09,8,0,0
2021-05-16,11,2,0
2021-05-23,8,0,0
2021-05-30,8,3,0
2021-06-06,10,3,0
2021-06-13,10,3,2
2021-06-20,9,2,0
2021-06-27,5,0,0
2021-07-04,6,3,0
2021-07-11,6,0,0
2021-07-18,4,0,0
2021-07-25,5,0,0
2021-08-01,3,0,2
2021-08-08,4,0,0
2021-08-15,6,2,0
2021-08-22,6,0,0
2021-08-29,4,0,0
2021-09-05,6,0,0
2021-09-12,5,0,0
2021-09-19,3,0,0
2021-09-26,4,0,0
2021-10-03,4,0,0
2021-10-10,2,0,0
2021-10-17,4,0,0
2021-10-24,3,0,0
2021-10-31,3,0,0
2021-11-07,3,0,0
2021-11-14,4,0,0
2021-11-21,3,0,0
2021-11-28,3,0,0
2021-12-05,6,0,0
2021-12-12,4,2,0
2021-12-19,3,0,0
2021-12-26,6,3,0
2022-01-02,6,0,0
2022-01-09,9,0,0
2022-01-16,9,4,0
2022-01-23,8,3,0
2022-01-30,11,4,0
2022-02-06,12,6,0
2022-02-13,18,7,0
2022-02-20,20,8,0
2022-02-27,27,7,0
2022-03-06,28,7,0
2022-03-13,35,10,0
2022-03-20,42,13,0
2022-03-27,63,16,0
2022-04-03,68,20,2
2022-04-10,77,20,2
2022-04-17,100,29,1
2022-04-24,100,26,3
2022-05-01,88,23,1
2022-05-08,73,19,0
2022-05-15,65,18,0
2022-05-22,49,14,0
2022-05-29,44,13,0
2022-06-05,44,12,0
2022-06-12,36,11,0
2022-06-19,26,8,2
2022-06-26,30,9,0
2022-07-03,24,10,0
2022-07-10,17,5,0
2022-07-17,10,3,0
2022-07-24,7,0,0
2022-07-31,8,4,0
2022-08-07,7,2,2
2022-08-14,6,2,0
2022-08-21,5,2,0
2022-08-28,4,0,0
2022-09-04,4,0,0
2022-09-11,3,0,0
2022-09-18,3,0,0
2022-09-25,4,0,0
2022-10-02,5,0,0
2022-10-09,3,0,0
2022-10-16,4,2,0
2022-10-23,4,0,0
2022-10-30,6,1,0
2022-11-06,4,0,0
2022-11-13,5,0,0
2022-11-20,4,0,0
2022-11-27,5,0,0
2022-12-04,2,0,0
2022-12-11,6,0,0
2022-12-18,4,0,0
2022-12-25,6,0,0
2023-01-01,5,0,0
2023-01-08,5,2,0
2023-01-15,7,0,0
2023-01-22,7,2,0
2023-01-29,8,2,0
2023-02-05,7,0,0
2023-02-12,10,2,0
2023-02-19,8,2,0
2023-02-26,15,4,0
2023-03-05,13,4,0
2023-03-12,13,4,0
2023-03-19,18,5,0
2023-03-26,20,5,0
2023-04-02,18,8,0
2023-04-09,21,8,0
2023-04-16,22,6,0
2023-04-23,18,6,0
2023-04-30,15,5,0
2023-05-07,20,6,0
2023-05-14,16,4,0
2023-05-21,10,2,0
2023-05-28,13,3,0
2023-06-04,8,3,0
2023-06-11,11,2,0
2023-06-18,8,3,0
2023-06-25,8,2,0
2023-07-02,7,0,0
2023-07-09,6,0,0
2023-07-16,5,0,0
2023-07-23,4,2,0
2023-07-30,2,0,0
2023-08-06,4,0,0
2023-08-13,3,0,0
2023-08-20,0,0,3
2023-08-27,4,0,0
2023-09-03,3,0,0
2023-09-10,3,0,0
2023-09-17,4,3,0
2023-09-24,2,0,0
2023-10-01,3,0,0
2023-10-08,2,2,0
2023-10-15,3,0,0
2023-10-22,4,0,0
2023-10-29,0,0,0
2023-11-05,3,0,0
2023-11-12,3,0,0
2023-11-19,3,0,0
2023-11-26,5,0,0
2023-12-03,3,0,0
2023-12-10,2,0,0
2023-12-17,3,0,0
2023-12-24,7,0,0
2023-12-31,4,0,0
2024-01-07,7,0,0
2024-01-14,6,0,0
2024-01-21,11,0,0
2024-01-28,16,0,0
2024-02-04,23,7,0
2024-02-11,30,5,0
2024-02-18,43,7,0
2024-02-25,46,8,0
2024-03-03,43,11,0
2024-03-10,53,13,0
2024-03-17,46,10,0
2024-03-24,37,9,<1
2024-03-31,39,10,1
2024-04-07,43,10,1
