Categoria: Todas as categorias

Semana,dengue: (Mato Grosso do Sul),sintomas dengue: (Mato Grosso do Sul)
2020-02-09,83,20
2020-02-16,81,20
2020-02-23,86,23
2020-03-01,89,22
2020-03-08,100,23
2020-03-15,95,24
2020-03-22,85,20
2020-03-29,69,15
2020-04-05,64,14
2020-04-12,54,10
2020-04-19,47,10
2020-04-26,47,11
2020-05-03,34,6
2020-05-10,24,4
2020-05-17,31,7
2020-05-24,21,4
2020-05-31,19,3
2020-06-07,20,5
2020-06-14,23,6
2020-06-21,20,5
2020-06-28,16,6
2020-07-05,17,3
2020-07-12,19,4
2020-07-19,17,5
2020-07-26,19,5
2020-08-02,11,4
2020-08-09,12,5
2020-08-16,10,3
2020-08-23,8,0
2020-08-30,9,3
2020-09-06,12,4
2020-09-13,10,0
2020-09-20,12,3
2020-09-27,7,0
2020-10-04,8,0
2020-10-11,5,0
2020-10-18,7,0
2020-10-25,9,0
2020-11-01,9,0
2020-11-08,11,0
2020-11-15,12,4
2020-11-22,13,4
2020-11-29,11,5
2020-12-06,14,5
2020-12-13,13,4
2020-12-20,15,6
2020-12-27,14,4
2021-01-03,14,5
2021-01-10,16,5
2021-01-17,15,5
2021-01-24,18,7
2021-01-31,26,8
2021-02-07,26,11
2021-02-14,28,8
2021-02-21,23,7
2021-02-28,29,12
2021-03-07,30,12
2021-03-14,33,7
2021-03-21,33,12
2021-03-28,31,11
2021-04-04,28,8
2021-04-11,24,7
2021-04-18,26,7
2021-04-25,27,6
2021-05-02,19,4
2021-05-09,22,6
2021-05-16,23,7
2021-05-23,17,5
2021-05-30,21,7
2021-06-06,11,3
2021-06-13,16,4
2021-06-20,12,0
2021-06-27,5,0
2021-07-04,6,0
2021-07-11,7,0
2021-07-18,5,3
2021-07-25,4,0
2021-08-01,5,0
2021-08-08,7,0
2021-08-15,5,0
2021-08-22,8,0
2021-08-29,7,0
2021-09-05,4,0
2021-09-12,5,0
2021-09-19,7,0
2021-09-26,7,0
2021-10-03,7,0
2021-10-10,5,0
2021-10-17,6,0
2021-10-24,7,0
2021-10-31,5,0
2021-11-07,7,0
2021-11-14,7,0
2021-11-21,6,0
2021-11-28,8,0
2021-12-05,7,3
2021-12-12,11,3
2021-12-19,7,0
2021-12-26,9,6
2022-01-02,10,3
2022-01-09,16,6
2022-01-16,20,10
2022-01-23,15,6
2022-01-30,10,3
2022-02-06,16,7
2022-02-13,12,3
2022-02-20,12,3
2022-02-27,15,4
2022-03-06,12,2
2022-03-13,22,6
2022-03-20,21,3
2022-03-27,23,7
2022-04-03,31,6
2022-04-10,33,7
2022-04-17,46,12
2022-04-24,56,15
2022-05-01,52,15
2022-05-08,62,14
2022-05-15,35,9
2022-05-22,46,13
2022-05-29,35,12
2022-06-05,36,11
2022-06-12,30,10
2022-06-19,26,8
2022-06-26,28,9
2022-07-03,22,8
2022-07-10,22,7
2022-07-17,18,7
2022-07-24,15,4
2022-07-31,16,5
2022-08-07,13,4
2022-08-14,13,4
2022-08-21,14,4
2022-08-28,12,3
2022-09-04,12,4
2022-09-11,12,3
2022-09-18,9,4
2022-09-25,8,3
2022-10-02,10,2
2022-10-09,12,4
2022-10-16,15,5
2022-10-23,16,5
2022-10-30,11,3
2022-11-06,19,8
2022-11-13,17,7
2022-11-20,22,7
2022-11-27,22,7
2022-12-04,21,6
2022-12-11,23,7
2022-12-18,24,7
2022-12-25,22,6
2023-01-01,21,7
2023-01-08,27,8
2023-01-15,23,6
2023-01-22,28,7
2023-01-29,28,8
2023-02-05,35,10
2023-02-12,50,17
2023-02-19,46,13
2023-02-26,52,15
2023-03-05,62,18
2023-03-12,63,17
2023-03-19,81,20
2023-03-26,90,27
2023-04-02,80,22
2023-04-09,90,25
2023-04-16,88,23
2023-04-23,88,20
2023-04-30,73,19
2023-05-07,72,21
2023-05-14,55,13
2023-05-21,53,14
