Categoria: Todas as categorias

Semana,dengue: (Alagoas),sintomas dengue: (Alagoas)
2020-02-09,10,0
2020-02-16,12,3
2020-02-23,8,0
2020-03-01,8,0
2020-03-08,14,0
2020-03-15,18,0
2020-03-22,14,3
2020-03-29,15,3
2020-04-05,17,5
2020-04-12,15,4
2020-04-19,14,3
2020-04-26,22,7
2020-05-03,26,8
2020-05-10,26,9
2020-05-17,26,8
2020-05-24,28,8
2020-05-31,28,7
2020-06-07,20,5
2020-06-14,15,4
2020-06-21,16,4
2020-06-28,14,0
2020-07-05,16,0
2020-07-12,12,3
2020-07-19,13,3
2020-07-26,10,0
2020-08-02,14,0
2020-08-09,11,0
2020-08-16,10,0
2020-08-23,11,0
2020-08-30,9,0
2020-09-06,7,0
2020-09-13,7,0
2020-09-20,7,0
2020-09-27,5,0
2020-10-04,5,0
2020-10-11,8,0
2020-10-18,5,3
2020-10-25,5,0
2020-11-01,6,0
2020-11-08,5,0
2020-11-15,3,0
2020-11-22,7,0
2020-11-29,6,0
2020-12-06,5,0
2020-12-13,4,0
2020-12-20,4,0
2020-12-27,0,0
2021-01-03,7,0
2021-01-10,4,0
2021-01-17,5,0
2021-01-24,4,0
2021-01-31,0,0
2021-02-07,4,0
2021-02-14,4,0
2021-02-21,3,0
2021-02-28,6,0
2021-03-07,6,0
2021-03-14,6,0
2021-03-21,6,0
2021-03-28,10,0
2021-04-04,6,0
2021-04-11,8,0
2021-04-18,5,0
2021-04-25,10,0
2021-05-02,11,0
2021-05-09,15,0
2021-05-16,16,3
2021-05-23,19,4
2021-05-30,20,0
2021-06-06,17,6
2021-06-13,18,6
2021-06-20,14,3
2021-06-27,13,0
2021-07-04,21,5
2021-07-11,20,6
2021-07-18,21,5
2021-07-25,22,6
2021-08-01,24,6
2021-08-08,20,6
2021-08-15,23,6
2021-08-22,20,6
2021-08-29,22,4
2021-09-05,18,3
2021-09-12,14,0
2021-09-19,15,4
2021-09-26,14,3
2021-10-03,12,0
2021-10-10,7,0
2021-10-17,14,4
2021-10-24,13,4
2021-10-31,10,0
2021-11-07,13,0
2021-11-14,11,0
2021-11-21,12,3
2021-11-28,8,0
2021-12-05,10,0
2021-12-12,5,0
2021-12-19,9,0
2021-12-26,9,0
2022-01-02,11,6
2022-01-09,9,4
2022-01-16,11,0
2022-01-23,6,0
2022-01-30,8,3
2022-02-06,8,3
2022-02-13,9,0
2022-02-20,9,2
2022-02-27,7,0
2022-03-06,8,0
2022-03-13,11,0
2022-03-20,13,4
2022-03-27,18,6
2022-04-03,21,6
2022-04-10,22,6
2022-04-17,28,9
2022-04-24,50,13
2022-05-01,56,16
2022-05-08,81,24
2022-05-15,98,33
2022-05-22,96,28
2022-05-29,98,29
2022-06-05,90,28
2022-06-12,84,30
2022-06-19,100,39
2022-06-26,93,38
2022-07-03,74,27
2022-07-10,65,20
2022-07-17,61,20
