Categoria: Todas as categorias

Semana,dengue: (Piauí),sintomas dengue: (Piauí)
2020-02-09,5,0
2020-02-16,8,0
2020-02-23,7,2
2020-03-01,8,0
2020-03-08,12,2
2020-03-15,14,4
2020-03-22,14,3
2020-03-29,10,2
2020-04-05,9,3
2020-04-12,9,2
2020-04-19,9,2
2020-04-26,10,2
2020-05-03,10,3
2020-05-10,10,2
2020-05-17,9,3
2020-05-24,9,3
2020-05-31,10,2
2020-06-07,8,0
2020-06-14,9,5
2020-06-21,9,2
2020-06-28,6,3
2020-07-05,6,2
2020-07-12,5,0
2020-07-19,4,0
2020-07-26,2,0
2020-08-02,2,0
2020-08-09,4,0
2020-08-16,2,0
2020-08-23,3,0
2020-08-30,3,0
2020-09-06,2,0
2020-09-13,0,0
2020-09-20,2,0
2020-09-27,2,0
2020-10-04,2,0
2020-10-11,3,0
2020-10-18,2,0
2020-10-25,2,0
2020-11-01,2,0
2020-11-08,2,0
2020-11-15,2,0
2020-11-22,4,0
2020-11-29,4,0
2020-12-06,4,0
2020-12-13,0,0
2020-12-20,2,0
2020-12-27,2,0
2021-01-03,2,0
2021-01-10,2,0
2021-01-17,2,0
2021-01-24,2,0
2021-01-31,3,0
2021-02-07,4,0
2021-02-14,4,0
2021-02-21,4,0
2021-02-28,4,0
2021-03-07,7,3
2021-03-14,6,0
2021-03-21,6,0
2021-03-28,5,2
2021-04-04,8,2
2021-04-11,6,2
2021-04-18,9,2
2021-04-25,8,0
2021-05-02,8,2
2021-05-09,9,0
2021-05-16,9,2
2021-05-23,9,0
2021-05-30,9,3
2021-06-06,11,3
2021-06-13,10,2
2021-06-20,8,0
2021-06-27,7,2
2021-07-04,7,0
2021-07-11,6,0
2021-07-18,5,0
2021-07-25,5,2
2021-08-01,5,0
2021-08-08,6,2
2021-08-15,6,0
2021-08-22,6,0
2021-08-29,5,0
2021-09-05,4,0
2021-09-12,4,0
2021-09-19,4,0
2021-09-26,3,0
2021-10-03,5,0
2021-10-10,6,0
2021-10-17,0,0
2021-10-24,2,0
2021-10-31,3,0
2021-11-07,5,0
2021-11-14,3,0
2021-11-21,2,0
2021-11-28,3,0
2021-12-05,3,2
2021-12-12,5,0
2021-12-19,6,0
2021-12-26,5,0
2022-01-02,8,3
2022-01-09,9,2
2022-01-16,11,3
2022-01-23,10,4
2022-01-30,11,3
2022-02-06,14,5
2022-02-13,19,6
2022-02-20,19,5
2022-02-27,26,7
2022-03-06,28,7
2022-03-13,33,9
2022-03-20,43,12
2022-03-27,63,17
2022-04-03,67,22
2022-04-10,74,20
2022-04-17,98,28
2022-04-24,100,27
2022-05-01,88,24
2022-05-08,74,20
2022-05-15,69,19
2022-05-22,48,14
2022-05-29,43,13
2022-06-05,42,12
2022-06-12,34,11
2022-06-19,26,8
2022-06-26,29,10
2022-07-03,21,7
2022-07-10,16,5
2022-07-17,10,3
2022-07-24,7,3
2022-07-31,8,3
2022-08-07,7,2
2022-08-14,5,1
2022-08-21,4,0
2022-08-28,5,0
2022-09-04,4,0
2022-09-11,3,0
2022-09-18,3,0
2022-09-25,4,0
2022-10-02,5,0
2022-10-09,3,0
2022-10-16,4,0
2022-10-23,3,0
