Categoria: Todas as categorias

Semana,dengue: (Rondônia),sintomas dengue: (Rondônia)
2019-10-06,5,0
2019-10-13,0,0
2019-10-20,10,0
2019-10-27,8,0
2019-11-03,11,0
2019-11-10,12,0
2019-11-17,12,0
2019-11-24,13,0
2019-12-01,7,0
2019-12-08,10,0
2019-12-15,18,8
2019-12-22,8,7
2019-12-29,9,0
2020-01-05,16,0
2020-01-12,16,0
2020-01-19,16,6
2020-01-26,15,5
2020-02-02,16,7
2020-02-09,25,0
2020-02-16,22,0
2020-02-23,25,7
2020-03-01,27,9
2020-03-08,33,6
2020-03-15,36,10
2020-03-22,36,10
2020-03-29,23,5
2020-04-05,19,5
2020-04-12,22,6
2020-04-19,19,0
2020-04-26,17,5
2020-05-03,22,7
2020-05-10,18,4
2020-05-17,25,6
2020-05-24,23,7
2020-05-31,18,0
2020-06-07,19,4
2020-06-14,18,6
2020-06-21,13,4
2020-06-28,15,6
2020-07-05,17,0
2020-07-12,14,6
2020-07-19,12,0
2020-07-26,9,0
2020-08-02,11,0
2020-08-09,7,0
2020-08-16,7,0
2020-08-23,7,0
2020-08-30,7,0
2020-09-06,10,0
2020-09-13,7,0
2020-09-20,9,0
2020-09-27,9,0
2020-10-04,7,0
2020-10-11,5,0
2020-10-18,7,0
2020-10-25,9,0
2020-11-01,5,0
2020-11-08,10,0
2020-11-15,9,0
2020-11-22,10,0
2020-11-29,11,0
2020-12-06,10,0
2020-12-13,10,0
2020-12-20,12,0
2020-12-27,11,0
2021-01-03,17,5
2021-01-10,18,5
2021-01-17,15,7
2021-01-24,18,7
2021-01-31,12,5
2021-02-07,19,7
2021-02-14,16,5
2021-02-21,25,6
2021-02-28,21,8
2021-03-07,28,7
2021-03-14,25,7
2021-03-21,24,5
2021-03-28,20,0
2021-04-04,20,5
2021-04-11,15,0
2021-04-18,14,5
2021-04-25,11,0
2021-05-02,15,0
2021-05-09,12,0
2021-05-16,16,0
2021-05-23,16,0
2021-05-30,11,0
2021-06-06,11,0
2021-06-13,11,0
2021-06-20,12,0
2021-06-27,6,0
2021-07-04,0,0
2021-07-11,5,0
2021-07-18,0,0
2021-07-25,0,0
2021-08-01,8,0
2021-08-08,5,0
2021-08-15,0,0
2021-08-22,0,0
2021-08-29,7,0
2021-09-05,7,0
2021-09-12,5,0
2021-09-19,6,0
2021-09-26,6,0
2021-10-03,0,0
2021-10-10,8,0
2021-10-17,9,0
2021-10-24,9,0
2021-10-31,0,0
2021-11-07,8,0
2021-11-14,8,0
2021-11-21,18,0
2021-11-28,8,0
2021-12-05,9,0
2021-12-12,12,0
2021-12-19,12,0
2021-12-26,15,7
2022-01-02,26,9
2022-01-09,27,13
2022-01-16,31,15
2022-01-23,26,9
2022-01-30,30,10
2022-02-06,31,10
2022-02-13,25,9
2022-02-20,29,7
2022-02-27,28,9
2022-03-06,30,6
2022-03-13,31,6
2022-03-20,39,6
2022-03-27,44,9
2022-04-03,34,9
2022-04-10,40,10
2022-04-17,33,8
2022-04-24,40,10
2022-05-01,33,7
2022-05-08,38,12
2022-05-15,36,11
2022-05-22,32,7
2022-05-29,28,6
2022-06-05,27,6
2022-06-12,28,8
2022-06-19,25,7
2022-06-26,26,6
2022-07-03,19,7
2022-07-10,18,7
2022-07-17,15,5
2022-07-24,15,6
2022-07-31,12,4
2022-08-07,14,4
2022-08-14,13,4
2022-08-21,10,0
2022-08-28,12,0
2022-09-04,8,0
2022-09-11,11,4
2022-09-18,8,0
2022-09-25,7,4
2022-10-02,8,0
2022-10-09,8,0
2022-10-16,14,0
2022-10-23,11,0
2022-10-30,17,4
2022-11-06,15,4
2022-11-13,22,5
2022-11-20,24,6
2022-11-27,28,8
2022-12-04,23,7
2022-12-11,38,14
2022-12-18,39,15
2022-12-25,42,11
2023-01-01,45,15
2023-01-08,50,14
2023-01-15,52,15
2023-01-22,42,15
2023-01-29,45,15
2023-02-05,43,11
2023-02-12,58,14
2023-02-19,46,13
2023-02-26,52,16
2023-03-05,53,14
2023-03-12,52,11
2023-03-19,47,12
2023-03-26,44,13
2023-04-02,38,12
2023-04-09,30,10
2023-04-16,33,6
2023-04-23,24,5
2023-04-30,24,5
2023-05-07,20,5
2023-05-14,20,5
2023-05-21,17,4
2023-05-28,17,5
2023-06-04,13,0
2023-06-11,13,0
2023-06-18,11,0
2023-06-25,9,0
2023-07-02,12,0
2023-07-09,6,0
2023-07-16,0,0
2023-07-23,6,0
2023-07-30,0,0
2023-08-06,7,0
2023-08-13,6,0
2023-08-20,8,0
2023-08-27,9,0
2023-09-03,6,0
2023-09-10,9,0
2023-09-17,8,0
2023-09-24,8,0
2023-10-01,6,0
2023-10-08,8,0
2023-10-15,10,0
2023-10-22,12,0
2023-10-29,6,0
2023-11-05,9,0
2023-11-12,8,0
2023-11-19,9,0
2023-11-26,10,0
2023-12-03,10,0
2023-12-10,12,0
2023-12-17,17,0
2023-12-24,18,6
2023-12-31,20,7
2024-01-07,24,6
2024-01-14,26,8
2024-01-21,30,10
2024-01-28,46,12
2024-02-04,70,17
2024-02-11,95,19
2024-02-18,96,19
2024-02-25,100,23
2024-03-03,82,15
2024-03-10,87,19
2024-03-17,72,11
2024-03-24,50,9
2024-03-31,55,11
2024-04-07,48,13
2024-04-14,43,9
2024-04-21,43,8
2024-04-28,36,7
2024-05-05,27,0
2024-05-12,19,0
2024-05-19,15,6
2024-05-26,17,0
