Categoria: Todas as categorias

Semana,dengue: (Pará),sintomas dengue: (Pará)
2023-06-11,15,4
2023-06-18,9,2
2023-06-25,11,3
2023-07-02,10,2
2023-07-09,9,2
2023-07-16,6,0
2023-07-23,6,1
2023-07-30,7,2
2023-08-06,6,0
2023-08-13,6,0
2023-08-20,6,0
2023-08-27,8,2
2023-09-03,9,2
2023-09-10,10,2
2023-09-17,8,1
2023-09-24,6,0
2023-10-01,7,0
2023-10-08,6,0
2023-10-15,9,2
2023-10-22,7,1
2023-10-29,8,2
2023-11-05,6,0
2023-11-12,8,2
2023-11-19,7,0
2023-11-26,7,1
2023-12-03,6,1
2023-12-10,7,3
2023-12-17,8,2
2023-12-24,7,2
2023-12-31,12,4
2024-01-07,15,4
2024-01-14,18,5
2024-01-21,22,8
2024-01-28,31,9
2024-02-04,55,15
2024-02-11,75,19
2024-02-18,100,25
2024-02-25,98,26
2024-03-03,100,23
2024-03-10,91,21
2024-03-17,96,24
2024-03-24,73,22
2024-03-31,69,18
2024-04-07,70,19
2024-04-14,63,15
2024-04-21,57,13
2024-04-28,46,11
2024-05-05,35,8
2024-05-12,37,7
2024-05-19,36,7
2024-05-26,26,7
2024-06-02,27,6
2024-06-09,25,6
2024-06-16,24,4
2024-06-23,21,4
2024-06-30,19,4
2024-07-07,18,6
2024-07-14,15,2
2024-07-21,13,2
2024-07-28,12,3
2024-08-04,10,2
2024-08-11,12,3
2024-08-18,13,3
2024-08-25,11,3
2024-09-01,12,3
2024-09-08,12,0
2024-09-15,10,0
2024-09-22,10,2
2024-09-29,7,0
2024-10-06,8,1
2024-10-13,10,0
2024-10-20,11,0
2024-10-27,9,2
2024-11-03,10,0
2024-11-10,12,0
2024-11-17,10,2
2024-11-24,13,3
2024-12-01,12,2
2024-12-08,12,2
2024-12-15,15,2
2024-12-22,15,3
2024-12-29,16,2
2025-01-05,21,4
2025-01-12,27,5
