Categoria: Todas as categorias

Semana,dengue: (Amazonas),sintomas dengue: (Amazonas)
2020-01-12,11,0
2020-01-19,7,0
2020-01-26,15,0
2020-02-02,12,0
2020-02-09,15,6
2020-02-16,15,0
2020-02-23,15,0
2020-03-01,17,0
2020-03-08,21,4
2020-03-15,29,7
2020-03-22,24,6
2020-03-29,22,6
2020-04-05,28,12
2020-04-12,28,11
2020-04-19,25,10
2020-04-26,18,8
2020-05-03,11,5
2020-05-10,12,3
2020-05-17,8,0
2020-05-24,14,3
2020-05-31,13,0
2020-06-07,11,4
2020-06-14,12,0
2020-06-21,9,0
2020-06-28,8,4
2020-07-05,10,4
2020-07-12,10,0
2020-07-19,10,0
2020-07-26,9,0
2020-08-02,11,0
2020-08-09,6,0
2020-08-16,6,0
2020-08-23,7,0
2020-08-30,7,0
2020-09-06,7,0
2020-09-13,7,0
2020-09-20,8,0
2020-09-27,6,0
2020-10-04,8,0
2020-10-11,7,0
2020-10-18,11,0
2020-10-25,9,0
2020-11-01,6,0
2020-11-08,9,0
2020-11-15,10,4
2020-11-22,11,3
2020-11-29,12,0
2020-12-06,12,0
2020-12-13,13,4
2020-12-20,13,6
2020-12-27,18,8
2021-01-03,24,10
2021-01-10,19,7
2021-01-17,21,10
2021-01-24,20,6
2021-01-31,18,4
2021-02-07,18,4
2021-02-14,21,6
2021-02-21,24,7
2021-02-28,26,9
2021-03-07,17,6
2021-03-14,19,5
2021-03-21,25,7
2021-03-28,22,5
2021-04-04,20,6
2021-04-11,19,3
2021-04-18,24,6
2021-04-25,22,5
2021-05-02,21,5
2021-05-09,20,5
2021-05-16,21,6
2021-05-23,18,5
2021-05-30,14,3
2021-06-06,14,4
2021-06-13,16,4
2021-06-20,13,5
2021-06-27,12,0
2021-07-04,11,3
2021-07-11,13,0
2021-07-18,10,4
2021-07-25,10,0
2021-08-01,12,0
2021-08-08,11,3
2021-08-15,12,0
2021-08-22,10,0
2021-08-29,8,0
2021-09-05,7,0
2021-09-12,10,4
2021-09-19,6,0
2021-09-26,11,0
2021-10-03,5,0
2021-10-10,5,0
2021-10-17,11,0
2021-10-24,6,0
2021-10-31,6,0
2021-11-07,6,0
2021-11-14,9,0
2021-11-21,8,0
2021-11-28,6,0
2021-12-05,6,0
2021-12-12,8,0
2021-12-19,7,0
2021-12-26,5,0
2022-01-02,8,0
2022-01-09,9,0
2022-01-16,11,3
2022-01-23,10,4
2022-01-30,8,0
2022-02-06,7,0
2022-02-13,11,3
2022-02-20,13,3
2022-02-27,11,0
2022-03-06,11,2
2022-03-13,15,3
2022-03-20,18,4
2022-03-27,17,4
2022-04-03,16,0
2022-04-10,16,4
2022-04-17,15,4
2022-04-24,16,2
2022-05-01,17,3
2022-05-08,16,4
2022-05-15,18,5
2022-05-22,16,4
2022-05-29,18,6
2022-06-05,17,5
2022-06-12,18,0
2022-06-19,14,0
2022-06-26,9,0
2022-07-03,11,0
2022-07-10,7,3
2022-07-17,12,3
2022-07-24,12,0
2022-07-31,10,0
2022-08-07,7,3
2022-08-14,8,0
2022-08-21,9,0
2022-08-28,9,0
2022-09-04,7,0
2022-09-11,9,0
2022-09-18,9,2
2022-09-25,9,3
2022-10-02,6,0
2022-10-09,8,0
2022-10-16,12,0
2022-10-23,8,0
2022-10-30,7,0
2022-11-06,15,3
2022-11-13,11,0
2022-11-20,11,3
2022-11-27,13,0
2022-12-04,10,0
2022-12-11,11,0
2022-12-18,9,4
2022-12-25,12,5
2023-01-01,9,3
2023-01-08,10,3
2023-01-15,9,3
2023-01-22,11,0
2023-01-29,14,5
2023-02-05,14,3
2023-02-12,15,5
2023-02-19,17,3
2023-02-26,19,3
2023-03-05,16,6
2023-03-12,17,5
2023-03-19,19,6
2023-03-26,19,4
2023-04-02,13,3
2023-04-09,17,4
2023-04-16,15,4
2023-04-23,16,5
2023-04-30,12,3
2023-05-07,16,5
2023-05-14,17,4
2023-05-21,14,0
2023-05-28,12,3
2023-06-04,9,0
2023-06-11,11,2
2023-06-18,10,0
2023-06-25,10,0
2023-07-02,13,0
2023-07-09,12,0
2023-07-16,9,3
2023-07-23,8,3
2023-07-30,7,0
2023-08-06,10,0
2023-08-13,10,0
2023-08-20,7,0
2023-08-27,9,0
2023-09-03,5,0
2023-09-10,8,0
2023-09-17,10,3
2023-09-24,8,0
2023-10-01,6,0
2023-10-08,5,0
2023-10-15,7,0
2023-10-22,5,0
2023-10-29,8,0
2023-11-05,12,0
2023-11-12,11,0
2023-11-19,10,0
2023-11-26,11,0
2023-12-03,14,2
2023-12-10,21,5
2023-12-17,27,9
2023-12-24,54,16
2023-12-31,92,31
2024-01-07,85,24
2024-01-14,87,27
2024-01-21,91,24
2024-01-28,70,18
2024-02-04,79,22
2024-02-11,81,22
2024-02-18,100,24
2024-02-25,96,20
2024-03-03,82,17
2024-03-10,71,13
