Categoria: Todas as categorias

Semana,dengue: (Tocantins),sintomas dengue: (Tocantins)
2020-05-10,7,0
2020-05-17,6,0
2020-05-24,6,0
2020-05-31,7,0
2020-06-07,0,0
2020-06-14,8,0
2020-06-21,7,0
2020-06-28,0,0
2020-07-05,7,0
2020-07-12,6,0
2020-07-19,8,0
2020-07-26,7,0
2020-08-02,5,0
2020-08-09,4,0
2020-08-16,0,0
2020-08-23,6,0
2020-08-30,0,0
2020-09-06,0,0
2020-09-13,0,0
2020-09-20,8,0
2020-09-27,0,0
2020-10-04,0,0
2020-10-11,0,0
2020-10-18,5,0
2020-10-25,0,0
2020-11-01,0,0
2020-11-08,0,0
2020-11-15,0,0
2020-11-22,0,0
2020-11-29,6,0
2020-12-06,0,0
2020-12-13,5,0
2020-12-20,5,0
2020-12-27,5,0
2021-01-03,7,0
2021-01-10,6,0
2021-01-17,8,0
2021-01-24,4,0
2021-01-31,0,0
2021-02-07,8,0
2021-02-14,7,0
2021-02-21,9,0
2021-02-28,9,0
2021-03-07,14,0
2021-03-14,10,0
2021-03-21,11,0
2021-03-28,10,0
2021-04-04,5,0
2021-04-11,7,0
2021-04-18,9,0
2021-04-25,11,0
2021-05-02,8,0
2021-05-09,21,4
2021-05-16,25,7
2021-05-23,31,6
2021-05-30,26,5
2021-06-06,24,4
2021-06-13,18,0
2021-06-20,11,0
2021-06-27,10,0
2021-07-04,10,0
2021-07-11,7,0
2021-07-18,5,0
2021-07-25,4,0
2021-08-01,10,0
2021-08-08,9,0
2021-08-15,12,0
2021-08-22,14,0
2021-08-29,11,0
2021-09-05,11,0
2021-09-12,7,0
2021-09-19,6,0
2021-09-26,10,0
2021-10-03,6,0
2021-10-10,7,0
2021-10-17,11,0
2021-10-24,8,0
2021-10-31,8,0
2021-11-07,11,0
2021-11-14,17,0
2021-11-21,27,5
2021-11-28,30,13
2021-12-05,39,10
2021-12-12,45,12
2021-12-19,58,15
2021-12-26,70,22
2022-01-02,100,29
2022-01-09,79,24
2022-01-16,77,23
2022-01-23,65,20
2022-01-30,51,15
2022-02-06,51,16
2022-02-13,39,10
2022-02-20,32,5
2022-02-27,29,7
2022-03-06,32,8
2022-03-13,49,10
2022-03-20,51,9
2022-03-27,43,7
2022-04-03,42,9
2022-04-10,33,7
2022-04-17,35,9
2022-04-24,36,8
2022-05-01,44,9
2022-05-08,43,8
2022-05-15,41,8
2022-05-22,31,4
2022-05-29,28,9
2022-06-05,25,9
2022-06-12,25,7
2022-06-19,21,4
2022-06-26,13,3
2022-07-03,12,4
2022-07-10,13,4
2022-07-17,9,4
2022-07-24,8,0
2022-07-31,7,0
2022-08-07,8,0
2022-08-14,8,0
2022-08-21,8,0
2022-08-28,7,0
2022-09-04,7,0
2022-09-11,7,0
2022-09-18,9,0
2022-09-25,7,0
2022-10-02,3,0
2022-10-09,5,0
2022-10-16,8,0
2022-10-23,8,0
2022-10-30,7,0
2022-11-06,12,0
2022-11-13,8,0
2022-11-20,12,0
2022-11-27,12,4
2022-12-04,12,5
2022-12-11,10,0
2022-12-18,10,0
2022-12-25,9,4
2023-01-01,16,5
2023-01-08,10,4
2023-01-15,13,5
2023-01-22,17,6
2023-01-29,14,4
2023-02-05,11,3
2023-02-12,15,4
2023-02-19,18,0
2023-02-26,16,0
2023-03-05,19,4
2023-03-12,20,0
2023-03-19,28,7
2023-03-26,26,5
2023-04-02,23,6
2023-04-09,28,6
2023-04-16,22,7
2023-04-23,26,8
2023-04-30,27,6
2023-05-07,24,4
