Categoria: Todas as categorias

Semana,dengue: (Mato Grosso),sintomas dengue: (Mato Grosso)
2019-06-16,18,5
2019-06-23,18,5
2019-06-30,12,0
2019-07-07,10,0
2019-07-14,8,0
2019-07-21,0,0
2019-07-28,8,0
2019-08-04,0,0
2019-08-11,9,0
2019-08-18,9,0
2019-08-25,9,0
2019-09-01,7,0
2019-09-08,7,0
2019-09-15,10,0
2019-09-22,5,0
2019-09-29,8,0
2019-10-06,8,0
2019-10-13,10,0
2019-10-20,10,0
2019-10-27,11,0
2019-11-03,13,0
2019-11-10,11,0
2019-11-17,8,5
2019-11-24,12,0
2019-12-01,10,0
2019-12-08,14,7
2019-12-15,15,0
2019-12-22,16,7
2019-12-29,20,0
2020-01-05,27,8
2020-01-12,40,10
2020-01-19,36,10
2020-01-26,33,9
2020-02-02,41,10
2020-02-09,39,11
2020-02-16,42,10
2020-02-23,37,10
2020-03-01,42,12
2020-03-08,63,15
2020-03-15,75,19
2020-03-22,57,16
2020-03-29,42,12
2020-04-05,38,10
2020-04-12,35,8
2020-04-19,34,5
2020-04-26,33,7
2020-05-03,29,7
2020-05-10,26,7
2020-05-17,25,4
2020-05-24,28,7
2020-05-31,28,8
2020-06-07,28,10
2020-06-14,31,11
2020-06-21,28,10
2020-06-28,24,7
2020-07-05,20,8
2020-07-12,17,6
2020-07-19,19,7
2020-07-26,16,5
2020-08-02,12,6
2020-08-09,13,0
2020-08-16,12,3
2020-08-23,10,0
2020-08-30,7,0
2020-09-06,8,0
2020-09-13,6,0
2020-09-20,12,0
2020-09-27,9,0
2020-10-04,5,0
2020-10-11,6,0
2020-10-18,8,0
2020-10-25,4,0
2020-11-01,9,0
2020-11-08,9,0
2020-11-15,5,0
2020-11-22,12,0
2020-11-29,12,0
2020-12-06,12,0
2020-12-13,13,5
2020-12-20,9,0
2020-12-27,16,9
2021-01-03,15,9
2021-01-10,18,6
2021-01-17,20,6
2021-01-24,13,6
2021-01-31,18,5
2021-02-07,19,6
2021-02-14,18,7
2021-02-21,22,7
2021-02-28,23,8
2021-03-07,26,9
2021-03-14,26,8
2021-03-21,27,9
2021-03-28,25,7
2021-04-04,26,8
2021-04-11,24,7
2021-04-18,21,9
2021-04-25,19,4
2021-05-02,20,5
2021-05-09,23,5
2021-05-16,22,0
2021-05-23,20,6
2021-05-30,19,0
2021-06-06,17,4
2021-06-13,15,6
2021-06-20,14,4
2021-06-27,7,0
2021-07-04,11,0
2021-07-11,9,0
2021-07-18,6,0
2021-07-25,8,0
2021-08-01,7,0
2021-08-08,9,0
2021-08-15,7,0
2021-08-22,8,0
2021-08-29,9,0
2021-09-05,7,0
2021-09-12,7,0
2021-09-19,7,0
2021-09-26,6,0
2021-10-03,6,0
2021-10-10,6,0
2021-10-17,8,0
2021-10-24,9,0
2021-10-31,7,0
2021-11-07,10,0
2021-11-14,10,0
2021-11-21,18,0
2021-11-28,16,0
2021-12-05,19,5
2021-12-12,32,9
2021-12-19,36,9
2021-12-26,37,14
2022-01-02,42,14
2022-01-09,35,9
2022-01-16,47,17
