Categoria: Todas as categorias

Semana,dengue: (Piauí),sintomas dengue: (Piauí)
2019-06-16,12,0
2019-06-23,10,0
2019-06-30,12,0
2019-07-07,4,0
2019-07-14,6,0
2019-07-21,7,0
2019-07-28,5,0
2019-08-04,0,0
2019-08-11,5,0
2019-08-18,0,0
2019-08-25,7,0
2019-09-01,4,0
2019-09-08,0,0
2019-09-15,5,0
2019-09-22,4,0
2019-09-29,0,0
2019-10-06,0,0
2019-10-13,0,0
2019-10-20,4,0
2019-10-27,4,0
2019-11-03,0,0
2019-11-10,5,0
2019-11-17,4,0
2019-11-24,4,0
2019-12-01,0,0
2019-12-08,3,0
2019-12-15,0,0
2019-12-22,0,0
2019-12-29,0,0
2020-01-05,3,0
2020-01-12,0,0
2020-01-19,6,0
2020-01-26,4,0
2020-02-02,4,0
2020-02-09,6,0
2020-02-16,10,0
2020-02-23,6,5
2020-03-01,8,0
2020-03-08,12,0
2020-03-15,13,3
2020-03-22,13,3
2020-03-29,9,0
2020-04-05,9,0
2020-04-12,7,0
2020-04-19,9,3
2020-04-26,9,3
2020-05-03,10,3
2020-05-10,7,3
2020-05-17,8,0
2020-05-24,11,0
2020-05-31,10,3
2020-06-07,9,0
2020-06-14,8,4
2020-06-21,8,3
2020-06-28,7,0
2020-07-05,5,0
2020-07-12,5,0
2020-07-19,3,0
2020-07-26,3,0
2020-08-02,3,0
2020-08-09,3,0
2020-08-16,3,0
2020-08-23,3,0
2020-08-30,3,0
2020-09-06,0,0
2020-09-13,4,0
2020-09-20,0,0
2020-09-27,0,0
2020-10-04,0,0
2020-10-11,3,0
2020-10-18,0,0
2020-10-25,0,0
2020-11-01,0,0
2020-11-08,5,0
2020-11-15,0,0
2020-11-22,3,0
2020-11-29,4,0
2020-12-06,5,0
2020-12-13,0,0
2020-12-20,0,0
2020-12-27,0,0
2021-01-03,0,0
2021-01-10,0,5
2021-01-17,0,0
2021-01-24,4,0
2021-01-31,3,0
2021-02-07,4,3
2021-02-14,4,0
2021-02-21,4,0
2021-02-28,5,0
2021-03-07,7,0
2021-03-14,5,0
2021-03-21,6,3
2021-03-28,7,4
2021-04-04,8,3
2021-04-11,7,3
2021-04-18,8,0
2021-04-25,7,0
2021-05-02,8,3
2021-05-09,9,0
2021-05-16,10,0
2021-05-23,8,0
2021-05-30,8,0
2021-06-06,11,4
2021-06-13,10,4
2021-06-20,8,0
2021-06-27,5,0
2021-07-04,8,4
2021-07-11,5,0
2021-07-18,4,0
2021-07-25,5,0
2021-08-01,3,0
2021-08-08,5,0
2021-08-15,6,3
2021-08-22,5,0
2021-08-29,4,0
2021-09-05,4,0
2021-09-12,5,0
2021-09-19,4,0
2021-09-26,4,0
2021-10-03,3,0
2021-10-10,5,0
2021-10-17,3,0
2021-10-24,0,0
2021-10-31,0,0
2021-11-07,3,4
2021-11-14,3,0
2021-11-21,3,0
2021-11-28,3,0
2021-12-05,4,0
2021-12-12,5,0
2021-12-19,0,0
2021-12-26,5,0
2022-01-02,6,0
2022-01-09,8,0
2022-01-16,9,0
2022-01-23,9,3
2022-01-30,10,4
2022-02-06,13,6
2022-02-13,18,7
2022-02-20,19,5
2022-02-27,27,7
2022-03-06,28,6
2022-03-13,33,9
2022-03-20,45,13
2022-03-27,63,17
2022-04-03,68,21
2022-04-10,78,20
2022-04-17,99,28
2022-04-24,100,26
2022-05-01,91,24
2022-05-08,72,19
2022-05-15,69,20
2022-05-22,50,14
2022-05-29,45,13
2022-06-05,43,13
2022-06-12,35,11
2022-06-19,26,8
2022-06-26,29,10
2022-07-03,23,9
2022-07-10,15,6
2022-07-17,10,3
2022-07-24,7,3
2022-07-31,7,3
2022-08-07,7,0
2022-08-14,6,3
