Categoria: Todas as categorias

Semana,dengue: (Rio Grande do Norte),sintomas dengue: (Rio Grande do Norte)
2019-06-16,32,9
2019-06-23,32,7
2019-06-30,30,0
2019-07-07,29,7
2019-07-14,30,6
2019-07-21,28,6
2019-07-28,19,0
2019-08-04,21,0
2019-08-11,16,8
2019-08-18,20,0
2019-08-25,13,0
2019-09-01,9,0
2019-09-08,10,0
2019-09-15,14,0
2019-09-22,11,0
2019-09-29,8,0
2019-10-06,6,0
2019-10-13,8,0
2019-10-20,6,0
2019-10-27,8,0
2019-11-03,8,0
2019-11-10,8,0
2019-11-17,5,0
2019-11-24,8,0
2019-12-01,0,0
2019-12-08,9,0
2019-12-15,0,0
2019-12-22,0,0
2019-12-29,9,0
2020-01-05,6,0
2020-01-12,5,0
2020-01-19,8,0
2020-01-26,9,0
2020-02-02,9,0
2020-02-09,9,0
2020-02-16,12,0
2020-02-23,15,5
2020-03-01,15,0
2020-03-08,23,0
2020-03-15,24,0
2020-03-22,25,5
2020-03-29,15,0
2020-04-05,18,0
2020-04-12,16,4
2020-04-19,14,0
2020-04-26,17,5
2020-05-03,13,3
2020-05-10,22,8
2020-05-17,21,8
2020-05-24,20,6
2020-05-31,17,6
2020-06-07,21,8
2020-06-14,16,8
2020-06-21,18,5
2020-06-28,16,4
2020-07-05,14,7
2020-07-12,15,0
2020-07-19,12,0
2020-07-26,11,0
2020-08-02,11,0
2020-08-09,9,4
2020-08-16,6,0
2020-08-23,5,0
2020-08-30,6,0
2020-09-06,7,0
2020-09-13,5,0
2020-09-20,4,0
2020-09-27,0,0
2020-10-04,4,0
2020-10-11,5,0
2020-10-18,0,0
2020-10-25,4,0
2020-11-01,0,0
2020-11-08,4,0
2020-11-15,3,4
2020-11-22,5,0
2020-11-29,7,0
2020-12-06,6,0
2020-12-13,6,0
2020-12-20,0,0
2020-12-27,6,0
2021-01-03,6,0
2021-01-10,5,0
2021-01-17,5,0
2021-01-24,0,0
2021-01-31,5,0
2021-02-07,5,0
2021-02-14,6,0
2021-02-21,6,0
2021-02-28,6,0
2021-03-07,10,0
2021-03-14,8,0
2021-03-21,7,0
2021-03-28,8,0
2021-04-04,8,0
2021-04-11,9,0
2021-04-18,10,4
2021-04-25,10,0
2021-05-02,9,0
2021-05-09,10,0
2021-05-16,8,0
2021-05-23,13,5
2021-05-30,9,0
2021-06-06,10,0
2021-06-13,11,4
2021-06-20,9,0
2021-06-27,8,0
2021-07-04,6,0
2021-07-11,10,0
2021-07-18,8,0
2021-07-25,7,0
2021-08-01,5,0
2021-08-08,7,0
2021-08-15,6,0
2021-08-22,5,0
2021-08-29,0,0
2021-09-05,0,0
2021-09-12,5,0
2021-09-19,5,0
2021-09-26,0,0
2021-10-03,6,0
2021-10-10,0,0
2021-10-17,8,0
2021-10-24,4,0
2021-10-31,0,0
2021-11-07,5,0
2021-11-14,4,0
2021-11-21,0,0
2021-11-28,5,0
2021-12-05,6,0
2021-12-12,0,0
2021-12-19,0,0
2021-12-26,0,0
2022-01-02,10,0
2022-01-09,6,0
2022-01-16,8,0
2022-01-23,7,0
2022-01-30,6,0
2022-02-06,8,0
2022-02-13,5,0
2022-02-20,11,0
2022-02-27,8,0
2022-03-06,13,0
2022-03-13,14,0
2022-03-20,22,6
2022-03-27,28,8
2022-04-03,33,9
2022-04-10,41,14
2022-04-17,64,22
2022-04-24,82,24
2022-05-01,77,21
2022-05-08,82,28
2022-05-15,98,32
2022-05-22,95,27
2022-05-29,95,30
2022-06-05,88,26
2022-06-12,83,28
2022-06-19,75,23
2022-06-26,65,21
2022-07-03,54,18
2022-07-10,50,15
2022-07-17,41,11
2022-07-24,38,11
2022-07-31,35,9
2022-08-07,25,10
2022-08-14,29,8
2022-08-21,20,6
2022-08-28,18,3
2022-09-04,15,3
2022-09-11,10,4
2022-09-18,12,0
2022-09-25,8,4
2022-10-02,8,0
2022-10-09,10,0
2022-10-16,10,0
2022-10-23,5,0
2022-10-30,6,0
2022-11-06,7,0
2022-11-13,8,0
2022-11-20,8,0
2022-11-27,7,0
2022-12-04,7,0
2022-12-11,4,0
2022-12-18,5,0
2022-12-25,7,0
2023-01-01,5,0
2023-01-08,6,0
2023-01-15,7,0
2023-01-22,5,0
2023-01-29,6,0
2023-02-05,5,0
2023-02-12,5,0
2023-02-19,7,0
2023-02-26,12,0
2023-03-05,11,0
2023-03-12,9,0
2023-03-19,14,3
2023-03-26,22,4
2023-04-02,17,6
2023-04-09,18,5
2023-04-16,22,9
2023-04-23,20,6
2023-04-30,16,6
2023-05-07,13,5
2023-05-14,13,4
2023-05-21,11,0
2023-05-28,9,0
2023-06-04,9,0
2023-06-11,8,0
2023-06-18,8,0
2023-06-25,11,0
2023-07-02,11,0
2023-07-09,9,0
2023-07-16,9,0
2023-07-23,7,0
2023-07-30,6,0
2023-08-06,4,0
2023-08-13,8,0
2023-08-20,5,0
2023-08-27,6,0
2023-09-03,9,0
2023-09-10,0,0
2023-09-17,5,0
2023-09-24,8,0
2023-10-01,5,0
2023-10-08,5,0
2023-10-15,6,0
2023-10-22,8,0
2023-10-29,0,0
2023-11-05,7,0
2023-11-12,6,0
2023-11-19,5,0
2023-11-26,6,0
2023-12-03,5,0
2023-12-10,7,0
2023-12-17,8,0
2023-12-24,7,0
2023-12-31,5,0
2024-01-07,8,0
2024-01-14,12,4
2024-01-21,15,0
2024-01-28,17,5
2024-02-04,32,9
2024-02-11,48,12
2024-02-18,83,19
2024-02-25,90,22
2024-03-03,100,21
2024-03-10,85,19
2024-03-17,90,18
2024-03-24,60,14
2024-03-31,73,14
2024-04-07,71,13
2024-04-14,62,13
2024-04-21,58,13
2024-04-28,41,10
2024-05-05,30,9
2024-05-12,24,4
2024-05-19,25,0
2024-05-26,21,5
2024-06-02,20,3
2024-06-09,16,3
2024-06-16,11,2
