Categoria: Todas as categorias

Semana,dengue: (Tocantins),sintomas dengue: (Tocantins)
2019-06-16,0,0
2019-06-23,8,0
2019-06-30,0,0
2019-07-07,0,0
2019-07-14,0,0
2019-07-21,0,0
2019-07-28,0,0
2019-08-04,0,0
2019-08-11,0,0
2019-08-18,0,0
2019-08-25,0,0
2019-09-01,0,0
2019-09-08,0,0
2019-09-15,0,0
2019-09-22,0,0
2019-09-29,0,0
2019-10-06,0,0
2019-10-13,0,0
2019-10-20,0,0
2019-10-27,7,0
2019-11-03,10,0
2019-11-10,7,8
2019-11-17,0,0
2019-11-24,0,0
2019-12-01,7,0
2019-12-08,10,0
2019-12-15,0,0
2019-12-22,0,0
2019-12-29,0,0
2020-01-05,8,0
2020-01-12,0,0
2020-01-19,8,0
2020-01-26,11,0
2020-02-02,0,0
2020-02-09,0,0
2020-02-16,12,0
2020-02-23,12,0
2020-03-01,0,0
2020-03-08,15,0
2020-03-15,20,0
2020-03-22,16,0
2020-03-29,6,0
2020-04-05,0,0
2020-04-12,8,0
2020-04-19,9,0
2020-04-26,12,0
2020-05-03,0,0
2020-05-10,10,0
2020-05-17,0,0
2020-05-24,0,0
2020-05-31,8,0
2020-06-07,0,0
2020-06-14,8,0
2020-06-21,6,0
2020-06-28,0,0
2020-07-05,0,0
2020-07-12,0,0
2020-07-19,0,0
2020-07-26,0,0
2020-08-02,7,0
2020-08-09,8,0
2020-08-16,7,0
2020-08-23,6,0
2020-08-30,0,0
2020-09-06,0,0
2020-09-13,0,0
2020-09-20,0,0
2020-09-27,0,0
2020-10-04,0,0
2020-10-11,0,0
2020-10-18,0,0
2020-10-25,0,0
2020-11-01,0,0
2020-11-08,6,0
2020-11-15,0,0
2020-11-22,0,0
2020-11-29,9,6
2020-12-06,0,0
2020-12-13,0,0
2020-12-20,8,0
2020-12-27,0,0
2021-01-03,0,0
2021-01-10,7,0
2021-01-17,0,0
2021-01-24,0,0
2021-01-31,0,9
2021-02-07,0,0
2021-02-14,0,0
2021-02-21,7,0
2021-02-28,7,0
2021-03-07,11,0
2021-03-14,6,0
2021-03-21,9,0
2021-03-28,10,0
2021-04-04,0,0
2021-04-11,0,0
2021-04-18,10,9
2021-04-25,8,0
2021-05-02,11,0
2021-05-09,17,0
2021-05-16,16,0
2021-05-23,28,6
2021-05-30,22,0
2021-06-06,26,0
2021-06-13,15,0
2021-06-20,6,0
2021-06-27,8,0
2021-07-04,0,0
2021-07-11,0,0
2021-07-18,0,0
2021-07-25,0,0
2021-08-01,8,0
2021-08-08,10,0
2021-08-15,7,0
2021-08-22,14,0
2021-08-29,8,0
2021-09-05,8,0
2021-09-12,6,0
2021-09-19,0,0
2021-09-26,8,0
2021-10-03,9,0
2021-10-10,10,0
2021-10-17,11,0
2021-10-24,8,0
2021-10-31,7,0
2021-11-07,6,0
2021-11-14,14,0
2021-11-21,22,0
2021-11-28,30,11
2021-12-05,32,8
2021-12-12,40,12
2021-12-19,45,16
2021-12-26,59,23
2022-01-02,100,26
2022-01-09,73,20
2022-01-16,70,24
2022-01-23,58,19
2022-01-30,49,13
2022-02-06,46,15
2022-02-13,37,8
2022-02-20,28,5
2022-02-27,28,0
2022-03-06,28,6
2022-03-13,40,8
2022-03-20,49,9
2022-03-27,42,7
2022-04-03,41,9
2022-04-10,30,8
2022-04-17,34,9
2022-04-24,32,7
2022-05-01,37,8
2022-05-08,38,6
2022-05-15,37,7
2022-05-22,31,8
2022-05-29,25,9
2022-06-05,29,7
2022-06-12,19,7
2022-06-19,16,0
2022-06-26,11,0
2022-07-03,8,0
2022-07-10,14,0
2022-07-17,8,0
2022-07-24,8,0
2022-07-31,6,0
2022-08-07,7,0
2022-08-14,5,0
2022-08-21,6,0
2022-08-28,4,0
2022-09-04,0,0
2022-09-11,5,0
2022-09-18,7,0
2022-09-25,5,0
2022-10-02,0,0
2022-10-09,5,0
2022-10-16,6,0
2022-10-23,7,0
2022-10-30,8,0
2022-11-06,8,0
2022-11-13,8,0
2022-11-20,11,0
2022-11-27,9,0
2022-12-04,10,5
2022-12-11,8,0
2022-12-18,9,0
2022-12-25,8,0
2023-01-01,14,0
2023-01-08,9,0
2023-01-15,13,0
2023-01-22,16,6
2023-01-29,9,6
2023-02-05,10,0
2023-02-12,13,5
2023-02-19,17,0
2023-02-26,11,0
2023-03-05,16,0
2023-03-12,19,0
2023-03-19,26,5
2023-03-26,24,6
2023-04-02,22,0
2023-04-09,24,6
2023-04-16,21,8
2023-04-23,27,5
2023-04-30,19,0
2023-05-07,21,0
2023-05-14,21,0
2023-05-21,16,6
2023-05-28,12,0
2023-06-04,13,0
2023-06-11,10,0
2023-06-18,12,0
2023-06-25,9,0
2023-07-02,7,0
2023-07-09,0,0
2023-07-16,0,0
2023-07-23,0,0
2023-07-30,0,0
2023-08-06,8,0
2023-08-13,5,0
2023-08-20,5,0
2023-08-27,7,0
2023-09-03,0,0
2023-09-10,7,0
2023-09-17,0,0
2023-09-24,6,0
2023-10-01,0,0
2023-10-08,0,0
2023-10-15,0,0
2023-10-22,0,0
2023-10-29,6,0
2023-11-05,7,0
2023-11-12,6,0
2023-11-19,6,0
2023-11-26,7,0
2023-12-03,8,0
2023-12-10,8,0
2023-12-17,0,0
2023-12-24,0,0
2023-12-31,8,0
2024-01-07,9,0
2024-01-14,11,0
2024-01-21,15,0
2024-01-28,17,0
2024-02-04,29,6
2024-02-11,47,9
2024-02-18,49,9
2024-02-25,52,7
2024-03-03,50,10
2024-03-10,41,8
2024-03-17,41,0
2024-03-24,36,0
2024-03-31,38,9
2024-04-07,40,7
2024-04-14,51,8
2024-04-21,36,0
2024-04-28,29,6
2024-05-05,28,6
2024-05-12,24,0
2024-05-19,20,7
2024-05-26,11,0
2024-06-02,14,2
2024-06-09,12,2
2024-06-16,7,0
