Categoria: Todas as categorias

Semana,dengue: (Paraíba),sintomas dengue: (Paraíba)
2019-06-16,18,0
2019-06-23,16,5
2019-06-30,19,5
2019-07-07,13,0
2019-07-14,18,4
2019-07-21,14,0
2019-07-28,18,0
2019-08-04,14,0
2019-08-11,13,0
2019-08-18,11,0
2019-08-25,12,0
2019-09-01,13,5
2019-09-08,14,0
2019-09-15,10,0
2019-09-22,9,0
2019-09-29,11,0
2019-10-06,6,0
2019-10-13,4,0
2019-10-20,10,0
2019-10-27,7,0
2019-11-03,7,4
2019-11-10,6,0
2019-11-17,8,0
2019-11-24,5,0
2019-12-01,8,0
2019-12-08,5,0
2019-12-15,4,0
2019-12-22,7,0
2019-12-29,0,0
2020-01-05,0,0
2020-01-12,6,4
2020-01-19,6,0
2020-01-26,8,0
2020-02-02,10,0
2020-02-09,11,0
2020-02-16,7,0
2020-02-23,11,0
2020-03-01,14,0
2020-03-08,13,0
2020-03-15,23,3
2020-03-22,17,4
2020-03-29,12,4
2020-04-05,12,3
2020-04-12,13,4
2020-04-19,14,4
2020-04-26,13,4
2020-05-03,15,5
2020-05-10,22,7
2020-05-17,22,6
2020-05-24,24,8
2020-05-31,24,4
2020-06-07,23,6
2020-06-14,19,6
2020-06-21,23,8
2020-06-28,26,10
2020-07-05,23,5
2020-07-12,22,7
2020-07-19,22,7
2020-07-26,15,3
2020-08-02,14,5
2020-08-09,9,0
2020-08-16,14,5
2020-08-23,10,0
2020-08-30,7,0
2020-09-06,8,0
2020-09-13,7,0
2020-09-20,7,0
2020-09-27,11,0
2020-10-04,7,0
2020-10-11,6,0
2020-10-18,8,0
2020-10-25,7,0
2020-11-01,4,0
2020-11-08,6,0
2020-11-15,8,0
2020-11-22,4,0
2020-11-29,11,0
2020-12-06,5,0
2020-12-13,5,3
2020-12-20,6,0
2020-12-27,5,0
2021-01-03,5,0
2021-01-10,4,0
2021-01-17,3,0
2021-01-24,3,0
2021-01-31,4,0
2021-02-07,7,0
2021-02-14,7,0
2021-02-21,5,0
2021-02-28,6,0
2021-03-07,8,3
2021-03-14,8,0
2021-03-21,9,0
2021-03-28,10,3
2021-04-04,8,0
2021-04-11,11,0
2021-04-18,10,4
2021-04-25,12,0
2021-05-02,13,0
2021-05-09,20,7
2021-05-16,23,5
2021-05-23,19,7
2021-05-30,17,6
2021-06-06,18,6
2021-06-13,17,5
2021-06-20,19,0
2021-06-27,18,8
2021-07-04,17,4
2021-07-11,21,0
2021-07-18,21,5
2021-07-25,17,4
2021-08-01,14,3
2021-08-08,15,6
2021-08-15,14,4
2021-08-22,13,4
2021-08-29,12,0
2021-09-05,9,5
2021-09-12,9,0
2021-09-19,11,0
2021-09-26,8,0
2021-10-03,8,0
2021-10-10,10,0
2021-10-17,9,0
2021-10-24,9,0
2021-10-31,5,0
2021-11-07,5,0
2021-11-14,4,0
2021-11-21,8,0
2021-11-28,8,0
2021-12-05,5,0
2021-12-12,9,0
2021-12-19,7,0
2021-12-26,5,0
2022-01-02,6,0
2022-01-09,8,0
2022-01-16,9,0
2022-01-23,9,0
2022-01-30,11,3
2022-02-06,9,0
2022-02-13,13,4
2022-02-20,11,3
2022-02-27,12,5
2022-03-06,12,4
2022-03-13,19,4
2022-03-20,18,5
2022-03-27,22,5
2022-04-03,33,10
2022-04-10,33,8
2022-04-17,44,12
2022-04-24,53,14
2022-05-01,48,12
2022-05-08,64,16
2022-05-15,79,23
2022-05-22,69,18
2022-05-29,56,15
2022-06-05,69,19
2022-06-12,69,19
2022-06-19,64,21
2022-06-26,53,16
2022-07-03,49,16
2022-07-10,46,14
2022-07-17,40,11
2022-07-24,32,7
2022-07-31,28,7
2022-08-07,23,7
2022-08-14,22,4
2022-08-21,16,4
2022-08-28,15,5
2022-09-04,11,4
2022-09-11,13,0
2022-09-18,9,4
2022-09-25,6,0
2022-10-02,7,0
2022-10-09,7,0
2022-10-16,7,0
2022-10-23,5,0
2022-10-30,5,0
2022-11-06,9,3
2022-11-13,6,0
2022-11-20,6,0
2022-11-27,6,0
2022-12-04,5,0
2022-12-11,3,0
2022-12-18,5,0
2022-12-25,6,0
2023-01-01,5,0
2023-01-08,4,0
2023-01-15,4,0
2023-01-22,5,0
2023-01-29,6,0
2023-02-05,9,0
2023-02-12,8,0
2023-02-19,5,0
2023-02-26,7,0
2023-03-05,10,0
2023-03-12,11,0
2023-03-19,10,3
2023-03-26,16,0
2023-04-02,18,5
2023-04-09,20,4
2023-04-16,15,5
2023-04-23,16,4
2023-04-30,14,4
2023-05-07,16,5
2023-05-14,13,3
2023-05-21,14,0
2023-05-28,8,0
2023-06-04,10,5
2023-06-11,8,0
2023-06-18,10,4
2023-06-25,7,0
2023-07-02,8,0
2023-07-09,9,0
2023-07-16,6,0
2023-07-23,9,3
2023-07-30,5,0
2023-08-06,5,0
2023-08-13,6,0
2023-08-20,6,0
2023-08-27,7,0
2023-09-03,4,0
