Categoria: Todas as categorias

Semana,dengue: (Maranhão),sintomas dengue: (Maranhão)
2019-06-16,12,0
2019-06-23,13,0
2019-06-30,10,5
2019-07-07,8,0
2019-07-14,8,0
2019-07-21,7,0
2019-07-28,0,0
2019-08-04,7,0
2019-08-11,0,0
2019-08-18,4,0
2019-08-25,8,0
2019-09-01,0,0
2019-09-08,6,0
2019-09-15,8,0
2019-09-22,0,0
2019-09-29,7,0
2019-10-06,7,0
2019-10-13,7,0
2019-10-20,8,0
2019-10-27,4,0
2019-11-03,4,0
2019-11-10,4,0
2019-11-17,8,0
2019-11-24,4,0
2019-12-01,7,0
2019-12-08,6,0
2019-12-15,0,0
2019-12-22,5,0
2019-12-29,0,0
2020-01-05,0,0
2020-01-12,9,0
2020-01-19,11,0
2020-01-26,6,0
2020-02-02,8,0
2020-02-09,9,5
2020-02-16,21,5
2020-02-23,14,4
2020-03-01,24,5
2020-03-08,21,7
2020-03-15,25,6
2020-03-22,20,5
2020-03-29,16,4
2020-04-05,15,0
2020-04-12,17,7
2020-04-19,16,6
2020-04-26,20,7
2020-05-03,13,6
2020-05-10,13,5
2020-05-17,4,3
2020-05-24,8,0
2020-05-31,8,0
2020-06-07,6,0
2020-06-14,7,0
2020-06-21,5,0
2020-06-28,5,0
2020-07-05,10,0
2020-07-12,5,0
2020-07-19,5,0
2020-07-26,3,0
2020-08-02,0,0
2020-08-09,6,0
2020-08-16,5,0
2020-08-23,4,0
2020-08-30,5,0
2020-09-06,0,0
2020-09-13,5,0
2020-09-20,7,0
2020-09-27,6,0
2020-10-04,6,0
2020-10-11,6,0
2020-10-18,6,0
2020-10-25,6,0
2020-11-01,3,0
2020-11-08,6,0
2020-11-15,0,0
2020-11-22,4,0
2020-11-29,4,0
2020-12-06,4,0
2020-12-13,3,0
2020-12-20,5,0
2020-12-27,7,0
2021-01-03,8,0
2021-01-10,5,0
2021-01-17,5,0
2021-01-24,5,0
2021-01-31,7,0
2021-02-07,9,0
2021-02-14,5,0
2021-02-21,6,3
2021-02-28,6,0
2021-03-07,9,0
2021-03-14,11,0
2021-03-21,6,0
2021-03-28,5,0
2021-04-04,10,0
2021-04-11,6,0
2021-04-18,7,0
2021-04-25,7,0
2021-05-02,7,0
2021-05-09,7,0
2021-05-16,8,0
2021-05-23,3,0
2021-05-30,5,0
2021-06-06,10,4
2021-06-13,8,0
2021-06-20,7,0
2021-06-27,4,0
2021-07-04,5,0
2021-07-11,4,0
2021-07-18,5,0
2021-07-25,0,0
2021-08-01,4,0
2021-08-08,3,0
2021-08-15,4,0
2021-08-22,7,0
2021-08-29,7,0
2021-09-05,4,0
2021-09-12,5,0
2021-09-19,5,0
2021-09-26,5,0
2021-10-03,0,0
2021-10-10,4,0
2021-10-17,0,0
2021-10-24,0,0
2021-10-31,0,0
2021-11-07,9,0
2021-11-14,7,0
2021-11-21,4,0
2021-11-28,6,0
2021-12-05,6,0
2021-12-12,9,0
2021-12-19,6,0
2021-12-26,6,0
2022-01-02,8,0
2022-01-09,11,4
2022-01-16,15,4
2022-01-23,13,3
2022-01-30,9,0
2022-02-06,10,0
2022-02-13,12,0
2022-02-20,13,3
2022-02-27,15,3
2022-03-06,12,3
2022-03-13,16,3
2022-03-20,15,4
2022-03-27,22,6
2022-04-03,23,5
2022-04-10,20,7
2022-04-17,29,9
2022-04-24,30,7
2022-05-01,29,9
2022-05-08,29,8
2022-05-15,31,8
2022-05-22,27,8
2022-05-29,27,6
2022-06-05,24,6
2022-06-12,20,8
2022-06-19,22,7
2022-06-26,20,6
2022-07-03,20,6
2022-07-10,14,6
2022-07-17,13,3
2022-07-24,9,0
2022-07-31,8,4
2022-08-07,9,3
2022-08-14,6,3
2022-08-21,9,3
2022-08-28,11,3
2022-09-04,7,0
2022-09-11,10,3
2022-09-18,9,0
2022-09-25,8,2
2022-10-02,8,0
2022-10-09,8,0
2022-10-16,9,0
2022-10-23,6,0
2022-10-30,5,0
2022-11-06,7,0
2022-11-13,8,3
2022-11-20,7,0
2022-11-27,7,0
2022-12-04,8,3
2022-12-11,10,0
2022-12-18,7,0
2022-12-25,11,0
2023-01-01,10,4
2023-01-08,7,3
2023-01-15,12,3
2023-01-22,14,5
2023-01-29,14,0
2023-02-05,15,5
2023-02-12,19,5
2023-02-19,20,5
2023-02-26,23,7
2023-03-05,32,10
2023-03-12,29,12
2023-03-19,34,10
2023-03-26,40,11
2023-04-02,27,9
2023-04-09,29,8
2023-04-16,22,8
2023-04-23,23,4
2023-04-30,23,11
2023-05-07,26,6
2023-05-14,20,7
2023-05-21,18,6
2023-05-28,15,3
2023-06-04,13,3
2023-06-11,16,4
2023-06-18,16,4
2023-06-25,15,5
2023-07-02,18,4
2023-07-09,10,0
2023-07-16,7,0
2023-07-23,8,0
2023-07-30,7,0
2023-08-06,8,3
2023-08-13,7,0
2023-08-20,8,0
2023-08-27,7,0
2023-09-03,6,0
2023-09-10,5,0
2023-09-17,6,0
2023-09-24,5,0
2023-10-01,6,0
2023-10-08,4,0
2023-10-15,4,0
2023-10-22,7,0
2023-10-29,6,0
2023-11-05,4,0
2023-11-12,4,0
2023-11-19,6,3
2023-11-26,7,3
2023-12-03,5,0
2023-12-10,6,0
2023-12-17,5,0
2023-12-24,6,0
2023-12-31,4,0
2024-01-07,7,0
2024-01-14,12,3
