Categoria: Todas as categorias

Semana,dengue: (Santa Catarina),sintomas dengue: (Santa Catarina)
2022-02-13,3,1
2022-02-20,5,1
2022-02-27,6,2
2022-03-06,10,3
2022-03-13,15,5
2022-03-20,20,6
2022-03-27,25,8
2022-04-03,30,9
2022-04-10,34,12
2022-04-17,38,14
2022-04-24,43,14
2022-05-01,32,10
2022-05-08,38,13
2022-05-15,31,10
2022-05-22,29,11
2022-05-29,18,7
2022-06-05,15,6
2022-06-12,11,5
2022-06-19,11,4
2022-06-26,9,4
2022-07-03,8,3
2022-07-10,6,3
2022-07-17,5,2
2022-07-24,5,2
2022-07-31,4,1
2022-08-07,3,1
2022-08-14,3,1
2022-08-21,4,1
2022-08-28,2,1
2022-09-04,2,1
2022-09-11,3,1
2022-09-18,2,1
2022-09-25,2,1
2022-10-02,2,1
2022-10-09,2,1
2022-10-16,2,1
2022-10-23,3,1
2022-10-30,3,1
2022-11-06,3,1
2022-11-13,4,1
2022-11-20,3,1
2022-11-27,3,1
2022-12-04,3,1
2022-12-11,3,1
2022-12-18,3,1
2022-12-25,3,2
2023-01-01,3,1
2023-01-08,3,1
2023-01-15,3,1
2023-01-22,3,1
2023-01-29,3,1
2023-02-05,4,1
2023-02-12,4,1
2023-02-19,5,2
2023-02-26,8,3
2023-03-05,13,5
2023-03-12,26,10
2023-03-19,36,13
2023-03-26,52,18
2023-04-02,58,18
2023-04-09,55,18
2023-04-16,54,16
2023-04-23,55,18
2023-04-30,55,17
2023-05-07,50,15
2023-05-14,43,12
2023-05-21,39,11
2023-05-28,26,7
2023-06-04,22,7
2023-06-11,15,4
2023-06-18,13,4
2023-06-25,11,4
2023-07-02,11,3
2023-07-09,7,2
2023-07-16,5,2
2023-07-23,6,2
2023-07-30,5,2
2023-08-06,4,1
2023-08-13,4,1
2023-08-20,4,1
2023-08-27,4,1
2023-09-03,3,1
2023-09-10,4,1
2023-09-17,4,1
2023-09-24,4,2
2023-10-01,3,1
2023-10-08,3,1
2023-10-15,3,1
2023-10-22,4,1
2023-10-29,4,1
2023-11-05,4,2
2023-11-12,4,1
2023-11-19,5,1
2023-11-26,5,2
2023-12-03,5,1
2023-12-10,5,2
2023-12-17,6,2
2023-12-24,6,2
2023-12-31,6,2
2024-01-07,8,3
2024-01-14,9,3
2024-01-21,13,4
2024-01-28,20,5
2024-02-04,35,9
2024-02-11,42,11
2024-02-18,78,20
2024-02-25,94,24
2024-03-03,83,20
2024-03-10,82,20
2024-03-17,91,21
2024-03-24,85,20
2024-03-31,100,21
2024-04-07,100,20
2024-04-14,83,16
2024-04-21,86,18
2024-04-28,67,14
2024-05-05,61,13
2024-05-12,49,10
2024-05-19,39,7
2024-05-26,22,5
2024-06-02,20,4
2024-06-09,18,4
2024-06-16,16,3
2024-06-23,12,2
2024-06-30,9,2
2024-07-07,6,1
2024-07-14,5,1
2024-07-21,5,1
2024-07-28,5,1
2024-08-04,5,1
