Categoria: Todas as categorias

Semana,dengue: (Alagoas),sintomas dengue: (Alagoas)
2019-08-04,26,9
2019-08-11,31,7
2019-08-18,29,7
2019-08-25,31,7
2019-09-01,23,5
2019-09-08,23,8
2019-09-15,19,7
2019-09-22,15,4
2019-09-29,10,5
2019-10-06,10,0
2019-10-13,13,0
2019-10-20,11,0
2019-10-27,9,0
2019-11-03,10,0
2019-11-10,8,0
2019-11-17,7,0
2019-11-24,10,0
2019-12-01,5,0
2019-12-08,5,0
2019-12-15,4,0
2019-12-22,6,0
2019-12-29,6,0
2020-01-05,4,0
2020-01-12,6,0
2020-01-19,4,0
2020-01-26,8,0
2020-02-02,8,0
2020-02-09,8,0
2020-02-16,14,0
2020-02-23,9,0
2020-03-01,8,0
2020-03-08,13,0
2020-03-15,18,0
2020-03-22,15,3
2020-03-29,15,0
2020-04-05,16,3
2020-04-12,16,4
2020-04-19,15,3
2020-04-26,22,7
2020-05-03,25,8
2020-05-10,26,8
2020-05-17,24,8
2020-05-24,28,8
2020-05-31,28,6
2020-06-07,21,6
2020-06-14,15,4
2020-06-21,15,4
2020-06-28,15,3
2020-07-05,16,3
2020-07-12,13,4
2020-07-19,12,0
2020-07-26,11,0
2020-08-02,13,3
2020-08-09,10,0
2020-08-16,11,0
2020-08-23,9,3
2020-08-30,8,0
2020-09-06,6,0
2020-09-13,7,0
2020-09-20,6,0
2020-09-27,5,0
2020-10-04,5,0
2020-10-11,5,0
2020-10-18,5,0
2020-10-25,6,0
2020-11-01,7,0
2020-11-08,6,0
2020-11-15,3,0
2020-11-22,6,0
2020-11-29,4,0
2020-12-06,4,0
2020-12-13,4,0
2020-12-20,4,0
2020-12-27,5,0
2021-01-03,6,0
2021-01-10,4,0
2021-01-17,5,0
2021-01-24,3,0
2021-01-31,0,0
2021-02-07,3,0
2021-02-14,5,0
2021-02-21,3,0
2021-02-28,4,0
2021-03-07,6,0
2021-03-14,7,0
2021-03-21,6,0
2021-03-28,7,0
2021-04-04,8,0
2021-04-11,6,0
2021-04-18,6,0
2021-04-25,9,0
2021-05-02,10,0
2021-05-09,14,4
2021-05-16,15,3
2021-05-23,19,3
2021-05-30,19,4
2021-06-06,16,4
2021-06-13,19,6
2021-06-20,14,3
2021-06-27,13,0
2021-07-04,21,4
2021-07-11,22,5
2021-07-18,22,4
2021-07-25,22,6
2021-08-01,23,6
2021-08-08,20,6
2021-08-15,23,6
2021-08-22,21,5
2021-08-29,23,4
2021-09-05,17,0
2021-09-12,13,0
2021-09-19,15,4
2021-09-26,12,4
2021-10-03,12,3
2021-10-10,8,0
2021-10-17,14,4
2021-10-24,13,5
2021-10-31,12,0
2021-11-07,13,4
2021-11-14,10,0
2021-11-21,11,3
2021-11-28,7,0
2021-12-05,9,0
2021-12-12,7,3
2021-12-19,7,5
2021-12-26,7,0
2022-01-02,12,0
2022-01-09,8,5
2022-01-16,12,4
2022-01-23,6,0
2022-01-30,10,4
2022-02-06,7,0
2022-02-13,8,0
2022-02-20,8,0
2022-02-27,8,0
2022-03-06,8,0
2022-03-13,11,0
2022-03-20,14,3
2022-03-27,18,5
2022-04-03,21,6
2022-04-10,20,6
2022-04-17,28,10
2022-04-24,50,16
2022-05-01,55,16
2022-05-08,82,24
2022-05-15,97,33
2022-05-22,96,28
2022-05-29,98,29
2022-06-05,89,28
2022-06-12,85,31
2022-06-19,99,39
2022-06-26,92,36
2022-07-03,74,28
2022-07-10,67,20
2022-07-17,63,19
2022-07-24,49,15
2022-07-31,34,10
2022-08-07,35,10
2022-08-14,29,11
2022-08-21,21,5
2022-08-28,18,7
2022-09-04,12,4
2022-09-11,16,4
2022-09-18,17,5
2022-09-25,12,0
2022-10-02,9,0
2022-10-09,9,0
2022-10-16,11,3
2022-10-23,10,0
2022-10-30,8,0
2022-11-06,8,0
2022-11-13,9,0
2022-11-20,10,3
2022-11-27,9,0
2022-12-04,6,0
2022-12-11,9,0
2022-12-18,7,0
2022-12-25,7,4
2023-01-01,9,0
2023-01-08,6,0
2023-01-15,10,0
2023-01-22,5,0
2023-01-29,4,0
2023-02-05,7,0
2023-02-12,10,4
2023-02-19,7,0
2023-02-26,11,3
2023-03-05,9,0
2023-03-12,7,0
2023-03-19,14,3
2023-03-26,17,3
2023-04-02,15,4
2023-04-09,15,3
2023-04-16,12,3
2023-04-23,14,4
2023-04-30,13,4
2023-05-07,13,5
2023-05-14,14,3
2023-05-21,16,4
2023-05-28,17,4
2023-06-04,11,3
2023-06-11,13,3
2023-06-18,10,5
2023-06-25,9,0
2023-07-02,17,5
2023-07-09,14,0
2023-07-16,15,4
2023-07-23,10,3
2023-07-30,8,0
2023-08-06,10,0
2023-08-13,8,0
2023-08-20,7,4
2023-08-27,9,0
2023-09-03,8,0
2023-09-10,9,0
2023-09-17,9,0
2023-09-24,9,0
2023-10-01,7,0
2023-10-08,9,0
2023-10-15,8,0
2023-10-22,5,0
2023-10-29,8,0
2023-11-05,6,0
2023-11-12,6,0
2023-11-19,8,3
2023-11-26,8,0
2023-12-03,9,0
2023-12-10,7,0
2023-12-17,6,0
2023-12-24,5,0
2023-12-31,8,0
2024-01-07,6,0
2024-01-14,7,0
2024-01-21,10,0
2024-01-28,22,5
2024-02-04,27,7
2024-02-11,42,13
2024-02-18,86,21
2024-02-25,95,24
2024-03-03,89,24
2024-03-10,99,24
2024-03-17,100,19
2024-03-24,59,20
2024-03-31,68,14
2024-04-07,77,17
2024-04-14,66,15
2024-04-21,70,17
2024-04-28,61,16
2024-05-05,54,12
2024-05-12,56,14
2024-05-19,52,13
2024-05-26,41,8
2024-06-02,43,7
2024-06-09,67,18
2024-06-16,49,14
2024-06-23,53,12
2024-06-30,44,8
2024-07-07,37,6
2024-07-14,34,5
2024-07-21,37,8
2024-07-28,32,7
2024-08-04,24,5
