Categoria: Todas as categorias

Semana,dengue: (Acre),sintomas dengue: (Acre)
2019-08-04,0,0
2019-08-11,0,0
2019-08-18,8,0
2019-08-25,0,0
2019-09-01,0,0
2019-09-08,0,0
2019-09-15,0,0
2019-09-22,0,0
2019-09-29,0,0
2019-10-06,9,0
2019-10-13,8,0
2019-10-20,8,0
2019-10-27,9,0
2019-11-03,10,0
2019-11-10,15,0
2019-11-17,19,0
2019-11-24,18,0
2019-12-01,23,0
2019-12-08,27,0
2019-12-15,18,0
2019-12-22,23,0
2019-12-29,23,0
2020-01-05,21,0
2020-01-12,16,0
2020-01-19,16,0
2020-01-26,12,0
2020-02-02,10,0
2020-02-09,15,0
2020-02-16,14,0
2020-02-23,8,0
2020-03-01,16,0
2020-03-08,23,0
2020-03-15,19,0
2020-03-22,12,0
2020-03-29,8,0
2020-04-05,11,0
2020-04-12,7,0
2020-04-19,9,0
2020-04-26,12,0
2020-05-03,9,0
2020-05-10,8,7
2020-05-17,9,0
2020-05-24,12,0
2020-05-31,13,0
2020-06-07,13,6
2020-06-14,12,0
2020-06-21,7,0
2020-06-28,6,0
2020-07-05,7,0
2020-07-12,0,0
2020-07-19,0,0
2020-07-26,6,0
2020-08-02,0,0
2020-08-09,0,0
2020-08-16,0,0
2020-08-23,0,0
2020-08-30,0,0
2020-09-06,7,0
2020-09-13,0,0
2020-09-20,0,0
2020-09-27,0,0
2020-10-04,8,0
2020-10-11,0,0
2020-10-18,0,0
2020-10-25,6,0
2020-11-01,8,0
2020-11-08,6,0
2020-11-15,8,0
2020-11-22,15,0
2020-11-29,15,0
2020-12-06,16,0
2020-12-13,19,0
2020-12-20,27,11
2020-12-27,26,8
2021-01-03,45,14
2021-01-10,55,21
2021-01-17,52,19
2021-01-24,52,18
2021-01-31,66,17
2021-02-07,61,17
2021-02-14,65,22
2021-02-21,64,19
2021-02-28,51,19
2021-03-07,40,14
2021-03-14,35,13
2021-03-21,24,7
2021-03-28,24,6
2021-04-04,20,0
2021-04-11,14,0
2021-04-18,13,6
2021-04-25,10,0
2021-05-02,6,0
2021-05-09,8,0
2021-05-16,9,0
2021-05-23,0,0
2021-05-30,0,0
2021-06-06,11,0
2021-06-13,7,0
2021-06-20,0,0
2021-06-27,0,0
2021-07-04,0,0
2021-07-11,5,0
2021-07-18,0,0
2021-07-25,0,0
2021-08-01,0,0
