Categoria: Todas as categorias

Semana,dengue: (Ceará),sintomas dengue: (Ceará)
2024-04-07,66,17
2024-04-14,58,16
2024-04-21,52,14
2024-04-28,40,9
2024-05-05,35,8
2024-05-12,30,6
2024-05-19,29,5
2024-05-26,22,4
2024-06-02,24,6
2024-06-09,23,5
2024-06-16,17,3
2024-06-23,15,3
2024-06-30,13,3
2024-07-07,13,4
2024-07-14,11,2
2024-07-21,10,1
2024-07-28,10,2
2024-08-04,10,2
