Categoria: Todas as categorias

Semana,dengue: (Mato Grosso),sintomas dengue: (Mato Grosso)
2019-08-04,6,0
2019-08-11,7,0
2019-08-18,9,0
2019-08-25,7,0
2019-09-01,8,0
2019-09-08,6,0
2019-09-15,8,0
2019-09-22,9,0
2019-09-29,8,0
2019-10-06,8,0
2019-10-13,8,0
2019-10-20,9,0
2019-10-27,13,0
2019-11-03,14,0
2019-11-10,13,3
2019-11-17,12,4
2019-11-24,13,0
2019-12-01,12,3
2019-12-08,16,3
2019-12-15,17,4
2019-12-22,16,4
2019-12-29,22,6
2020-01-05,32,7
2020-01-12,41,12
2020-01-19,42,8
2020-01-26,38,9
2020-02-02,43,9
2020-02-09,45,10
2020-02-16,46,9
2020-02-23,43,10
2020-03-01,48,12
2020-03-08,66,16
2020-03-15,81,22
2020-03-22,62,16
2020-03-29,44,11
2020-04-05,41,10
2020-04-12,40,9
2020-04-19,36,7
2020-04-26,35,8
2020-05-03,33,6
2020-05-10,35,10
2020-05-17,26,5
2020-05-24,32,9
2020-05-31,30,9
2020-06-07,29,12
2020-06-14,34,12
2020-06-21,34,13
2020-06-28,30,8
2020-07-05,23,9
2020-07-12,19,5
2020-07-19,19,6
2020-07-26,15,5
2020-08-02,14,5
2020-08-09,14,4
2020-08-16,13,3
2020-08-23,10,0
2020-08-30,8,0
2020-09-06,7,0
2020-09-13,7,0
2020-09-20,11,0
2020-09-27,9,0
2020-10-04,7,0
2020-10-11,6,0
2020-10-18,8,0
2020-10-25,8,2
2020-11-01,9,0
2020-11-08,9,0
2020-11-15,5,0
2020-11-22,10,3
2020-11-29,11,3
2020-12-06,9,3
2020-12-13,13,4
2020-12-20,11,4
2020-12-27,15,6
2021-01-03,17,7
2021-01-10,21,7
2021-01-17,20,6
2021-01-24,17,7
2021-01-31,22,7
2021-02-07,22,7
2021-02-14,19,6
2021-02-21,23,9
2021-02-28,24,8
2021-03-07,27,10
2021-03-14,30,8
2021-03-21,30,9
2021-03-28,25,6
2021-04-04,28,9
2021-04-11,26,8
2021-04-18,26,4
2021-04-25,21,6
2021-05-02,21,5
2021-05-09,23,5
2021-05-16,23,4
2021-05-23,22,7
2021-05-30,23,6
2021-06-06,21,4
2021-06-13,16,5
2021-06-20,16,4
2021-06-27,10,0
2021-07-04,12,4
2021-07-11,12,2
2021-07-18,6,0
2021-07-25,9,0
2021-08-01,7,0
2021-08-08,11,3
2021-08-15,7,0
2021-08-22,10,3
2021-08-29,10,0
2021-09-05,7,0
2021-09-12,8,0
2021-09-19,10,3
2021-09-26,9,0
2021-10-03,6,0
2021-10-10,6,0
2021-10-17,9,0
2021-10-24,10,0
2021-10-31,7,0
2021-11-07,10,0
2021-11-14,10,3
2021-11-21,16,3
2021-11-28,20,5
2021-12-05,22,6
2021-12-12,31,10
2021-12-19,38,9
2021-12-26,43,14
2022-01-02,47,16
2022-01-09,42,13
2022-01-16,50,16
2022-01-23,51,12
2022-01-30,36,8
2022-02-06,31,9
2022-02-13,33,7
2022-02-20,33,8
2022-02-27,33,7
2022-03-06,31,7
2022-03-13,35,8
2022-03-20,36,8
2022-03-27,37,8
2022-04-03,43,10
2022-04-10,38,9
2022-04-17,46,11
2022-04-24,46,10
2022-05-01,37,9
2022-05-08,37,10
2022-05-15,32,8
2022-05-22,31,8
2022-05-29,27,6
2022-06-05,26,7
2022-06-12,22,8
2022-06-19,27,9
2022-06-26,27,7
2022-07-03,20,8
2022-07-10,21,6
2022-07-17,15,6
2022-07-24,14,5
2022-07-31,15,4
2022-08-07,6,2
2022-08-14,9,0
2022-08-21,12,3
2022-08-28,10,3
2022-09-04,11,3
2022-09-11,11,0
2022-09-18,10,0
2022-09-25,10,3
2022-10-02,11,3
2022-10-09,9,0
2022-10-16,12,5
2022-10-23,14,3
2022-10-30,10,3
2022-11-06,13,4
2022-11-13,15,5
2022-11-20,13,3
2022-11-27,12,3
2022-12-04,16,4
2022-12-11,23,7
2022-12-18,15,5
2022-12-25,23,8
2023-01-01,22,6
2023-01-08,22,7
2023-01-15,25,7
2023-01-22,23,6
2023-01-29,27,7
2023-02-05,30,7
2023-02-12,33,9
2023-02-19,38,11
2023-02-26,40,12
2023-03-05,34,11
2023-03-12,43,11
2023-03-19,44,12
2023-03-26,67,22
2023-04-02,58,21
2023-04-09,55,18
2023-04-16,51,15
2023-04-23,49,16
2023-04-30,43,13
2023-05-07,36,10
2023-05-14,37,11
2023-05-21,35,9
2023-05-28,29,7
2023-06-04,25,6
2023-06-11,20,3
2023-06-18,19,5
2023-06-25,14,3
2023-07-02,22,5
2023-07-09,14,2
2023-07-16,11,3
2023-07-23,10,2
2023-07-30,13,3
2023-08-06,11,0
2023-08-13,12,3
2023-08-20,14,3
2023-08-27,10,3
2023-09-03,10,2
2023-09-10,9,3
2023-09-17,10,0
2023-09-24,11,3
2023-10-01,15,5
2023-10-08,6,2
2023-10-15,10,2
2023-10-22,9,2
2023-10-29,13,3
2023-11-05,11,2
2023-11-12,13,4
2023-11-19,12,4
2023-11-26,13,4
2023-12-03,13,3
2023-12-10,12,5
2023-12-17,16,4
2023-12-24,19,6
2023-12-31,22,4
2024-01-07,30,7
2024-01-14,32,8
2024-01-21,40,11
2024-01-28,51,11
2024-02-04,64,15
2024-02-11,94,22
2024-02-18,94,24
2024-02-25,100,18
2024-03-03,83,17
2024-03-10,78,17
2024-03-17,77,15
2024-03-24,69,15
2024-03-31,82,19
2024-04-07,88,19
2024-04-14,88,18
2024-04-21,94,22
2024-04-28,94,18
2024-05-05,90,19
2024-05-12,76,15
2024-05-19,64,11
2024-05-26,47,9
2024-06-02,39,8
2024-06-09,40,8
2024-06-16,33,4
2024-06-23,32,5
2024-06-30,26,5
2024-07-07,19,3
2024-07-14,17,4
2024-07-21,20,5
2024-07-28,18,4
2024-08-04,17,4
