Categoria: Todas as categorias

Semana,dengue: (Acre),sintomas dengue: (Acre)
2019-08-11,0,0
2019-08-18,0,0
2019-08-25,0,0
2019-09-01,0,0
2019-09-08,0,0
2019-09-15,0,0
2019-09-22,0,0
2019-09-29,7,0
2019-10-06,9,0
2019-10-13,8,0
2019-10-20,7,0
2019-10-27,10,0
2019-11-03,10,0
2019-11-10,15,0
2019-11-17,20,0
2019-11-24,18,0
2019-12-01,28,7
2019-12-08,31,0
2019-12-15,18,0
2019-12-22,23,0
2019-12-29,23,0
2020-01-05,22,0
2020-01-12,15,0
2020-01-19,15,0
2020-01-26,13,0
2020-02-02,11,0
2020-02-09,14,0
2020-02-16,14,0
2020-02-23,8,0
2020-03-01,19,0
2020-03-08,24,0
2020-03-15,20,0
2020-03-22,10,0
2020-03-29,9,0
2020-04-05,10,0
2020-04-12,6,0
2020-04-19,9,0
2020-04-26,12,0
2020-05-03,11,0
2020-05-10,13,0
2020-05-17,12,0
2020-05-24,11,0
2020-05-31,14,0
2020-06-07,14,6
2020-06-14,13,0
2020-06-21,7,0
2020-06-28,0,0
2020-07-05,8,0
2020-07-12,7,0
2020-07-19,6,0
2020-07-26,0,0
2020-08-02,8,0
2020-08-09,0,0
2020-08-16,0,0
2020-08-23,0,0
2020-08-30,0,0
2020-09-06,7,0
2020-09-13,0,0
2020-09-20,6,0
2020-09-27,0,0
2020-10-04,6,0
2020-10-11,0,0
2020-10-18,0,0
2020-10-25,6,0
2020-11-01,8,0
2020-11-08,7,0
2020-11-15,8,0
2020-11-22,15,6
2020-11-29,13,7
2020-12-06,18,0
2020-12-13,18,0
2020-12-20,35,9
2020-12-27,25,10
2021-01-03,44,15
2021-01-10,59,18
2021-01-17,51,20
2021-01-24,57,18
2021-01-31,66,20
2021-02-07,61,15
2021-02-14,67,22
2021-02-21,64,18
2021-02-28,50,17
2021-03-07,40,12
2021-03-14,34,10
2021-03-21,25,9
2021-03-28,25,0
2021-04-04,20,0
