Categoria: Todas as categorias

Semana,dengue: (Tocantins),sintomas dengue: (Tocantins)
2019-09-01,0,7
2019-09-08,0,0
2019-09-15,0,0
2019-09-22,0,0
2019-09-29,7,0
2019-10-06,5,0
2019-10-13,5,0
2019-10-20,10,0
2019-10-27,8,0
2019-11-03,9,0
2019-11-10,13,0
2019-11-17,7,0
2019-11-24,9,0
2019-12-01,9,0
2019-12-08,10,0
2019-12-15,6,0
2019-12-22,0,0
2019-12-29,0,0
2020-01-05,0,0
2020-01-12,6,0
2020-01-19,9,0
2020-01-26,5,0
2020-02-02,13,0
2020-02-09,6,0
2020-02-16,13,4
2020-02-23,13,0
2020-03-01,9,0
2020-03-08,17,0
2020-03-15,22,0
2020-03-22,19,0
2020-03-29,8,0
2020-04-05,9,0
2020-04-12,10,0
2020-04-19,10,0
2020-04-26,14,0
2020-05-03,7,0
2020-05-10,8,0
2020-05-17,8,0
2020-05-24,6,0
2020-05-31,6,0
2020-06-07,0,0
2020-06-14,6,0
2020-06-21,7,0
2020-06-28,5,0
2020-07-05,7,0
2020-07-12,6,0
2020-07-19,5,0
2020-07-26,7,0
2020-08-02,5,0
2020-08-09,7,0
2020-08-16,4,0
2020-08-23,0,0
2020-08-30,0,0
2020-09-06,0,0
2020-09-13,0,0
2020-09-20,0,0
2020-09-27,0,0
2020-10-04,5,0
2020-10-11,4,0
2020-10-18,5,0
2020-10-25,5,0
2020-11-01,0,0
2020-11-08,5,0
2020-11-15,0,0
2020-11-22,4,0
2020-11-29,0,0
2020-12-06,0,0
2020-12-13,5,0
2020-12-20,0,0
2020-12-27,0,0
2021-01-03,8,0
2021-01-10,7,0
2021-01-17,5,0
2021-01-24,5,0
2021-01-31,0,0
2021-02-07,7,0
2021-02-14,6,0
2021-02-21,11,0
2021-02-28,9,0
2021-03-07,13,0
2021-03-14,11,0
2021-03-21,10,0
2021-03-28,11,4
2021-04-04,6,0
2021-04-11,8,0
2021-04-18,9,0
2021-04-25,10,0
2021-05-02,11,0
2021-05-09,18,0
2021-05-16,24,5
2021-05-23,30,4
2021-05-30,28,6
2021-06-06,21,0
2021-06-13,15,0
2021-06-20,10,0
2021-06-27,9,0
2021-07-04,9,0
2021-07-11,7,0
2021-07-18,5,0
2021-07-25,5,0
2021-08-01,8,0
2021-08-08,11,0
2021-08-15,11,0
2021-08-22,15,0
2021-08-29,11,0
2021-09-05,10,0
2021-09-12,5,0
2021-09-19,0,0
2021-09-26,10,0
2021-10-03,7,0
2021-10-10,9,0
2021-10-17,9,0
2021-10-24,10,0
2021-10-31,11,0
2021-11-07,8,0
2021-11-14,19,0
2021-11-21,24,0
2021-11-28,32,10
2021-12-05,41,7
2021-12-12,44,12
2021-12-19,57,14
2021-12-26,70,23
2022-01-02,100,32
2022-01-09,78,27
2022-01-16,78,23
2022-01-23,67,18
2022-01-30,52,12
2022-02-06,51,18
2022-02-13,42,10
2022-02-20,31,6
2022-02-27,28,6
2022-03-06,32,8
2022-03-13,47,9
2022-03-20,51,8
2022-03-27,44,8
2022-04-03,42,9
2022-04-10,32,7
2022-04-17,33,9
2022-04-24,35,8
2022-05-01,44,9
2022-05-08,41,8
2022-05-15,42,8
2022-05-22,32,6
2022-05-29,27,8
2022-06-05,26,7
2022-06-12,20,5
2022-06-19,21,4
2022-06-26,13,4
