Categoria: Todas as categorias

Semana,dengue: (Amazonas),sintomas dengue: (Amazonas)
2019-09-01,4,0
2019-09-08,6,0
2019-09-15,7,0
2019-09-22,7,0
2019-09-29,7,0
2019-10-06,9,0
2019-10-13,6,0
2019-10-20,8,0
2019-10-27,8,0
2019-11-03,11,0
2019-11-10,10,0
2019-11-17,8,0
2019-11-24,13,0
2019-12-01,9,4
2019-12-08,8,0
2019-12-15,9,0
2019-12-22,0,0
2019-12-29,15,0
2020-01-05,11,0
2020-01-12,12,0
2020-01-19,7,0
2020-01-26,14,0
2020-02-02,12,0
2020-02-09,16,5
2020-02-16,16,4
2020-02-23,17,4
2020-03-01,17,0
2020-03-08,19,4
2020-03-15,28,7
2020-03-22,25,6
2020-03-29,21,7
2020-04-05,29,11
2020-04-12,27,8
2020-04-19,27,11
2020-04-26,18,9
2020-05-03,12,6
2020-05-10,12,5
2020-05-17,10,0
2020-05-24,14,0
2020-05-31,15,4
2020-06-07,10,4
2020-06-14,10,0
2020-06-21,10,0
2020-06-28,7,0
2020-07-05,9,0
2020-07-12,8,0
2020-07-19,9,0
2020-07-26,7,0
2020-08-02,11,0
2020-08-09,5,0
2020-08-16,6,0
2020-08-23,7,0
2020-08-30,6,0
2020-09-06,6,0
2020-09-13,8,0
2020-09-20,8,0
2020-09-27,6,0
2020-10-04,8,0
2020-10-11,9,0
2020-10-18,11,0
2020-10-25,8,0
2020-11-01,7,0
2020-11-08,8,0
2020-11-15,10,0
2020-11-22,11,0
2020-11-29,10,0
2020-12-06,11,0
2020-12-13,13,3
2020-12-20,13,5
2020-12-27,18,4
2021-01-03,25,10
2021-01-10,18,5
2021-01-17,21,7
2021-01-24,21,6
2021-01-31,16,5
2021-02-07,18,4
2021-02-14,21,6
2021-02-21,26,7
2021-02-28,26,6
2021-03-07,18,5
2021-03-14,19,5
2021-03-21,25,7
2021-03-28,22,6
2021-04-04,20,5
2021-04-11,19,0
2021-04-18,24,6
2021-04-25,19,5
2021-05-02,20,5
2021-05-09,18,5
2021-05-16,22,6
2021-05-23,20,5
2021-05-30,13,3
2021-06-06,13,5
2021-06-13,15,0
2021-06-20,13,4
2021-06-27,12,3
2021-07-04,12,5
2021-07-11,13,0
2021-07-18,13,0
2021-07-25,10,0
2021-08-01,13,0
2021-08-08,10,0
2021-08-15,12,3
2021-08-22,10,3
2021-08-29,10,0
2021-09-05,7,0
2021-09-12,11,0
2021-09-19,9,0
2021-09-26,12,0
2021-10-03,6,0
2021-10-10,6,0
2021-10-17,8,0
2021-10-24,5,0
2021-10-31,6,0
2021-11-07,7,0
2021-11-14,8,0
2021-11-21,8,0
2021-11-28,9,0
2021-12-05,6,0
2021-12-12,8,0
2021-12-19,8,0
2021-12-26,0,0
2022-01-02,7,0
2022-01-09,10,4
2022-01-16,11,4
2022-01-23,9,0
2022-01-30,8,0
2022-02-06,7,0
2022-02-13,11,2
2022-02-20,13,2
2022-02-27,10,0
2022-03-06,11,0
2022-03-13,15,3
2022-03-20,20,4
2022-03-27,17,0
2022-04-03,16,2
2022-04-10,17,3
2022-04-17,15,4
2022-04-24,16,2
2022-05-01,17,3
2022-05-08,16,4
2022-05-15,18,5
2022-05-22,17,5
2022-05-29,18,6
2022-06-05,18,4
2022-06-12,18,5
2022-06-19,12,4
2022-06-26,9,3
2022-07-03,12,0
2022-07-10,7,3
2022-07-17,13,3
2022-07-24,11,0
2022-07-31,10,0
2022-08-07,8,0
2022-08-14,9,0
2022-08-21,8,0
2022-08-28,8,0
2022-09-04,7,0
2022-09-11,8,0
2022-09-18,9,0
2022-09-25,9,2
2022-10-02,7,0
2022-10-09,7,0
2022-10-16,12,3
2022-10-23,7,0
2022-10-30,7,0
2022-11-06,13,3
2022-11-13,12,0
2022-11-20,11,0
2022-11-27,13,0
2022-12-04,10,0
2022-12-11,11,0
2022-12-18,11,3
2022-12-25,11,4
2023-01-01,10,4
2023-01-08,9,4
2023-01-15,10,4
2023-01-22,10,0
2023-01-29,12,6
2023-02-05,11,3
2023-02-12,17,6
2023-02-19,18,3
2023-02-26,19,2
2023-03-05,17,4
2023-03-12,17,4
2023-03-19,19,5
2023-03-26,21,4
2023-04-02,14,4
2023-04-09,18,3
2023-04-16,15,3
2023-04-23,17,4
2023-04-30,14,4
2023-05-07,16,5
2023-05-14,17,5
2023-05-21,14,3
2023-05-28,13,3
2023-06-04,10,4
2023-06-11,12,3
2023-06-18,11,3
2023-06-25,11,3
2023-07-02,13,0
2023-07-09,12,0
2023-07-16,9,3
2023-07-23,8,0
2023-07-30,8,0
2023-08-06,10,0
2023-08-13,10,3
2023-08-20,8,0
2023-08-27,8,0
2023-09-03,5,0
2023-09-10,9,0
2023-09-17,11,3
2023-09-24,9,0
2023-10-01,7,0
2023-10-08,5,0
2023-10-15,7,3
2023-10-22,7,0
2023-10-29,7,0
2023-11-05,10,0
2023-11-12,12,0
2023-11-19,10,0
2023-11-26,11,0
2023-12-03,14,0
2023-12-10,21,5
2023-12-17,27,8
2023-12-24,56,16
2023-12-31,92,33
2024-01-07,86,24
2024-01-14,87,28
2024-01-21,90,23
2024-01-28,72,18
2024-02-04,80,23
2024-02-11,85,23
2024-02-18,100,22
2024-02-25,98,21
2024-03-03,83,16
2024-03-10,71,12
2024-03-17,61,16
2024-03-24,47,9
2024-03-31,49,11
2024-04-07,42,12
2024-04-14,49,12
2024-04-21,40,8
2024-04-28,27,7
2024-05-05,23,5
2024-05-12,18,3
2024-05-19,19,4
2024-05-26,18,0
2024-06-02,18,3
2024-06-09,24,0
2024-06-16,17,4
2024-06-23,16,3
2024-06-30,9,0
2024-07-07,12,0
2024-07-14,13,0
2024-07-21,11,0
2024-07-28,11,3
2024-08-04,7,0
2024-08-11,9,0
2024-08-18,12,1
2024-08-25,9,1
2024-09-01,8,2
