Categoria: Todas as categorias

Semana,dengue: (Alagoas),sintomas dengue: (Alagoas)
2019-09-15,18,0
2019-09-22,15,0
2019-09-29,10,0
2019-10-06,10,3
2019-10-13,12,0
2019-10-20,11,0
2019-10-27,8,0
2019-11-03,9,0
2019-11-10,9,0
2019-11-17,6,0
2019-11-24,10,0
2019-12-01,7,0
2019-12-08,6,0
2019-12-15,4,0
2019-12-22,4,0
2019-12-29,6,0
2020-01-05,5,0
2020-01-12,5,0
2020-01-19,7,0
2020-01-26,7,0
2020-02-02,8,0
2020-02-09,11,0
2020-02-16,13,4
2020-02-23,8,0
2020-03-01,7,0
2020-03-08,14,0
2020-03-15,17,0
2020-03-22,15,4
2020-03-29,14,0
2020-04-05,15,3
2020-04-12,16,4
2020-04-19,15,3
2020-04-26,21,6
2020-05-03,25,8
2020-05-10,25,10
2020-05-17,24,8
2020-05-24,27,8
2020-05-31,27,7
2020-06-07,21,5
2020-06-14,15,3
2020-06-21,16,5
2020-06-28,13,3
2020-07-05,16,3
2020-07-12,12,4
2020-07-19,11,0
2020-07-26,9,0
2020-08-02,13,0
2020-08-09,10,0
2020-08-16,10,0
2020-08-23,10,3
2020-08-30,7,0
2020-09-06,6,0
2020-09-13,7,0
2020-09-20,7,0
2020-09-27,7,0
2020-10-04,5,0
2020-10-11,7,4
2020-10-18,5,0
2020-10-25,5,0
2020-11-01,6,0
2020-11-08,6,0
2020-11-15,4,0
2020-11-22,6,0
2020-11-29,5,0
2020-12-06,5,0
2020-12-13,4,0
2020-12-20,4,0
2020-12-27,4,0
2021-01-03,6,0
2021-01-10,4,0
2021-01-17,5,0
2021-01-24,4,0
2021-01-31,0,0
2021-02-07,3,0
2021-02-14,0,0
2021-02-21,4,0
2021-02-28,5,0
2021-03-07,7,0
2021-03-14,6,0
2021-03-21,8,0
2021-03-28,7,3
2021-04-04,5,0
2021-04-11,8,0
2021-04-18,5,0
2021-04-25,8,0
2021-05-02,9,0
2021-05-09,12,3
2021-05-16,14,0
2021-05-23,18,4
2021-05-30,19,4
2021-06-06,17,3
2021-06-13,18,6
2021-06-20,15,3
2021-06-27,13,0
2021-07-04,20,4
2021-07-11,22,6
2021-07-18,22,4
2021-07-25,22,6
2021-08-01,25,5
2021-08-08,20,5
2021-08-15,23,6
2021-08-22,21,6
2021-08-29,22,5
2021-09-05,17,0
2021-09-12,13,0
2021-09-19,16,0
2021-09-26,14,4
2021-10-03,12,4
2021-10-10,7,4
2021-10-17,12,3
2021-10-24,12,4
2021-10-31,9,0
2021-11-07,12,4
