Categoria: Todas as categorias

Semana,dengue: (Mato Grosso)
2019-04-28,26
2019-05-05,28
2019-05-12,24
2019-05-19,24
2019-05-26,25
2019-06-02,19
2019-06-09,20
2019-06-16,17
2019-06-23,20
2019-06-30,12
2019-07-07,10
2019-07-14,8
2019-07-21,6
2019-07-28,10
2019-08-04,5
2019-08-11,10
2019-08-18,8
2019-08-25,8
2019-09-01,7
2019-09-08,4
2019-09-15,8
2019-09-22,7
2019-09-29,8
2019-10-06,6
2019-10-13,10
2019-10-20,10
2019-10-27,8
2019-11-03,13
2019-11-10,12
2019-11-17,12
2019-11-24,12
2019-12-01,13
2019-12-08,16
2019-12-15,15
2019-12-22,17
2019-12-29,19
2020-01-05,25
2020-01-12,42
2020-01-19,42
2020-01-26,33
2020-02-02,43
2020-02-09,41
2020-02-16,45
2020-02-23,41
2020-03-01,46
2020-03-08,63
2020-03-15,81
2020-03-22,57
2020-03-29,45
2020-04-05,38
2020-04-12,37
2020-04-19,33
2020-04-26,34
2020-05-03,31
2020-05-10,28
2020-05-17,24
2020-05-24,28
2020-05-31,28
2020-06-07,31
2020-06-14,31
2020-06-21,30
2020-06-28,25
2020-07-05,19
2020-07-12,21
2020-07-19,19
2020-07-26,16
2020-08-02,14
2020-08-09,14
2020-08-16,13
2020-08-23,10
2020-08-30,7
2020-09-06,6
2020-09-13,7
2020-09-20,8
2020-09-27,9
2020-10-04,5
2020-10-11,7
2020-10-18,8
2020-10-25,6
2020-11-01,8
2020-11-08,7
2020-11-15,5
2020-11-22,9
2020-11-29,11
2020-12-06,9
2020-12-13,13
2020-12-20,11
2020-12-27,15
2021-01-03,15
2021-01-10,17
2021-01-17,20
2021-01-24,15
2021-01-31,19
2021-02-07,19
2021-02-14,18
2021-02-21,19
2021-02-28,22
2021-03-07,27
2021-03-14,28
2021-03-21,27
2021-03-28,24
2021-04-04,28
2021-04-11,23
2021-04-18,20
2021-04-25,19
2021-05-02,19
2021-05-09,22
2021-05-16,21
2021-05-23,20
2021-05-30,21
2021-06-06,19
2021-06-13,16
2021-06-20,15
2021-06-27,7
2021-07-04,11
2021-07-11,12
2021-07-18,5
2021-07-25,9
2021-08-01,8
2021-08-08,11
2021-08-15,6
2021-08-22,10
2021-08-29,11
2021-09-05,7
2021-09-12,7
2021-09-19,8
2021-09-26,6
2021-10-03,6
2021-10-10,8
2021-10-17,9
2021-10-24,11
2021-10-31,4
2021-11-07,8
2021-11-14,11
2021-11-21,17
2021-11-28,17
2021-12-05,21
2021-12-12,32
2021-12-19,37
2021-12-26,36
2022-01-02,45
2022-01-09,36
2022-01-16,47
2022-01-23,49
2022-01-30,36
2022-02-06,30
2022-02-13,32
2022-02-20,32
2022-02-27,31
2022-03-06,29
2022-03-13,32
2022-03-20,36
2022-03-27,36
2022-04-03,42
2022-04-10,41
2022-04-17,44
2022-04-24,41
2022-05-01,38
2022-05-08,37
2022-05-15,33
2022-05-22,29
2022-05-29,23
2022-06-05,26
2022-06-12,21
2022-06-19,25
2022-06-26,29
2022-07-03,17
2022-07-10,19
2022-07-17,16
2022-07-24,12
2022-07-31,10
2022-08-07,8
2022-08-14,8
2022-08-21,11
2022-08-28,8
2022-09-04,9
2022-09-11,10
2022-09-18,9
2022-09-25,9
2022-10-02,10
2022-10-09,9
2022-10-16,10
2022-10-23,14
2022-10-30,9
2022-11-06,14
2022-11-13,15
2022-11-20,13
2022-11-27,14
2022-12-04,13
2022-12-11,18
2022-12-18,14
2022-12-25,21
2023-01-01,20
2023-01-08,19
2023-01-15,25
2023-01-22,19
2023-01-29,22
2023-02-05,28
2023-02-12,28
2023-02-19,38
2023-02-26,39
2023-03-05,31
2023-03-12,41
2023-03-19,34
2023-03-26,62
2023-04-02,54
2023-04-09,55
2023-04-16,49
2023-04-23,46
2023-04-30,42
2023-05-07,34
2023-05-14,35
2023-05-21,33
2023-05-28,30
2023-06-04,24
2023-06-11,18
2023-06-18,18
2023-06-25,12
2023-07-02,21
2023-07-09,15
2023-07-16,13
2023-07-23,10
2023-07-30,13
2023-08-06,12
2023-08-13,12
2023-08-20,11
2023-08-27,10
2023-09-03,10
2023-09-10,8
2023-09-17,8
2023-09-24,9
2023-10-01,13
2023-10-08,8
2023-10-15,9
2023-10-22,11
2023-10-29,11
2023-11-05,10
2023-11-12,12
2023-11-19,9
2023-11-26,14
2023-12-03,14
2023-12-10,13
2023-12-17,15
2023-12-24,14
2023-12-31,23
2024-01-07,28
2024-01-14,35
2024-01-21,38
2024-01-28,52
2024-02-04,60
2024-02-11,90
2024-02-18,87
2024-02-25,100
2024-03-03,81
2024-03-10,75
2024-03-17,70
2024-03-24,68
2024-03-31,78
2024-04-07,81
2024-04-14,95
2024-04-21,92
2024-04-28,83
