Categoria: Todas as categorias

Semana,dengue: (Rio Grande do Norte)
2019-04-28,30
2019-05-05,23
2019-05-12,39
2019-05-19,30
2019-05-26,35
2019-06-02,29
2019-06-09,30
2019-06-16,34
2019-06-23,31
2019-06-30,30
2019-07-07,29
2019-07-14,31
2019-07-21,28
2019-07-28,20
2019-08-04,21
2019-08-11,16
2019-08-18,19
2019-08-25,13
2019-09-01,12
2019-09-08,9
2019-09-15,11
2019-09-22,11
2019-09-29,8
2019-10-06,7
2019-10-13,9
2019-10-20,7
2019-10-27,6
2019-11-03,8
2019-11-10,6
2019-11-17,0
2019-11-24,7
2019-12-01,6
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,4
2020-01-19,6
2020-01-26,8
2020-02-02,9
2020-02-09,9
2020-02-16,11
2020-02-23,18
2020-03-01,15
2020-03-08,24
2020-03-15,26
2020-03-22,23
2020-03-29,16
2020-04-05,18
2020-04-12,15
2020-04-19,14
2020-04-26,19
2020-05-03,15
2020-05-10,21
2020-05-17,20
2020-05-24,22
2020-05-31,19
2020-06-07,20
2020-06-14,19
2020-06-21,18
2020-06-28,15
2020-07-05,15
2020-07-12,15
2020-07-19,12
2020-07-26,13
2020-08-02,10
2020-08-09,9
2020-08-16,6
2020-08-23,7
2020-08-30,5
2020-09-06,6
2020-09-13,4
2020-09-20,6
2020-09-27,4
2020-10-04,5
2020-10-11,5
2020-10-18,0
2020-10-25,4
2020-11-01,0
2020-11-08,7
2020-11-15,6
2020-11-22,4
2020-11-29,9
2020-12-06,4
2020-12-13,7
2020-12-20,0
2020-12-27,6
2021-01-03,5
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,6
2021-02-07,0
2021-02-14,6
2021-02-21,4
2021-02-28,4
2021-03-07,9
2021-03-14,9
2021-03-21,9
2021-03-28,7
2021-04-04,6
2021-04-11,9
2021-04-18,11
2021-04-25,12
2021-05-02,8
2021-05-09,9
2021-05-16,8
2021-05-23,13
2021-05-30,10
2021-06-06,10
2021-06-13,11
2021-06-20,4
2021-06-27,8
2021-07-04,6
2021-07-11,8
2021-07-18,6
2021-07-25,7
2021-08-01,6
2021-08-08,6
2021-08-15,5
2021-08-22,5
2021-08-29,0
2021-09-05,5
2021-09-12,8
2021-09-19,4
2021-09-26,6
2021-10-03,9
2021-10-10,0
2021-10-17,8
2021-10-24,0
2021-10-31,0
2021-11-07,6
2021-11-14,5
2021-11-21,0
2021-11-28,7
2021-12-05,4
2021-12-12,6
2021-12-19,0
2021-12-26,0
2022-01-02,8
2022-01-09,10
2022-01-16,10
2022-01-23,5
2022-01-30,4
2022-02-06,7
2022-02-13,6
2022-02-20,10
2022-02-27,9
2022-03-06,12
2022-03-13,17
2022-03-20,22
2022-03-27,29
2022-04-03,34
2022-04-10,43
2022-04-17,66
2022-04-24,88
2022-05-01,78
2022-05-08,83
2022-05-15,100
2022-05-22,95
2022-05-29,95
2022-06-05,89
2022-06-12,85
2022-06-19,72
2022-06-26,66
2022-07-03,56
2022-07-10,50
2022-07-17,43
2022-07-24,39
2022-07-31,35
2022-08-07,24
2022-08-14,30
2022-08-21,20
2022-08-28,19
2022-09-04,14
2022-09-11,10
2022-09-18,13
2022-09-25,10
2022-10-02,7
2022-10-09,10
2022-10-16,8
2022-10-23,5
2022-10-30,8
2022-11-06,7
2022-11-13,7
2022-11-20,9
2022-11-27,6
2022-12-04,9
2022-12-11,6
2022-12-18,4
2022-12-25,5
2023-01-01,4
2023-01-08,5
2023-01-15,8
2023-01-22,5
2023-01-29,5
2023-02-05,5
2023-02-12,5
2023-02-19,7
2023-02-26,12
2023-03-05,10
2023-03-12,11
2023-03-19,12
2023-03-26,22
2023-04-02,16
2023-04-09,19
2023-04-16,22
2023-04-23,20
2023-04-30,15
2023-05-07,14
2023-05-14,15
2023-05-21,13
2023-05-28,9
2023-06-04,10
2023-06-11,8
2023-06-18,10
2023-06-25,10
2023-07-02,10
2023-07-09,10
2023-07-16,10
2023-07-23,5
2023-07-30,5
2023-08-06,5
2023-08-13,5
2023-08-20,7
2023-08-27,6
2023-09-03,6
2023-09-10,4
2023-09-17,5
2023-09-24,9
2023-10-01,0
2023-10-08,8
2023-10-15,5
2023-10-22,7
2023-10-29,4
2023-11-05,9
2023-11-12,3
2023-11-19,6
2023-11-26,5
2023-12-03,5
2023-12-10,7
2023-12-17,10
2023-12-24,7
2023-12-31,7
2024-01-07,10
2024-01-14,15
2024-01-21,15
2024-01-28,19
2024-02-04,32
2024-02-11,50
2024-02-18,81
2024-02-25,92
2024-03-03,100
2024-03-10,88
2024-03-17,87
2024-03-24,67
2024-03-31,71
2024-04-07,72
2024-04-14,65
2024-04-21,58
2024-04-28,37
