Categoria: Todas as categorias

Semana,dengue: (Alagoas),sintomas dengue: (Alagoas)
2019-12-01,4,0
2019-12-08,5,0
2019-12-15,5,0
2019-12-22,6,0
2019-12-29,5,4
2020-01-05,6,0
2020-01-12,4,0
2020-01-19,5,0
2020-01-26,5,0
2020-02-02,8,3
2020-02-09,8,0
2020-02-16,12,0
2020-02-23,8,0
2020-03-01,8,0
2020-03-08,15,4
2020-03-15,17,0
2020-03-22,15,3
2020-03-29,15,0
2020-04-05,16,3
2020-04-12,16,3
2020-04-19,15,4
2020-04-26,22,6
2020-05-03,25,8
2020-05-10,25,10
2020-05-17,24,7
2020-05-24,26,8
2020-05-31,28,7
2020-06-07,19,6
2020-06-14,14,5
2020-06-21,16,4
2020-06-28,12,3
2020-07-05,16,0
2020-07-12,12,4
2020-07-19,12,0
2020-07-26,10,0
2020-08-02,13,0
2020-08-09,10,0
2020-08-16,9,0
2020-08-23,10,0
2020-08-30,7,0
2020-09-06,7,0
2020-09-13,8,0
2020-09-20,6,0
2020-09-27,6,0
2020-10-04,5,0
2020-10-11,7,0
2020-10-18,3,0
2020-10-25,5,0
2020-11-01,6,0
2020-11-08,6,0
2020-11-15,3,0
2020-11-22,7,0
2020-11-29,5,0
2020-12-06,4,0
2020-12-13,5,0
2020-12-20,4,0
2020-12-27,4,0
2021-01-03,6,0
2021-01-10,3,0
2021-01-17,5,0
2021-01-24,4,0
2021-01-31,0,0
2021-02-07,3,0
2021-02-14,0,0
2021-02-21,5,0
2021-02-28,5,0
2021-03-07,6,0
2021-03-14,6,0
2021-03-21,4,0
2021-03-28,7,0
2021-04-04,10,0
2021-04-11,7,0
2021-04-18,6,0
2021-04-25,9,3
2021-05-02,11,0
2021-05-09,13,0
2021-05-16,16,3
2021-05-23,19,3
2021-05-30,19,4
2021-06-06,17,4
2021-06-13,18,6
2021-06-20,13,3
2021-06-27,14,0
2021-07-04,21,5
2021-07-11,22,5
2021-07-18,21,5
2021-07-25,20,7
2021-08-01,26,6
2021-08-08,20,6
2021-08-15,23,4
2021-08-22,21,5
2021-08-29,21,5
2021-09-05,15,0
2021-09-12,13,0
2021-09-19,14,4
2021-09-26,12,3
2021-10-03,11,0
2021-10-10,9,4
2021-10-17,12,4
2021-10-24,12,4
2021-10-31,10,0
2021-11-07,12,0
2021-11-14,9,4
2021-11-21,10,0
2021-11-28,6,0
2021-12-05,9,0
2021-12-12,8,0
2021-12-19,9,4
2021-12-26,6,0
2022-01-02,10,5
2022-01-09,9,6
2022-01-16,10,6
2022-01-23,7,0
2022-01-30,8,0
2022-02-06,7,0
2022-02-13,8,0
2022-02-20,8,3
2022-02-27,7,0
2022-03-06,8,0
2022-03-13,11,0
2022-03-20,12,3
2022-03-27,17,5
2022-04-03,21,5
2022-04-10,19,6
2022-04-17,28,8
2022-04-24,49,15
2022-05-01,55,16
2022-05-08,80,24
2022-05-15,95,32
2022-05-22,95,28
2022-05-29,97,28
2022-06-05,88,28
2022-06-12,83,29
2022-06-19,97,38
2022-06-26,91,35
2022-07-03,74,27
2022-07-10,66,19
2022-07-17,60,19
2022-07-24,46,14
2022-07-31,33,9
2022-08-07,35,11
2022-08-14,30,11
2022-08-21,21,5
2022-08-28,18,7
2022-09-04,13,3
2022-09-11,17,4
2022-09-18,16,4
2022-09-25,11,2
2022-10-02,8,2
2022-10-09,7,0
2022-10-16,11,2
2022-10-23,10,4
2022-10-30,8,0
2022-11-06,8,2
2022-11-13,10,0
2022-11-20,4,3
2022-11-27,9,3
2022-12-04,3,0
2022-12-11,8,0
2022-12-18,8,0
2022-12-25,7,4
2023-01-01,8,0
2023-01-08,6,0
2023-01-15,8,0
2023-01-22,6,0
2023-01-29,4,0
2023-02-05,7,0
2023-02-12,11,4
