Categoria: Todas as categorias

Semana,dengue: (Alagoas),sintomas dengue: (Alagoas)
2020-08-02,12,3
2020-08-09,11,0
2020-08-16,9,0
2020-08-23,9,0
2020-08-30,8,0
2020-09-06,7,0
2020-09-13,7,0
2020-09-20,7,0
2020-09-27,7,0
2020-10-04,5,0
2020-10-11,6,0
2020-10-18,4,0
2020-10-25,4,3
2020-11-01,4,0
2020-11-08,5,0
2020-11-15,5,0
2020-11-22,8,0
2020-11-29,5,0
2020-12-06,5,0
2020-12-13,4,0
2020-12-20,3,0
2020-12-27,4,0
2021-01-03,6,0
2021-01-10,3,0
2021-01-17,7,0
2021-01-24,3,0
2021-01-31,0,0
2021-02-07,5,0
2021-02-14,4,0
2021-02-21,3,0
2021-02-28,6,0
2021-03-07,7,0
2021-03-14,6,0
2021-03-21,7,0
2021-03-28,7,0
2021-04-04,7,0
2021-04-11,8,0
2021-04-18,6,0
2021-04-25,9,0
2021-05-02,10,0
2021-05-09,15,0
2021-05-16,15,3
2021-05-23,19,0
2021-05-30,19,4
2021-06-06,17,0
2021-06-13,18,6
2021-06-20,14,3
2021-06-27,14,0
2021-07-04,20,0
2021-07-11,22,5
2021-07-18,20,5
2021-07-25,23,5
2021-08-01,24,6
2021-08-08,20,6
2021-08-15,24,6
2021-08-22,21,6
2021-08-29,19,4
2021-09-05,15,4
2021-09-12,14,0
2021-09-19,16,4
2021-09-26,12,3
2021-10-03,13,3
2021-10-10,9,0
2021-10-17,14,0
2021-10-24,15,3
2021-10-31,11,4
2021-11-07,12,0
2021-11-14,10,0
2021-11-21,11,3
2021-11-28,6,0
2021-12-05,10,0
2021-12-12,10,0
2021-12-19,7,0
2021-12-26,6,0
2022-01-02,11,6
2022-01-09,9,0
2022-01-16,10,4
2022-01-23,7,0
2022-01-30,8,4
2022-02-06,8,3
2022-02-13,7,0
2022-02-20,8,3
2022-02-27,7,0
2022-03-06,8,0
2022-03-13,11,0
2022-03-20,13,3
2022-03-27,18,6
2022-04-03,22,4
2022-04-10,20,6
2022-04-17,29,7
2022-04-24,50,16
2022-05-01,54,16
2022-05-08,80,25
2022-05-15,95,32
2022-05-22,98,29
2022-05-29,97,29
2022-06-05,90,27
2022-06-12,84,31
2022-06-19,96,38
2022-06-26,90,36
2022-07-03,75,27
2022-07-10,65,19
2022-07-17,61,19
2022-07-24,47,14
2022-07-31,34,10
2022-08-07,33,10
2022-08-14,30,11
2022-08-21,22,4
2022-08-28,19,6
2022-09-04,13,2
2022-09-11,16,4
2022-09-18,17,4
2022-09-25,12,3
2022-10-02,8,0
2022-10-09,9,3
2022-10-16,11,3
2022-10-23,9,4
2022-10-30,8,0
2022-11-06,7,0
2022-11-13,9,3
2022-11-20,10,3
2022-11-27,9,4
2022-12-04,4,0
2022-12-11,9,3
2022-12-18,7,0
2022-12-25,8,0
2023-01-01,8,0
2023-01-08,5,0
2023-01-15,7,0
2023-01-22,5,0
2023-01-29,5,0
2023-02-05,7,0
2023-02-12,10,0
2023-02-19,8,0
2023-02-26,11,0
2023-03-05,9,0
2023-03-12,7,0
2023-03-19,13,4
2023-03-26,16,5
2023-04-02,14,4
2023-04-09,18,3
2023-04-16,12,4
2023-04-23,14,4
2023-04-30,13,5
2023-05-07,13,4
2023-05-14,15,3
2023-05-21,16,4
2023-05-28,15,4
2023-06-04,11,3
2023-06-11,13,4
2023-06-18,10,5
2023-06-25,10,3
2023-07-02,16,3
2023-07-09,15,0
2023-07-16,13,3
2023-07-23,10,3
2023-07-30,7,0
2023-08-06,11,0
2023-08-13,7,0
2023-08-20,8,0
2023-08-27,9,0
2023-09-03,9,0
