Categoria: Todas as categorias

Semana,dengue: (Piauí),sintomas dengue: (Piauí)
2020-08-02,3,0
2020-08-09,3,0
2020-08-16,2,0
2020-08-23,2,0
2020-08-30,3,0
2020-09-06,2,0
2020-09-13,3,0
2020-09-20,2,0
2020-09-27,2,0
2020-10-04,2,0
2020-10-11,2,0
2020-10-18,0,0
2020-10-25,2,0
2020-11-01,0,0
2020-11-08,3,0
2020-11-15,3,0
2020-11-22,4,0
2020-11-29,4,0
2020-12-06,4,0
2020-12-13,0,0
2020-12-20,3,0
2020-12-27,4,0
2021-01-03,0,0
2021-01-10,0,0
2021-01-17,2,0
2021-01-24,2,0
2021-01-31,4,0
2021-02-07,3,0
2021-02-14,4,3
2021-02-21,4,0
2021-02-28,5,0
2021-03-07,6,3
2021-03-14,6,0
2021-03-21,6,2
2021-03-28,6,2
2021-04-04,8,3
2021-04-11,7,2
2021-04-18,8,2
2021-04-25,7,2
2021-05-02,7,3
2021-05-09,9,0
2021-05-16,10,0
2021-05-23,10,0
2021-05-30,8,3
2021-06-06,10,3
2021-06-13,10,3
2021-06-20,8,0
2021-06-27,7,0
2021-07-04,8,0
2021-07-11,5,0
2021-07-18,4,0
2021-07-25,4,0
2021-08-01,4,0
2021-08-08,6,0
2021-08-15,6,2
2021-08-22,6,0
2021-08-29,4,0
2021-09-05,4,0
2021-09-12,4,0
2021-09-19,4,0
2021-09-26,5,0
2021-10-03,5,2
2021-10-10,4,0
2021-10-17,2,0
2021-10-24,2,0
2021-10-31,3,0
2021-11-07,4,0
2021-11-14,4,0
2021-11-21,3,0
2021-11-28,3,0
2021-12-05,4,0
2021-12-12,6,0
2021-12-19,6,0
2021-12-26,4,0
2022-01-02,8,4
2022-01-09,9,0
2022-01-16,10,4
2022-01-23,9,4
2022-01-30,11,4
2022-02-06,13,5
2022-02-13,18,6
2022-02-20,19,6
2022-02-27,26,7
2022-03-06,28,8
2022-03-13,33,9
2022-03-20,43,12
2022-03-27,64,17
2022-04-03,67,22
2022-04-10,76,21
2022-04-17,99,28
2022-04-24,100,28
2022-05-01,88,24
2022-05-08,74,20
2022-05-15,70,19
2022-05-22,50,15
2022-05-29,43,14
2022-06-05,42,12
2022-06-12,35,11
2022-06-19,27,8
2022-06-26,29,10
2022-07-03,22,8
2022-07-10,16,4
2022-07-17,11,4
2022-07-24,8,2
2022-07-31,8,3
2022-08-07,7,2
2022-08-14,5,0
2022-08-21,5,0
2022-08-28,5,2
2022-09-04,5,0
2022-09-11,3,0
2022-09-18,4,0
2022-09-25,5,0
2022-10-02,5,0
2022-10-09,3,0
2022-10-16,4,0
2022-10-23,4,0
2022-10-30,5,0
2022-11-06,4,0
2022-11-13,5,1
2022-11-20,3,0
2022-11-27,4,0
2022-12-04,3,0
2022-12-11,5,2
2022-12-18,3,0
2022-12-25,2,0
2023-01-01,5,2
2023-01-08,5,2
2023-01-15,6,2
2023-01-22,6,0
2023-01-29,7,2
2023-02-05,7,1
2023-02-12,8,3
2023-02-19,11,3
2023-02-26,15,5
2023-03-05,13,3
2023-03-12,13,4
2023-03-19,16,5
2023-03-26,20,6
2023-04-02,18,6
2023-04-09,21,8
2023-04-16,19,6
2023-04-23,21,5
2023-04-30,15,4
2023-05-07,19,5
2023-05-14,16,4
2023-05-21,12,3
2023-05-28,12,3
2023-06-04,8,3
2023-06-11,10,2
2023-06-18,9,4
2023-06-25,6,2
2023-07-02,8,0
2023-07-09,5,0
2023-07-16,4,2
2023-07-23,4,0
2023-07-30,4,0
2023-08-06,4,0
2023-08-13,5,0
2023-08-20,3,0
2023-08-27,3,0
2023-09-03,3,0
2023-09-10,3,0
2023-09-17,3,0
2023-09-24,3,0
2023-10-01,3,0
2023-10-08,5,0
2023-10-15,3,0
2023-10-22,3,0
2023-10-29,2,0
2023-11-05,2,0
2023-11-12,3,0
2023-11-19,3,0
2023-11-26,4,0
2023-12-03,4,0
2023-12-10,3,0
