Uf;Pop
Rondônia;1581196
Acre;830018
Amazonas;3941613
Roraima;636707
Pará;8120131
Amapá;733759
Tocantins;1511460
Maranhão;6776699
Piauí;3271199
Ceará;8794957
Rio Grande do Norte;3302729
Paraíba;3974687
Pernambuco;9058931
Alagoas;3127683
Sergipe;2210004
Bahia;14141626
Minas Gerais;20539989
Espirito Santo;3833712
Rio de Janeiro;16055174
São Paulo;44411238
Paraná;11444380
Santa Catarina;7610361
Rio Grande do Sul;10882965
Mato Grosso do Sul;2757013
Mato Grosso;3658649
Goiás;7056495
Distrito Federal;2817381
