Categoria: Todas as categorias

Semana,dengue: (Rondônia),sintomas dengue: (Rondônia)
2019-07-21,0,0
2019-07-28,9,0
2019-08-04,11,0
2019-08-11,7,0
2019-08-18,10,0
2019-08-25,6,0
2019-09-01,6,0
2019-09-08,7,0
2019-09-15,0,0
2019-09-22,0,0
2019-09-29,0,0
2019-10-06,0,0
2019-10-13,6,0
2019-10-20,7,0
2019-10-27,7,0
2019-11-03,12,0
2019-11-10,12,0
2019-11-17,8,0
2019-11-24,12,0
2019-12-01,9,0
2019-12-08,10,0
2019-12-15,17,0
2019-12-22,15,7
2019-12-29,10,0
2020-01-05,18,7
2020-01-12,16,6
2020-01-19,16,0
2020-01-26,16,6
2020-02-02,14,0
2020-02-09,26,6
2020-02-16,19,0
2020-02-23,26,7
2020-03-01,26,8
2020-03-08,32,7
2020-03-15,40,9
2020-03-22,32,7
2020-03-29,22,5
2020-04-05,19,6
2020-04-12,22,6
2020-04-19,20,5
2020-04-26,19,7
2020-05-03,23,5
2020-05-10,20,0
2020-05-17,23,6
2020-05-24,23,5
2020-05-31,18,5
2020-06-07,18,0
2020-06-14,18,7
2020-06-21,14,0
2020-06-28,11,0
2020-07-05,16,5
2020-07-12,14,0
2020-07-19,11,0
2020-07-26,10,0
2020-08-02,11,0
2020-08-09,6,0
2020-08-16,8,0
2020-08-23,6,0
2020-08-30,6,0
2020-09-06,7,0
2020-09-13,8,0
2020-09-20,10,0
2020-09-27,9,0
2020-10-04,7,0
2020-10-11,0,0
2020-10-18,7,0
2020-10-25,7,0
2020-11-01,5,0
2020-11-08,9,0
2020-11-15,8,0
2020-11-22,10,0
2020-11-29,10,0
2020-12-06,10,0
2020-12-13,8,0
2020-12-20,12,6
2020-12-27,13,0
2021-01-03,15,6
2021-01-10,15,7
2021-01-17,16,6
2021-01-24,18,5
2021-01-31,13,5
2021-02-07,18,7
2021-02-14,15,8
2021-02-21,23,6
2021-02-28,20,7
2021-03-07,28,7
2021-03-14,24,7
2021-03-21,22,5
2021-03-28,21,0
2021-04-04,22,5
2021-04-11,16,0
2021-04-18,13,0
2021-04-25,13,0
2021-05-02,12,0
2021-05-09,11,0
2021-05-16,15,0
2021-05-23,14,0
2021-05-30,9,0
2021-06-06,10,0
2021-06-13,12,0
2021-06-20,13,4
2021-06-27,7,0
2021-07-04,0,0
2021-07-11,5,0
2021-07-18,0,0
2021-07-25,0,0
2021-08-01,5,0
2021-08-08,5,0
2021-08-15,0,0
2021-08-22,0,0
2021-08-29,0,0
