Categoria: Todas as categorias

Semana,dengue: (Amazonas),sintomas dengue: (Amazonas)
2019-07-21,6,0
2019-07-28,6,0
2019-08-04,4,0
2019-08-11,5,0
2019-08-18,7,0
2019-08-25,8,0
2019-09-01,4,0
2019-09-08,4,0
2019-09-15,8,0
2019-09-22,10,7
2019-09-29,6,0
2019-10-06,9,0
2019-10-13,6,0
2019-10-20,8,0
2019-10-27,9,0
2019-11-03,11,0
2019-11-10,11,0
2019-11-17,8,0
2019-11-24,14,0
2019-12-01,9,0
2019-12-08,5,0
2019-12-15,9,0
2019-12-22,6,0
2019-12-29,12,0
2020-01-05,11,5
2020-01-12,9,0
2020-01-19,6,0
2020-01-26,15,0
2020-02-02,12,0
2020-02-09,16,4
2020-02-16,15,0
2020-02-23,16,0
2020-03-01,17,0
2020-03-08,20,0
2020-03-15,28,6
2020-03-22,25,6
2020-03-29,21,6
2020-04-05,29,12
2020-04-12,27,8
2020-04-19,27,11
2020-04-26,20,7
2020-05-03,11,5
2020-05-10,12,4
2020-05-17,9,0
2020-05-24,14,4
2020-05-31,14,5
2020-06-07,10,3
2020-06-14,10,0
2020-06-21,10,0
2020-06-28,7,0
2020-07-05,9,0
2020-07-12,12,0
2020-07-19,11,0
2020-07-26,7,0
2020-08-02,10,0
2020-08-09,7,3
2020-08-16,6,0
2020-08-23,7,0
2020-08-30,7,0
2020-09-06,7,0
2020-09-13,7,0
2020-09-20,7,0
2020-09-27,6,0
2020-10-04,8,0
2020-10-11,8,4
2020-10-18,8,0
2020-10-25,11,0
2020-11-01,8,0
2020-11-08,9,0
2020-11-15,10,0
2020-11-22,12,0
2020-11-29,9,0
2020-12-06,9,0
2020-12-13,11,0
2020-12-20,14,5
2020-12-27,18,9
2021-01-03,24,13
2021-01-10,18,8
2021-01-17,22,6
2021-01-24,22,6
2021-01-31,17,5
2021-02-07,19,4
2021-02-14,20,4
2021-02-21,25,7
2021-02-28,25,9
2021-03-07,19,7
2021-03-14,17,5
2021-03-21,25,7
2021-03-28,23,5
2021-04-04,21,4
2021-04-11,20,4
2021-04-18,25,6
2021-04-25,21,6
2021-05-02,21,5
2021-05-09,19,4
2021-05-16,22,6
2021-05-23,20,6
2021-05-30,14,0
2021-06-06,13,5
2021-06-13,16,4
2021-06-20,12,5
2021-06-27,12,0
2021-07-04,11,0
2021-07-11,14,0
2021-07-18,11,0
2021-07-25,11,0
2021-08-01,12,3
2021-08-08,11,0
2021-08-15,13,0
2021-08-22,10,0
2021-08-29,9,0
