Categoria: Todas as categorias

Semana,dengue: (Piauí),sintomas dengue: (Piauí)
2019-09-22,4,0
2019-09-29,2,0
2019-10-06,3,0
2019-10-13,2,0
2019-10-20,5,0
2019-10-27,2,0
2019-11-03,3,0
2019-11-10,5,0
2019-11-17,2,0
2019-11-24,3,2
2019-12-01,0,0
2019-12-08,0,0
2019-12-15,0,0
2019-12-22,0,0
2019-12-29,0,0
2020-01-05,4,0
2020-01-12,4,0
2020-01-19,3,0
2020-01-26,4,0
2020-02-02,5,0
2020-02-09,6,0
2020-02-16,9,2
2020-02-23,7,2
2020-03-01,9,2
2020-03-08,11,0
2020-03-15,15,4
2020-03-22,14,4
2020-03-29,10,3
2020-04-05,9,2
2020-04-12,8,2
2020-04-19,9,2
2020-04-26,10,4
2020-05-03,11,3
2020-05-10,9,2
2020-05-17,9,3
2020-05-24,10,0
2020-05-31,11,3
2020-06-07,8,0
2020-06-14,9,3
2020-06-21,10,2
2020-06-28,6,2
2020-07-05,6,2
2020-07-12,5,2
2020-07-19,5,2
2020-07-26,3,0
2020-08-02,3,0
2020-08-09,3,2
2020-08-16,2,0
2020-08-23,3,0
2020-08-30,4,0
2020-09-06,0,0
2020-09-13,3,0
2020-09-20,0,0
2020-09-27,2,0
2020-10-04,2,0
2020-10-11,3,0
2020-10-18,0,0
2020-10-25,2,0
2020-11-01,3,0
2020-11-08,4,0
2020-11-15,2,0
2020-11-22,3,0
2020-11-29,4,0
2020-12-06,5,0
2020-12-13,2,0
2020-12-20,4,0
2020-12-27,3,0
2021-01-03,3,0
2021-01-10,2,0
2021-01-17,2,0
2021-01-24,3,0
2021-01-31,4,0
2021-02-07,3,0
2021-02-14,4,0
2021-02-21,4,0
2021-02-28,4,0
2021-03-07,7,2
2021-03-14,5,2
2021-03-21,7,2
2021-03-28,6,0
2021-04-04,7,3
2021-04-11,6,2
2021-04-18,8,3
2021-04-25,8,2
2021-05-02,7,3
2021-05-09,8,3
2021-05-16,9,0
2021-05-23,9,0
2021-05-30,9,3
2021-06-06,10,2
