Categoria: Todas as categorias

Semana,dengue: (Rio Grande do Norte),sintomas dengue: (Rio Grande do Norte),tratamento dengue: (Rio Grande do Norte)
2019-04-14,22,0,0
2019-04-21,23,7,0
2019-04-28,29,7,0
2019-05-05,26,6,0
2019-05-12,36,15,0
2019-05-19,29,7,0
2019-05-26,33,8,0
2019-06-02,31,8,0
2019-06-09,29,10,0
2019-06-16,35,9,0
2019-06-23,30,7,0
2019-06-30,31,5,0
2019-07-07,28,8,0
2019-07-14,31,6,0
2019-07-21,27,6,0
2019-07-28,20,0,0
2019-08-04,20,0,0
2019-08-11,18,0,0
2019-08-18,21,5,0
2019-08-25,14,0,0
2019-09-01,12,0,0
2019-09-08,8,0,0
2019-09-15,13,0,0
2019-09-22,9,0,0
2019-09-29,6,0,0
2019-10-06,7,0,0
2019-10-13,8,0,0
2019-10-20,7,0,0
2019-10-27,6,0,0
2019-11-03,7,0,0
2019-11-10,8,0,0
2019-11-17,4,0,0
2019-11-24,11,4,0
2019-12-01,0,0,0
2019-12-08,5,0,0
2019-12-15,0,0,0
2019-12-22,0,0,0
2019-12-29,0,0,0
2020-01-05,7,0,0
2020-01-12,6,0,0
2020-01-19,9,0,0
2020-01-26,10,0,0
2020-02-02,10,0,0
2020-02-09,6,0,0
2020-02-16,13,0,0
2020-02-23,15,4,0
2020-03-01,11,4,0
2020-03-08,21,0,0
2020-03-15,24,0,0
2020-03-22,26,5,0
2020-03-29,13,4,0
2020-04-05,21,5,0
2020-04-12,17,4,0
2020-04-19,14,0,0
2020-04-26,17,5,0
2020-05-03,11,4,0
2020-05-10,21,7,0
2020-05-17,20,10,0
2020-05-24,20,6,0
2020-05-31,17,4,0
2020-06-07,19,7,0
2020-06-14,18,8,0
2020-06-21,18,4,0
2020-06-28,14,4,0
2020-07-05,13,6,0
2020-07-12,16,4,0
2020-07-19,16,0,0
2020-07-26,11,0,0
2020-08-02,9,0,0
2020-08-09,8,4,0
2020-08-16,5,0,0
2020-08-23,7,0,0
2020-08-30,5,0,0
2020-09-06,7,0,0
2020-09-13,4,0,0
2020-09-20,5,0,0
2020-09-27,4,0,0
2020-10-04,4,0,0
2020-10-11,0,0,0
2020-10-18,0,0,0
2020-10-25,5,0,0
2020-11-01,0,0,0
2020-11-08,4,0,0
2020-11-15,0,0,0
2020-11-22,4,0,0
2020-11-29,6,4,0
2020-12-06,5,0,0
2020-12-13,6,4,0
2020-12-20,0,0,0
2020-12-27,6,0,0
2021-01-03,4,0,0
2021-01-10,4,0,0
2021-01-17,5,0,0
2021-01-24,0,0,0
2021-01-31,7,0,0
2021-02-07,6,0,0
2021-02-14,6,0,0
2021-02-21,5,0,0
2021-02-28,5,0,0
2021-03-07,10,0,0
2021-03-14,6,0,0
2021-03-21,6,0,0
2021-03-28,8,0,0
2021-04-04,8,0,0
2021-04-11,10,0,0
2021-04-18,10,0,0
2021-04-25,13,0,0
2021-05-02,7,0,0
2021-05-09,9,0,0
2021-05-16,11,0,0
2021-05-23,15,0,0
2021-05-30,8,0,0
2021-06-06,9,0,0
2021-06-13,12,0,0
2021-06-20,8,0,0
2021-06-27,6,5,0
2021-07-04,5,0,0
2021-07-11,7,0,0
2021-07-18,7,0,0
2021-07-25,7,0,0
2021-08-01,6,0,0
2021-08-08,8,0,0
2021-08-15,5,0,0
2021-08-22,5,0,0
2021-08-29,0,0,0
2021-09-05,0,0,0
2021-09-12,6,0,0
2021-09-19,5,0,0
2021-09-26,7,0,0
2021-10-03,8,0,0
2021-10-10,0,0,0
2021-10-17,7,0,0
2021-10-24,7,0,0
2021-10-31,0,0,0
2021-11-07,8,0,0
2021-11-14,6,0,0
2021-11-21,5,0,0
2021-11-28,7,0,0
2021-12-05,0,0,0
2021-12-12,5,0,0
2021-12-19,0,0,0
2021-12-26,0,0,0
2022-01-02,10,0,0
2022-01-09,6,10,0
2022-01-16,7,0,0
2022-01-23,0,0,0
2022-01-30,6,0,0
2022-02-06,7,0,0
2022-02-13,6,6,0
2022-02-20,9,0,0
2022-02-27,7,0,0
2022-03-06,13,0,0
2022-03-13,16,3,0
2022-03-20,22,6,0
2022-03-27,28,6,0
2022-04-03,33,8,0
2022-04-10,43,14,0
2022-04-17,66,23,0
2022-04-24,87,25,0
2022-05-01,76,21,0
2022-05-08,80,28,0
2022-05-15,99,34,0
2022-05-22,94,27,0
2022-05-29,97,26,0
2022-06-05,88,28,0
2022-06-12,87,29,0
2022-06-19,70,22,0
2022-06-26,68,21,0
2022-07-03,55,18,0
2022-07-10,49,14,0
2022-07-17,44,12,0
2022-07-24,40,10,0
2022-07-31,37,10,0
2022-08-07,24,8,0
2022-08-14,27,8,0
2022-08-21,19,5,0
2022-08-28,20,6,0
2022-09-04,14,3,0
2022-09-11,11,0,0
2022-09-18,13,0,0
2022-09-25,9,0,0
2022-10-02,8,0,0
2022-10-09,10,0,0
2022-10-16,8,0,0
2022-10-23,5,0,0
2022-10-30,7,0,0
2022-11-06,4,0,0
2022-11-13,7,0,0
2022-11-20,9,0,0
2022-11-27,6,0,0
2022-12-04,8,0,0
2022-12-11,6,0,0
2022-12-18,4,0,0
2022-12-25,6,0,0
2023-01-01,4,0,0
2023-01-08,0,0,0
2023-01-15,7,4,0
2023-01-22,6,0,0
2023-01-29,6,0,0
2023-02-05,8,0,0
2023-02-12,5,0,0
2023-02-19,4,0,0
2023-02-26,11,0,0
2023-03-05,10,0,0
2023-03-12,10,0,0
2023-03-19,13,3,0
2023-03-26,21,5,0
2023-04-02,16,5,0
2023-04-09,20,5,0
2023-04-16,22,8,0
2023-04-23,19,6,0
2023-04-30,15,4,0
2023-05-07,13,4,0
2023-05-14,14,3,0
2023-05-21,12,0,0
2023-05-28,10,4,0
2023-06-04,9,0,0
2023-06-11,6,0,0
2023-06-18,9,0,0
2023-06-25,9,0,0
2023-07-02,11,0,0
2023-07-09,8,0,0
2023-07-16,9,0,0
2023-07-23,6,0,0
2023-07-30,5,0,0
2023-08-06,3,0,0
2023-08-13,6,0,0
2023-08-20,6,0,0
2023-08-27,6,0,0
2023-09-03,6,0,0
2023-09-10,3,0,0
2023-09-17,6,0,0
2023-09-24,6,0,0
2023-10-01,0,0,0
2023-10-08,9,0,0
2023-10-15,6,0,0
2023-10-22,6,0,0
2023-10-29,4,0,4
2023-11-05,8,0,0
2023-11-12,7,0,0
2023-11-19,6,0,0
2023-11-26,7,0,0
2023-12-03,6,0,0
2023-12-10,7,0,0
2023-12-17,9,0,0
2023-12-24,9,0,0
2023-12-31,9,0,0
2024-01-07,10,0,0
2024-01-14,12,0,0
2024-01-21,16,0,0
2024-01-28,19,5,0
2024-02-04,31,7,0
2024-02-11,50,11,0
2024-02-18,80,23,0
2024-02-25,90,21,0
2024-03-03,100,19,0
2024-03-10,87,18,0
2024-03-17,87,15,0
2024-03-24,66,14,0
2024-03-31,69,14,1
2024-04-07,67,15,1
2024-04-14,48,12,0
