Categoria: Todas as categorias

Semana,dengue: (Mato Grosso),sintomas dengue: (Mato Grosso),tratamento dengue: (Mato Grosso)
2019-04-14,20,5,0
2019-04-21,20,0,0
2019-04-28,22,10,0
2019-05-05,30,8,0
2019-05-12,27,6,0
2019-05-19,25,6,0
2019-05-26,20,6,0
2019-06-02,19,0,0
2019-06-09,19,7,0
2019-06-16,18,0,0
2019-06-23,18,5,0
2019-06-30,13,0,0
2019-07-07,10,0,0
2019-07-14,8,0,0
2019-07-21,0,0,0
2019-07-28,8,0,0
2019-08-04,5,0,0
2019-08-11,10,0,0
2019-08-18,9,0,0
2019-08-25,7,0,0
2019-09-01,7,0,0
2019-09-08,7,0,0
2019-09-15,7,0,0
2019-09-22,10,0,0
2019-09-29,6,0,0
2019-10-06,8,0,0
2019-10-13,13,0,0
2019-10-20,9,0,0
2019-10-27,9,0,0
2019-11-03,14,5,0
2019-11-10,10,0,0
2019-11-17,10,0,0
2019-11-24,15,4,0
2019-12-01,14,0,4
2019-12-08,16,6,0
2019-12-15,14,5,0
2019-12-22,17,0,0
2019-12-29,18,6,0
2020-01-05,28,5,0
2020-01-12,37,10,0
2020-01-19,40,8,0
2020-01-26,32,10,0
2020-02-02,43,11,0
2020-02-09,42,9,0
2020-02-16,45,10,0
2020-02-23,40,12,0
2020-03-01,42,10,0
2020-03-08,61,13,0
2020-03-15,79,21,0
2020-03-22,56,16,0
2020-03-29,39,11,0
2020-04-05,39,12,0
2020-04-12,36,8,0
2020-04-19,33,7,0
2020-04-26,38,8,0
2020-05-03,31,6,0
2020-05-10,29,6,0
2020-05-17,23,7,0
2020-05-24,28,8,0
2020-05-31,28,9,0
2020-06-07,29,11,0
2020-06-14,34,11,0
2020-06-21,28,10,0
2020-06-28,24,7,0
2020-07-05,22,9,0
2020-07-12,19,6,0
2020-07-19,19,7,0
2020-07-26,15,6,0
2020-08-02,12,5,0
2020-08-09,13,5,0
2020-08-16,11,4,0
2020-08-23,10,0,0
2020-08-30,7,3,0
2020-09-06,7,0,0
2020-09-13,4,0,0
2020-09-20,13,0,0
2020-09-27,8,0,0
2020-10-04,7,0,0
2020-10-11,0,0,0
2020-10-18,7,0,0
2020-10-25,6,0,0
2020-11-01,9,0,0
2020-11-08,8,0,0
2020-11-15,5,0,0
2020-11-22,8,0,0
2020-11-29,13,4,0
2020-12-06,11,0,0
2020-12-13,11,6,0
2020-12-20,9,7,0
2020-12-27,18,7,0
2021-01-03,13,6,0
2021-01-10,18,6,0
2021-01-17,20,6,0
2021-01-24,16,7,0
2021-01-31,19,5,0
2021-02-07,19,5,0
2021-02-14,17,6,0
2021-02-21,18,8,0
2021-02-28,24,8,0
