Categoria: Todas as categorias

Semana,dengue: (Rondônia),sintomas dengue: (Rondônia),tratamento dengue: (Rondônia)
2019-04-14,0,0,0
2019-04-21,0,0,0
2019-04-28,10,0,0
2019-05-05,0,0,0
2019-05-12,0,0,0
2019-05-19,0,0,0
2019-05-26,0,0,0
2019-06-02,0,0,0
2019-06-09,0,0,0
2019-06-16,0,0,0
2019-06-23,11,0,0
2019-06-30,0,0,0
2019-07-07,0,0,0
2019-07-14,0,0,0
2019-07-21,0,0,0
2019-07-28,0,0,0
2019-08-04,0,0,0
2019-08-11,0,0,0
2019-08-18,0,0,0
2019-08-25,0,0,0
2019-09-01,0,0,0
2019-09-08,0,0,0
2019-09-15,0,0,0
2019-09-22,0,0,0
2019-09-29,0,0,0
2019-10-06,0,0,0
2019-10-13,0,0,0
2019-10-20,0,0,0
2019-10-27,12,0,0
2019-11-03,14,0,0
2019-11-10,15,0,0
2019-11-17,0,0,0
2019-11-24,12,0,0
2019-12-01,13,0,0
2019-12-08,9,0,0
2019-12-15,12,0,0
2019-12-22,14,0,0
2019-12-29,0,0,0
2020-01-05,15,0,0
2020-01-12,9,0,0
2020-01-19,13,0,0
2020-01-26,14,0,0
2020-02-02,17,0,0
2020-02-09,25,0,0
2020-02-16,17,0,0
2020-02-23,22,0,0
2020-03-01,25,0,0
2020-03-08,32,9,0
2020-03-15,35,9,0
2020-03-22,36,10,0
2020-03-29,18,7,0
2020-04-05,27,0,0
2020-04-12,24,0,0
2020-04-19,17,0,0
2020-04-26,19,0,0
2020-05-03,28,0,0
2020-05-10,15,0,0
2020-05-17,23,8,0
2020-05-24,23,9,0
2020-05-31,18,0,0
2020-06-07,20,7,0
2020-06-14,19,9,0
2020-06-21,19,0,0
2020-06-28,12,0,0
2020-07-05,20,0,0
2020-07-12,7,0,0
2020-07-19,11,0,0
2020-07-26,12,0,0
2020-08-02,10,0,0
2020-08-09,0,0,0
2020-08-16,7,0,0
2020-08-23,8,0,0
2020-08-30,7,0,0
2020-09-06,9,0,0
2020-09-13,0,0,0
2020-09-20,7,0,0
2020-09-27,7,0,0
2020-10-04,11,0,0
2020-10-11,0,0,0
2020-10-18,0,0,0
2020-10-25,7,0,0
2020-11-01,7,0,0
2020-11-08,7,0,0
2020-11-15,12,0,0
2020-11-22,8,0,0
2020-11-29,9,0,0
2020-12-06,12,0,0
2020-12-13,7,0,0
2020-12-20,12,0,0
2020-12-27,16,0,0
2021-01-03,15,0,10
2021-01-10,10,0,0
2021-01-17,20,0,0
2021-01-24,20,8,0
2021-01-31,15,0,0
